dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:06;8.76 Mbit/s;23.51 Mbit/s;4.46 ms;< 1 ms;9.54 Mbit/s;24.8 Mbit/s;1.36 %;24.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 13:06;12.1 Mbit/s;25.75 Mbit/s;10.24 ms;1.48 ms;13.25 Mbit/s;23.3 Mbit/s;1.36 %;33.5 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:06;21.03 Mbit/s;26.47 Mbit/s;3.98 ms;< 1 ms;16.04 Mbit/s;27.93 Mbit/s;0.0 %;36.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 11:06;31.83 Mbit/s;31.62 Mbit/s;< 1 ms;2.13 ms;34.34 Mbit/s;33.71 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 10:06;8.66 Mbit/s;26.92 Mbit/s;5.11 ms;2.17 ms;7.78 Mbit/s;28.27 Mbit/s;1.36 %;25.25 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:06;26.05 Mbit/s;19.54 Mbit/s;10.84 ms;< 1 ms;21.87 Mbit/s;20.59 Mbit/s;0.0 %;34.04 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:06;461.25 kbit/s;24.6 Mbit/s;2.21 ms;1.08 ms;504.44 kbit/s;25.54 Mbit/s;0.68 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:06;34.86 Mbit/s;39.75 Mbit/s;< 1 ms;< 1 ms;38.28 Mbit/s;41.95 Mbit/s;0.0 %;3.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 05:06;39.22 Mbit/s;47.6 Mbit/s;< 1 ms;< 1 ms;42.37 Mbit/s;48.34 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:06;39.69 Mbit/s;48.43 Mbit/s;< 1 ms;< 1 ms;43.26 Mbit/s;48.67 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:06;40.46 Mbit/s;48.46 Mbit/s;< 1 ms;< 1 ms;43.93 Mbit/s;48.27 Mbit/s;0.0 %;3.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:06;40.3 Mbit/s;47.93 Mbit/s;< 1 ms;< 1 ms;43.4 Mbit/s;48.22 Mbit/s;0.68 %;3.53 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 01:06;35.58 Mbit/s;44.65 Mbit/s;< 1 ms;< 1 ms;37.47 Mbit/s;45.92 Mbit/s;0.0 %;4.21 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:06;30.41 Mbit/s;36.08 Mbit/s;5.61 ms;< 1 ms;28.28 Mbit/s;36.85 Mbit/s;0.68 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 23:06;36.81 Mbit/s;41.63 Mbit/s;2.08 ms;< 1 ms;39.04 Mbit/s;44.32 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 22:06;24.13 Mbit/s;24.29 Mbit/s;5.07 ms;< 1 ms;26.96 Mbit/s;26.04 Mbit/s;0.0 %;16.9 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 21:06;16.11 Mbit/s;34.4 Mbit/s;2.04 ms;< 1 ms;17.65 Mbit/s;35.33 Mbit/s;0.0 %;10.2 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 20:06;21.02 Mbit/s;25.27 Mbit/s;1.38 ms;< 1 ms;16.15 Mbit/s;26.87 Mbit/s;0.68 %;6.86 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:06;30.41 Mbit/s;26.86 Mbit/s;< 1 ms;< 1 ms;34.17 Mbit/s;28.76 Mbit/s;0.0 %;3.61 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 18:06;28.07 Mbit/s;28.75 Mbit/s;< 1 ms;1.57 ms;29.57 Mbit/s;29.66 Mbit/s;0.68 %;3.86 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 17:06;29.9 Mbit/s;31.84 Mbit/s;< 1 ms;< 1 ms;32.75 Mbit/s;28.48 Mbit/s;0.68 %;12.61 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 16:06;34.44 Mbit/s;35.35 Mbit/s;< 1 ms;< 1 ms;32.7 Mbit/s;35.22 Mbit/s;0.68 %;4.25 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 15:06;36.89 Mbit/s;41.12 Mbit/s;< 1 ms;< 1 ms;38.55 Mbit/s;39.07 Mbit/s;0.0 %;3.96 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 14:06;34.75 Mbit/s;42.03 Mbit/s;< 1 ms;< 1 ms;36.18 Mbit/s;41.16 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 13:06;20.64 Mbit/s;27.39 Mbit/s;1.1 ms;1.1 ms;19.45 Mbit/s;25.48 Mbit/s;0.0 %;7.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 12:06;26.68 Mbit/s;30.72 Mbit/s;< 1 ms;< 1 ms;29.05 Mbit/s;32.42 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 11:06;11.54 Mbit/s;27.06 Mbit/s;1.48 ms;< 1 ms;9.12 Mbit/s;27.45 Mbit/s;0.0 %;19.12 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 10:06;35.89 Mbit/s;37.07 Mbit/s;2.38 ms;1.13 ms;37.34 Mbit/s;33.48 Mbit/s;0.0 %;11.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
