dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:30;9.23 Mbit/s;19.1 Mbit/s;3.26 ms;< 1 ms;6.8 Mbit/s;17.07 Mbit/s;0.0 %;11.69 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:30;19.09 Mbit/s;19.99 Mbit/s;< 1 ms;1.13 ms;19.66 Mbit/s;18.63 Mbit/s;0.0 %;3.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 11:30;19.19 Mbit/s;19.68 Mbit/s;< 1 ms;< 1 ms;19.01 Mbit/s;19.05 Mbit/s;1.36 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:30;20.0 Mbit/s;19.96 Mbit/s;< 1 ms;< 1 ms;19.29 Mbit/s;19.56 Mbit/s;1.36 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 09:30;18.33 Mbit/s;19.37 Mbit/s;1.35 ms;< 1 ms;15.97 Mbit/s;15.97 Mbit/s;0.0 %;3.95 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 08:30;19.35 Mbit/s;19.89 Mbit/s;8.9 ms;< 1 ms;15.39 Mbit/s;14.85 Mbit/s;1.36 %;3.71 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:30;19.92 Mbit/s;19.89 Mbit/s;< 1 ms;< 1 ms;19.38 Mbit/s;19.53 Mbit/s;0.0 %;7.72 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 06:30;19.96 Mbit/s;19.87 Mbit/s;< 1 ms;< 1 ms;19.34 Mbit/s;18.6 Mbit/s;0.0 %;3.18 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:30;19.95 Mbit/s;19.97 Mbit/s;< 1 ms;< 1 ms;19.38 Mbit/s;19.57 Mbit/s;0.0 %;2.97 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 04:30;19.95 Mbit/s;16.49 Mbit/s;< 1 ms;< 1 ms;19.46 Mbit/s;17.54 Mbit/s;0.0 %;2.94 ms;NIC.br nodo 2;;;;;
03/11/15 03:30;19.93 Mbit/s;19.96 Mbit/s;< 1 ms;< 1 ms;19.36 Mbit/s;19.46 Mbit/s;0.0 %;2.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:30;19.96 Mbit/s;19.92 Mbit/s;< 1 ms;< 1 ms;19.42 Mbit/s;19.58 Mbit/s;0.0 %;2.88 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 01:30;18.97 Mbit/s;19.93 Mbit/s;< 1 ms;< 1 ms;17.74 Mbit/s;19.27 Mbit/s;0.68 %;2.85 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 00:30;20.06 Mbit/s;19.92 Mbit/s;1.6 ms;< 1 ms;19.25 Mbit/s;19.46 Mbit/s;0.0 %;3.02 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 23:30;19.48 Mbit/s;19.95 Mbit/s;< 1 ms;< 1 ms;19.12 Mbit/s;19.52 Mbit/s;0.0 %;2.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 22:30;19.94 Mbit/s;19.95 Mbit/s;< 1 ms;< 1 ms;19.43 Mbit/s;19.52 Mbit/s;0.0 %;2.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 21:30;17.53 Mbit/s;19.78 Mbit/s;1.33 ms;< 1 ms;18.29 Mbit/s;18.99 Mbit/s;0.68 %;3.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 20:30;19.97 Mbit/s;19.77 Mbit/s;< 1 ms;< 1 ms;18.3 Mbit/s;19.54 Mbit/s;0.0 %;2.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 19:30;19.9 Mbit/s;19.91 Mbit/s;< 1 ms;< 1 ms;19.24 Mbit/s;19.04 Mbit/s;0.68 %;3.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 18:30;19.92 Mbit/s;19.88 Mbit/s;< 1 ms;< 1 ms;19.26 Mbit/s;19.58 Mbit/s;0.0 %;3.61 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 17:30;19.9 Mbit/s;19.55 Mbit/s;< 1 ms;< 1 ms;18.97 Mbit/s;18.87 Mbit/s;0.0 %;3.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 16:30;13.32 Mbit/s;18.85 Mbit/s;12.98 ms;< 1 ms;12.93 Mbit/s;17.73 Mbit/s;0.0 %;18.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 15:30;9.18 Mbit/s;18.89 Mbit/s;< 1 ms;< 1 ms;6.4 Mbit/s;19.37 Mbit/s;0.0 %;2.97 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 14:30;11.09 Mbit/s;17.53 Mbit/s;< 1 ms;1.3 ms;8.6 Mbit/s;17.78 Mbit/s;0.0 %;9.2 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 13:30;16.15 Mbit/s;17.2 Mbit/s;3.07 ms;< 1 ms;16.24 Mbit/s;14.45 Mbit/s;0.0 %;8.03 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 12:30;19.94 Mbit/s;19.1 Mbit/s;< 1 ms;< 1 ms;18.46 Mbit/s;16.7 Mbit/s;35.45 %;3.07 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 11:30;9.58 Mbit/s;17.27 Mbit/s;2.31 ms;< 1 ms;6.92 Mbit/s;17.43 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
