dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:07;16.44 Mbit/s;13.6 Mbit/s;< 1 ms;1.76 ms;13.32 Mbit/s;12.46 Mbit/s;1.36 %;3.45 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 11:07;3.1 Mbit/s;7.37 Mbit/s;5.05 ms;1.18 ms;3.32 Mbit/s;6.11 Mbit/s;0.0 %;29.55 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:07;3.43 Mbit/s;7.33 Mbit/s;3.61 ms;3.57 ms;721.75 kbit/s;6.66 Mbit/s;0.0 %;33.45 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:07;8.96 Mbit/s;17.49 Mbit/s;1.24 ms;1.02 ms;9.86 Mbit/s;13.56 Mbit/s;0.0 %;2.98 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 02:07;22.45 Mbit/s;21.46 Mbit/s;< 1 ms;< 1 ms;22.32 Mbit/s;22.71 Mbit/s;0.0 %;3.27 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:07;22.05 Mbit/s;17.11 Mbit/s;6.68 ms;< 1 ms;20.01 Mbit/s;17.35 Mbit/s;0.0 %;4.06 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:07;21.17 Mbit/s;19.1 Mbit/s;< 1 ms;< 1 ms;16.59 Mbit/s;19.63 Mbit/s;0.68 %;3.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 17:07;20.79 Mbit/s;17.68 Mbit/s;3.97 ms;< 1 ms;21.47 Mbit/s;18.6 Mbit/s;0.68 %;12.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 11:07;21.18 Mbit/s;17.95 Mbit/s;9.08 ms;< 1 ms;22.35 Mbit/s;19.03 Mbit/s;0.0 %;6.39 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 08:07;22.79 Mbit/s;17.1 Mbit/s;< 1 ms;< 1 ms;23.22 Mbit/s;17.39 Mbit/s;0.68 %;3.08 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 05:07;23.19 Mbit/s;20.51 Mbit/s;< 1 ms;< 1 ms;23.5 Mbit/s;21.55 Mbit/s;0.68 %;50.87 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 02:07;22.25 Mbit/s;20.77 Mbit/s;< 1 ms;< 1 ms;21.38 Mbit/s;21.9 Mbit/s;0.0 %;2.99 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 23:07;21.91 Mbit/s;20.06 Mbit/s;< 1 ms;< 1 ms;17.59 Mbit/s;21.18 Mbit/s;0.0 %;3.44 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 20:07;20.08 Mbit/s;16.62 Mbit/s;1.88 ms;< 1 ms;19.85 Mbit/s;17.25 Mbit/s;0.0 %;26.21 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 17:07;20.08 Mbit/s;17.58 Mbit/s;4.29 ms;1.83 ms;17.05 Mbit/s;18.84 Mbit/s;0.68 %;5.06 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
