dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:07;21.72 Mbit/s;18.08 Mbit/s;7.88 ms;1.54 ms;19.8 Mbit/s;18.93 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 13:07;22.4 Mbit/s;19.02 Mbit/s;< 1 ms;< 1 ms;20.65 Mbit/s;17.45 Mbit/s;1.36 %;4.17 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:07;18.52 Mbit/s;17.2 Mbit/s;1.25 ms;1.68 ms;16.01 Mbit/s;13.36 Mbit/s;10.61 %;3.21 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:07;14.8 Mbit/s;11.84 Mbit/s;1.07 ms;2.61 ms;12.53 Mbit/s;10.82 Mbit/s;0.0 %;16.07 ms;PTT Metro de Curitiba;;;;;
03/11/15 10:07;18.01 Mbit/s;17.84 Mbit/s;< 1 ms;1.32 ms;18.61 Mbit/s;16.35 Mbit/s;1.36 %;3.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 09:07;21.85 Mbit/s;19.45 Mbit/s;< 1 ms;1.23 ms;20.87 Mbit/s;20.45 Mbit/s;1.36 %;4.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 08:07;21.23 Mbit/s;18.42 Mbit/s;< 1 ms;< 1 ms;22.04 Mbit/s;19.26 Mbit/s;0.0 %;3.34 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:07;22.53 Mbit/s;19.43 Mbit/s;< 1 ms;1.52 ms;22.62 Mbit/s;20.09 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:07;22.75 Mbit/s;19.45 Mbit/s;< 1 ms;1.71 ms;22.72 Mbit/s;20.34 Mbit/s;0.0 %;3.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:07;22.58 Mbit/s;20.44 Mbit/s;< 1 ms;1.29 ms;22.45 Mbit/s;21.37 Mbit/s;0.0 %;2.88 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:07;21.93 Mbit/s;20.74 Mbit/s;< 1 ms;1.54 ms;21.95 Mbit/s;22.08 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:07;21.59 Mbit/s;16.61 Mbit/s;4.22 ms;< 1 ms;21.15 Mbit/s;17.64 Mbit/s;0.0 %;3.44 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:07;19.86 Mbit/s;18.83 Mbit/s;< 1 ms;1.22 ms;16.7 Mbit/s;19.84 Mbit/s;0.68 %;3.67 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:07;23.04 Mbit/s;20.08 Mbit/s;< 1 ms;< 1 ms;23.02 Mbit/s;21.16 Mbit/s;0.0 %;3.13 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 23:07;20.42 Mbit/s;18.42 Mbit/s;< 1 ms;< 1 ms;18.9 Mbit/s;19.33 Mbit/s;0.0 %;3.26 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 22:07;8.89 Mbit/s;7.96 Mbit/s;< 1 ms;1.35 ms;8.73 Mbit/s;7.49 Mbit/s;0.0 %;11.61 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 21:07;17.6 Mbit/s;18.34 Mbit/s;2.38 ms;1.75 ms;18.74 Mbit/s;18.41 Mbit/s;0.0 %;3.18 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 20:07;9.9 Mbit/s;13.24 Mbit/s;< 1 ms;3.87 ms;7.64 Mbit/s;13.38 Mbit/s;0.68 %;2.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 19:07;18.79 Mbit/s;12.29 Mbit/s;< 1 ms;< 1 ms;16.37 Mbit/s;13.0 Mbit/s;0.0 %;2.81 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 18:07;21.62 Mbit/s;17.27 Mbit/s;1.04 ms;1.33 ms;19.83 Mbit/s;17.63 Mbit/s;0.0 %;3.33 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 17:07;14.79 Mbit/s;15.07 Mbit/s;3.83 ms;4.23 ms;13.34 Mbit/s;14.6 Mbit/s;0.0 %;12.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 16:07;20.27 Mbit/s;12.37 Mbit/s;7.57 ms;< 1 ms;18.08 Mbit/s;12.24 Mbit/s;0.0 %;25.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 15:07;5.4 Mbit/s;8.95 Mbit/s;< 1 ms;1.16 ms;5.73 Mbit/s;2.48 Mbit/s;0.0 %;6.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:07;16.72 Mbit/s;12.59 Mbit/s;4.39 ms;1.2 ms;17.73 Mbit/s;11.33 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 13:07;18.52 Mbit/s;18.72 Mbit/s;< 1 ms;< 1 ms;13.25 Mbit/s;19.97 Mbit/s;4.93 %;3.03 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
