dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:50;17.3 Mbit/s;20.22 Mbit/s;1.18 ms;< 1 ms;13.69 Mbit/s;19.12 Mbit/s;1.36 %;5.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 12:51;14.09 Mbit/s;19.53 Mbit/s;2.04 ms;< 1 ms;14.17 Mbit/s;20.54 Mbit/s;2.8 %;8.84 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 11:51;17.48 Mbit/s;21.41 Mbit/s;2.43 ms;< 1 ms;14.37 Mbit/s;21.31 Mbit/s;0.68 %;6.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:50;16.69 Mbit/s;21.59 Mbit/s;< 1 ms;< 1 ms;17.99 Mbit/s;22.96 Mbit/s;2.78 %;8.88 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:50;17.5 Mbit/s;17.83 Mbit/s;< 1 ms;2.22 ms;18.86 Mbit/s;18.55 Mbit/s;1.36 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:50;20.71 Mbit/s;22.23 Mbit/s;< 1 ms;< 1 ms;14.65 Mbit/s;23.12 Mbit/s;2.78 %;5.05 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 07:50;18.13 Mbit/s;22.67 Mbit/s;< 1 ms;< 1 ms;18.99 Mbit/s;23.83 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:50;19.3 Mbit/s;22.45 Mbit/s;< 1 ms;< 1 ms;13.71 Mbit/s;16.98 Mbit/s;0.68 %;4.27 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 05:51;12.96 Mbit/s;12.56 Mbit/s;3.68 ms;1.27 ms;11.37 Mbit/s;13.47 Mbit/s;0.0 %;42.33 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 04:50;21.79 Mbit/s;22.97 Mbit/s;< 1 ms;< 1 ms;21.57 Mbit/s;24.25 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:50;19.98 Mbit/s;22.52 Mbit/s;< 1 ms;< 1 ms;20.41 Mbit/s;23.02 Mbit/s;0.0 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:50;19.86 Mbit/s;19.21 Mbit/s;< 1 ms;< 1 ms;21.16 Mbit/s;20.44 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:50;18.91 Mbit/s;22.78 Mbit/s;< 1 ms;1.4 ms;20.37 Mbit/s;23.91 Mbit/s;0.0 %;7.18 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 00:50;16.22 Mbit/s;19.09 Mbit/s;6.33 ms;< 1 ms;16.5 Mbit/s;19.84 Mbit/s;0.0 %;5.87 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:50;14.39 Mbit/s;18.19 Mbit/s;3.47 ms;< 1 ms;15.02 Mbit/s;18.27 Mbit/s;0.0 %;5.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:50;17.82 Mbit/s;18.71 Mbit/s;4.18 ms;2.0 ms;15.98 Mbit/s;16.82 Mbit/s;0.0 %;5.26 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:50;11.43 Mbit/s;17.99 Mbit/s;12.8 ms;< 1 ms;12.22 Mbit/s;17.7 Mbit/s;0.0 %;36.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 20:50;17.87 Mbit/s;11.68 Mbit/s;< 1 ms;1.41 ms;16.99 Mbit/s;12.21 Mbit/s;0.0 %;5.9 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 19:50;7.06 Mbit/s;12.81 Mbit/s;4.47 ms;< 1 ms;3.82 Mbit/s;8.52 Mbit/s;0.0 %;39.41 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 18:50;1.37 Mbit/s;1.55 Mbit/s;11.11 ms;1.37 ms;591.71 kbit/s;1.64 Mbit/s;0.0 %;33.6 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 17:50;-;1.47 Mbit/s;8.11 ms;3.37 ms;-;-;0.0 %;530.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 16:50;8.18 Mbit/s;8.69 Mbit/s;2.79 ms;4.41 ms;4.69 Mbit/s;8.88 Mbit/s;0.68 %;11.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 15:50;7.64 Mbit/s;15.57 Mbit/s;1.18 ms;< 1 ms;5.36 Mbit/s;10.65 Mbit/s;0.0 %;8.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 14:50;8.31 Mbit/s;16.9 Mbit/s;2.14 ms;1.4 ms;8.73 Mbit/s;17.49 Mbit/s;0.0 %;55.58 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 13:50;5.29 Mbit/s;14.36 Mbit/s;10.42 ms;1.36 ms;2.55 Mbit/s;12.96 Mbit/s;0.0 %;28.57 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 12:50;12.47 Mbit/s;20.2 Mbit/s;< 1 ms;4.86 ms;13.69 Mbit/s;21.57 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 11:50;19.57 Mbit/s;15.58 Mbit/s;< 1 ms;3.43 ms;18.94 Mbit/s;16.5 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 10:50;18.1 Mbit/s;11.03 Mbit/s;13.43 ms;1.08 ms;10.96 Mbit/s;11.31 Mbit/s;0.0 %;53.57 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 09:50;7.92 Mbit/s;13.76 Mbit/s;< 1 ms;3.26 ms;4.0 Mbit/s;14.28 Mbit/s;0.0 %;12.46 ms;PTT Metro de Curitiba;;;;;
02/11/15 08:50;19.1 Mbit/s;22.56 Mbit/s;< 1 ms;1.85 ms;18.83 Mbit/s;23.62 Mbit/s;0.0 %;4.32 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
