dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:29;-;27.36 kbit/s;371.75 ms;76.96 ms;-;-;62.34 %;4403.09 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:30;-;22.52 kbit/s;88.46 ms;72.04 ms;-;-;65.71 %;2014.23 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 11:29;-;-;-;173.36 ms;-;-;10.0 %;196.21 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 10:29;303.29 kbit/s;9.7 kbit/s;8.25 ms;33.09 ms;-;-;2.9 %;121.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:30;2.85 Mbit/s;1.42 Mbit/s;< 1 ms;4.45 ms;1.67 Mbit/s;1.42 Mbit/s;1.38 %;17.12 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 08:29;3.77 Mbit/s;3.57 Mbit/s;< 1 ms;3.2 ms;4.03 Mbit/s;3.01 Mbit/s;0.68 %;6.07 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 07:29;7.22 Mbit/s;7.08 Mbit/s;< 1 ms;34.03 ms;6.45 Mbit/s;6.99 Mbit/s;0.0 %;3.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 06:30;8.75 Mbit/s;13.82 Mbit/s;18.37 ms;< 1 ms;7.21 Mbit/s;14.88 Mbit/s;0.0 %;8.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:29;10.53 Mbit/s;11.16 Mbit/s;< 1 ms;1.73 ms;11.56 Mbit/s;11.97 Mbit/s;0.0 %;3.16 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:29;8.96 Mbit/s;10.91 Mbit/s;< 1 ms;< 1 ms;6.95 Mbit/s;10.79 Mbit/s;0.0 %;3.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 03:29;4.79 Mbit/s;4.78 Mbit/s;1.6 ms;1.07 ms;3.51 Mbit/s;4.45 Mbit/s;0.0 %;3.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:29;8.67 Mbit/s;12.9 Mbit/s;< 1 ms;< 1 ms;8.57 Mbit/s;13.81 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:29;8.39 Mbit/s;5.55 Mbit/s;< 1 ms;8.14 ms;7.71 Mbit/s;5.92 Mbit/s;0.0 %;3.59 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:29;8.72 Mbit/s;14.26 Mbit/s;< 1 ms;< 1 ms;9.34 Mbit/s;15.29 Mbit/s;0.0 %;3.25 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 23:29;5.93 Mbit/s;2.82 Mbit/s;2.36 ms;6.74 ms;6.5 Mbit/s;2.06 Mbit/s;0.0 %;5.77 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 22:29;8.98 Mbit/s;11.12 Mbit/s;< 1 ms;1.53 ms;9.85 Mbit/s;11.92 Mbit/s;0.0 %;3.37 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 21:29;2.32 Mbit/s;4.53 Mbit/s;19.99 ms;3.91 ms;2.53 Mbit/s;4.86 Mbit/s;0.0 %;45.88 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 20:29;3.44 Mbit/s;3.77 Mbit/s;2.55 ms;4.88 ms;2.99 Mbit/s;4.01 Mbit/s;1.37 %;12.21 ms;PTT Metro de Curitiba;;;;;
