dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:42;1.16 Mbit/s;3.01 Mbit/s;7.66 ms;1.86 ms;1.27 Mbit/s;3.03 Mbit/s;0.0 %;52.02 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:42;1.62 Mbit/s;2.08 Mbit/s;5.76 ms;< 1 ms;851.78 kbit/s;2.21 Mbit/s;1.36 %;47.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 11:42;18.87 Mbit/s;13.74 Mbit/s;5.09 ms;< 1 ms;15.84 Mbit/s;14.49 Mbit/s;1.36 %;8.59 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 10:42;2.18 Mbit/s;1.81 Mbit/s;3.01 ms;1.5 ms;2.18 Mbit/s;1.93 Mbit/s;0.0 %;11.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:43;3.98 Mbit/s;11.45 Mbit/s;1.44 ms;< 1 ms;4.34 Mbit/s;10.21 Mbit/s;1.36 %;7.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 08:42;2.62 Mbit/s;1.91 Mbit/s;5.97 ms;1.82 ms;2.85 Mbit/s;2.03 Mbit/s;2.07 %;15.87 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:42;20.69 Mbit/s;19.95 Mbit/s;8.07 ms;< 1 ms;17.36 Mbit/s;21.35 Mbit/s;0.0 %;28.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 05:42;8.51 Mbit/s;18.66 Mbit/s;13.36 ms;1.25 ms;7.2 Mbit/s;16.99 Mbit/s;0.0 %;39.0 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:42;17.65 Mbit/s;21.15 Mbit/s;< 1 ms;< 1 ms;19.28 Mbit/s;20.68 Mbit/s;0.0 %;3.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:42;17.76 Mbit/s;21.9 Mbit/s;< 1 ms;< 1 ms;19.52 Mbit/s;22.67 Mbit/s;0.0 %;3.16 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:42;22.01 Mbit/s;22.07 Mbit/s;< 1 ms;< 1 ms;22.71 Mbit/s;21.94 Mbit/s;0.0 %;3.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 01:43;22.34 Mbit/s;21.74 Mbit/s;< 1 ms;< 1 ms;22.4 Mbit/s;22.73 Mbit/s;0.0 %;3.33 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
