dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:35;1.76 Mbit/s;3.15 Mbit/s;20.76 ms;12.15 ms;1.51 Mbit/s;3.36 Mbit/s;5.93 %;157.41 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 10:35;20.45 Mbit/s;30.22 Mbit/s;1.02 ms;4.11 ms;6.83 Mbit/s;22.75 Mbit/s;1.36 %;9.08 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:35;1.68 Mbit/s;5.81 Mbit/s;13.69 ms;6.62 ms;1.78 Mbit/s;6.24 Mbit/s;2.08 %;70.69 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:35;14.47 Mbit/s;34.96 Mbit/s;2.08 ms;3.15 ms;14.27 Mbit/s;37.2 Mbit/s;0.0 %;7.91 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 01:35;6.84 Mbit/s;10.97 Mbit/s;15.27 ms;6.61 ms;6.79 Mbit/s;11.68 Mbit/s;0.0 %;71.84 ms;PTT Metro de Curitiba;;;;;
02/11/15 19:35;-;665.59 kbit/s;11.77 ms;55.81 ms;-;-;2.08 %;129.61 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/11/15 16:37;5.71 Mbit/s;3.88 Mbit/s;12.01 ms;25.39 ms;6.05 Mbit/s;4.1 Mbit/s;10.16 %;133.83 ms;PTT Metro de Curitiba;;;;;
02/11/15 13:36;7.34 Mbit/s;12.29 Mbit/s;23.95 ms;9.22 ms;6.86 Mbit/s;12.7 Mbit/s;6.82 %;737.94 ms;PTT Metro de Curitiba;;;;;
02/11/15 10:36;-;2.23 Mbit/s;29.57 ms;23.32 ms;-;-;12.2 %;327.3 ms;PTT Metro de Curitiba;;;;;
02/11/15 07:35;3.15 Mbit/s;1.95 Mbit/s;15.23 ms;4.43 ms;3.23 Mbit/s;2.1 Mbit/s;0.68 %;79.67 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:35;13.32 Mbit/s;38.52 Mbit/s;4.59 ms;< 1 ms;12.5 Mbit/s;41.66 Mbit/s;0.0 %;10.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 01:35;6.73 Mbit/s;16.62 Mbit/s;3.96 ms;1.11 ms;7.34 Mbit/s;17.84 Mbit/s;0.0 %;8.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 22:35;1.14 Mbit/s;6.41 Mbit/s;21.06 ms;5.48 ms;1.17 Mbit/s;6.81 Mbit/s;1.38 %;87.26 ms;PTT Metro de Curitiba;;;;;
01/11/15 19:35;2.23 Mbit/s;7.97 Mbit/s;15.85 ms;21.46 ms;388.36 kbit/s;8.49 Mbit/s;7.52 %;174.18 ms;PTT Metro de Curitiba;;;;;
01/11/15 16:36;-;-;-;2.67 ms;-;-;1.37 %;81.09 ms;PTT Metro de Curitiba;;;;;
