dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:10;28.46 Mbit/s;27.17 Mbit/s;10.34 ms;8.77 ms;-;29.2 Mbit/s;2.07 %;24.49 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 13:10;14.98 Mbit/s;21.9 Mbit/s;6.07 ms;16.84 ms;16.07 Mbit/s;23.56 Mbit/s;1.36 %;31.82 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:10;24.4 Mbit/s;22.82 Mbit/s;13.61 ms;13.71 ms;25.79 Mbit/s;23.21 Mbit/s;1.36 %;24.38 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 11:10;21.45 Mbit/s;29.34 Mbit/s;1.53 ms;6.8 ms;22.56 Mbit/s;31.3 Mbit/s;0.0 %;15.25 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 10:10;22.97 Mbit/s;24.07 Mbit/s;3.01 ms;19.86 ms;23.47 Mbit/s;25.39 Mbit/s;0.0 %;13.26 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 09:10;29.83 Mbit/s;29.58 Mbit/s;1.97 ms;13.35 ms;31.37 Mbit/s;31.7 Mbit/s;2.07 %;13.15 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:10;27.44 Mbit/s;29.13 Mbit/s;8.42 ms;3.17 ms;29.6 Mbit/s;31.07 Mbit/s;0.68 %;16.36 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 07:10;41.44 Mbit/s;34.6 Mbit/s;< 1 ms;2.55 ms;45.11 Mbit/s;37.18 Mbit/s;0.0 %;8.74 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:10;42.27 Mbit/s;35.55 Mbit/s;1.63 ms;4.63 ms;45.93 Mbit/s;38.23 Mbit/s;0.0 %;9.68 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:10;39.62 Mbit/s;33.79 Mbit/s;2.09 ms;1.3 ms;42.89 Mbit/s;36.31 Mbit/s;0.0 %;9.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:10;45.17 Mbit/s;37.14 Mbit/s;< 1 ms;1.35 ms;48.11 Mbit/s;40.05 Mbit/s;0.0 %;8.37 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:10;48.97 Mbit/s;38.95 Mbit/s;< 1 ms;< 1 ms;51.16 Mbit/s;41.66 Mbit/s;0.0 %;7.72 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
