dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:10;14.76 Mbit/s;7.02 Mbit/s;5.41 ms;1.22 ms;8.5 Mbit/s;5.24 Mbit/s;1.36 %;29.64 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:10;9.34 Mbit/s;4.95 Mbit/s;2.64 ms;3.63 ms;5.85 Mbit/s;4.87 Mbit/s;2.05 %;11.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 11:10;17.53 Mbit/s;10.56 Mbit/s;< 1 ms;< 1 ms;17.57 Mbit/s;10.84 Mbit/s;0.0 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:10;6.27 Mbit/s;11.51 Mbit/s;6.83 ms;1.52 ms;6.92 Mbit/s;11.08 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:10;15.79 Mbit/s;12.57 Mbit/s;< 1 ms;< 1 ms;16.1 Mbit/s;11.75 Mbit/s;1.36 %;3.62 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 08:10;20.43 Mbit/s;13.32 Mbit/s;< 1 ms;2.38 ms;21.33 Mbit/s;12.71 Mbit/s;0.68 %;9.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:10;19.45 Mbit/s;10.45 Mbit/s;< 1 ms;< 1 ms;18.33 Mbit/s;10.37 Mbit/s;0.0 %;3.18 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 06:10;20.63 Mbit/s;14.06 Mbit/s;2.18 ms;< 1 ms;19.56 Mbit/s;13.48 Mbit/s;0.0 %;6.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 05:10;21.84 Mbit/s;15.97 Mbit/s;4.18 ms;< 1 ms;20.45 Mbit/s;15.94 Mbit/s;0.0 %;22.39 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 04:10;21.95 Mbit/s;15.58 Mbit/s;< 1 ms;1.16 ms;22.92 Mbit/s;16.28 Mbit/s;0.0 %;2.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:10;21.72 Mbit/s;15.95 Mbit/s;< 1 ms;4.1 ms;22.28 Mbit/s;15.02 Mbit/s;0.0 %;3.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 02:10;19.72 Mbit/s;12.48 Mbit/s;1.35 ms;< 1 ms;19.34 Mbit/s;7.85 Mbit/s;0.0 %;3.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 01:10;21.22 Mbit/s;15.87 Mbit/s;< 1 ms;2.31 ms;19.32 Mbit/s;16.14 Mbit/s;0.0 %;3.22 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 00:10;21.02 Mbit/s;15.15 Mbit/s;11.12 ms;2.01 ms;19.24 Mbit/s;16.05 Mbit/s;0.0 %;26.85 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 23:10;20.42 Mbit/s;13.95 Mbit/s;4.77 ms;< 1 ms;21.22 Mbit/s;14.07 Mbit/s;0.0 %;9.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 22:10;21.24 Mbit/s;13.18 Mbit/s;< 1 ms;1.09 ms;19.65 Mbit/s;12.61 Mbit/s;0.68 %;2.9 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 21:10;6.96 Mbit/s;11.45 Mbit/s;< 1 ms;3.83 ms;7.62 Mbit/s;8.92 Mbit/s;0.0 %;7.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 20:10;1.43 Mbit/s;2.3 Mbit/s;4.16 ms;9.62 ms;310.69 kbit/s;2.46 Mbit/s;0.0 %;37.52 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 19:10;1.91 Mbit/s;3.35 Mbit/s;2.79 ms;5.29 ms;2.09 Mbit/s;3.45 Mbit/s;0.0 %;15.19 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 18:10;12.65 Mbit/s;6.61 Mbit/s;6.92 ms;1.91 ms;10.1 Mbit/s;6.16 Mbit/s;0.0 %;10.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 17:10;19.42 Mbit/s;10.9 Mbit/s;5.26 ms;1.76 ms;17.04 Mbit/s;6.71 Mbit/s;0.68 %;11.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 16:10;12.23 Mbit/s;8.1 Mbit/s;1.21 ms;< 1 ms;10.46 Mbit/s;7.41 Mbit/s;0.0 %;3.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 15:10;13.93 Mbit/s;8.47 Mbit/s;2.82 ms;6.7 ms;10.72 Mbit/s;7.77 Mbit/s;0.0 %;21.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 14:10;14.95 Mbit/s;11.66 Mbit/s;< 1 ms;1.56 ms;12.07 Mbit/s;9.16 Mbit/s;0.0 %;7.25 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 13:10;15.27 Mbit/s;10.36 Mbit/s;4.18 ms;< 1 ms;11.89 Mbit/s;8.95 Mbit/s;0.0 %;8.36 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 12:10;15.99 Mbit/s;12.31 Mbit/s;1.93 ms;< 1 ms;16.85 Mbit/s;9.23 Mbit/s;0.0 %;3.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
