dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:38;19.33 Mbit/s;17.58 Mbit/s;< 1 ms;30.21 ms;20.74 Mbit/s;17.46 Mbit/s;1.36 %;8.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:38;22.45 Mbit/s;30.3 Mbit/s;< 1 ms;< 1 ms;23.9 Mbit/s;29.54 Mbit/s;0.68 %;114.21 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 11:38;6.6 Mbit/s;23.81 Mbit/s;1.58 ms;26.84 ms;6.25 Mbit/s;23.6 Mbit/s;1.36 %;122.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 10:38;20.33 Mbit/s;25.82 Mbit/s;< 1 ms;2.17 ms;22.04 Mbit/s;27.58 Mbit/s;1.36 %;8.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:38;17.14 Mbit/s;30.05 Mbit/s;< 1 ms;1.27 ms;13.07 Mbit/s;31.65 Mbit/s;0.0 %;15.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 08:38;19.81 Mbit/s;25.14 Mbit/s;15.62 ms;1.92 ms;18.36 Mbit/s;27.04 Mbit/s;0.0 %;222.1 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 07:38;13.4 Mbit/s;31.35 Mbit/s;< 1 ms;< 1 ms;11.72 Mbit/s;26.02 Mbit/s;0.0 %;3.11 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 06:38;23.79 Mbit/s;33.06 Mbit/s;32.21 ms;< 1 ms;13.48 Mbit/s;33.97 Mbit/s;0.0 %;246.71 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 04:38;23.71 Mbit/s;33.38 Mbit/s;< 1 ms;< 1 ms;25.31 Mbit/s;35.32 Mbit/s;0.0 %;3.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 03:38;25.41 Mbit/s;33.94 Mbit/s;< 1 ms;< 1 ms;27.63 Mbit/s;35.76 Mbit/s;0.0 %;3.13 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 02:38;25.31 Mbit/s;33.89 Mbit/s;< 1 ms;< 1 ms;27.66 Mbit/s;35.68 Mbit/s;0.0 %;2.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 01:38;25.34 Mbit/s;33.27 Mbit/s;< 1 ms;< 1 ms;27.7 Mbit/s;31.66 Mbit/s;0.0 %;2.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 00:39;23.71 Mbit/s;33.46 Mbit/s;< 1 ms;< 1 ms;25.95 Mbit/s;34.95 Mbit/s;0.0 %;3.16 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:38;25.34 Mbit/s;32.21 Mbit/s;< 1 ms;< 1 ms;27.58 Mbit/s;34.24 Mbit/s;0.0 %;3.02 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
