dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:00;6.03 Mbit/s;9.08 Mbit/s;1.99 ms;2.35 ms;6.67 Mbit/s;7.93 Mbit/s;1.36 %;13.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 13:00;15.62 Mbit/s;22.27 Mbit/s;< 1 ms;5.43 ms;9.62 Mbit/s;13.85 Mbit/s;2.76 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:01;17.45 Mbit/s;12.64 Mbit/s;1.58 ms;1.15 ms;13.8 Mbit/s;13.23 Mbit/s;1.36 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 11:00;21.27 Mbit/s;21.47 Mbit/s;< 1 ms;< 1 ms;22.33 Mbit/s;20.11 Mbit/s;1.36 %;4.94 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:01;14.3 Mbit/s;14.79 Mbit/s;< 1 ms;< 1 ms;10.53 Mbit/s;15.22 Mbit/s;1.36 %;4.53 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:00;22.46 Mbit/s;21.06 Mbit/s;< 1 ms;< 1 ms;23.57 Mbit/s;22.25 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 08:00;23.43 Mbit/s;22.86 Mbit/s;< 1 ms;2.52 ms;22.58 Mbit/s;23.84 Mbit/s;0.68 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 07:00;17.13 Mbit/s;22.43 Mbit/s;< 1 ms;1.0 ms;11.14 Mbit/s;19.41 Mbit/s;0.0 %;3.8 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 06:00;22.25 Mbit/s;22.81 Mbit/s;< 1 ms;3.72 ms;23.14 Mbit/s;24.11 Mbit/s;0.0 %;3.82 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:00;22.6 Mbit/s;23.25 Mbit/s;< 1 ms;< 1 ms;22.9 Mbit/s;24.47 Mbit/s;0.0 %;3.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 04:00;21.86 Mbit/s;23.19 Mbit/s;< 1 ms;< 1 ms;22.97 Mbit/s;24.42 Mbit/s;0.0 %;3.8 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 03:00;22.68 Mbit/s;23.28 Mbit/s;< 1 ms;< 1 ms;23.71 Mbit/s;24.51 Mbit/s;0.0 %;3.83 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:00;23.5 Mbit/s;23.23 Mbit/s;< 1 ms;2.72 ms;23.41 Mbit/s;24.52 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:00;22.07 Mbit/s;22.95 Mbit/s;8.85 ms;4.2 ms;22.35 Mbit/s;23.89 Mbit/s;0.0 %;3.81 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:00;22.91 Mbit/s;22.8 Mbit/s;< 1 ms;< 1 ms;19.56 Mbit/s;24.05 Mbit/s;0.0 %;3.94 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:00;22.6 Mbit/s;22.19 Mbit/s;< 1 ms;< 1 ms;17.53 Mbit/s;22.94 Mbit/s;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:00;17.35 Mbit/s;20.47 Mbit/s;< 1 ms;< 1 ms;15.77 Mbit/s;21.69 Mbit/s;0.0 %;5.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
