dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:20;2.44 Mbit/s;3.28 Mbit/s;5.61 ms;< 1 ms;2.03 Mbit/s;2.12 Mbit/s;5.93 %;9.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 12:20;3.1 Mbit/s;5.22 Mbit/s;5.28 ms;< 1 ms;3.28 Mbit/s;4.98 Mbit/s;4.32 %;34.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:21;-;-;-;-;-;-;22.73 %;25.0 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 10:21;4.98 Mbit/s;9.45 Mbit/s;6.66 ms;2.1 ms;4.7 Mbit/s;1.65 Mbit/s;2.76 %;42.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:20;3.82 Mbit/s;8.13 Mbit/s;19.82 ms;< 1 ms;3.48 Mbit/s;3.48 Mbit/s;17.74 %;49.85 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 08:20;2.85 Mbit/s;9.74 Mbit/s;4.41 ms;< 1 ms;1.71 Mbit/s;3.0 Mbit/s;58.7 %;44.62 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:20;7.69 Mbit/s;7.63 Mbit/s;8.82 ms;< 1 ms;7.87 Mbit/s;8.11 Mbit/s;0.0 %;36.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 09:20;3.88 Mbit/s;3.41 Mbit/s;20.36 ms;< 1 ms;2.06 Mbit/s;1.75 Mbit/s;54.44 %;51.75 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 08:20;-;-;-;-;-;-;0.68 %;57.64 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/11/15 07:20;10.17 Mbit/s;13.78 Mbit/s;14.52 ms;< 1 ms;9.39 Mbit/s;14.39 Mbit/s;0.0 %;44.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 06:20;4.6 Mbit/s;15.27 Mbit/s;10.31 ms;< 1 ms;4.46 Mbit/s;13.18 Mbit/s;1.38 %;43.99 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 05:20;11.64 Mbit/s;14.39 Mbit/s;11.69 ms;2.72 ms;11.38 Mbit/s;14.95 Mbit/s;0.0 %;44.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 04:20;11.52 Mbit/s;14.01 Mbit/s;31.01 ms;< 1 ms;6.05 Mbit/s;14.83 Mbit/s;0.0 %;44.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 03:20;-;-;-;-;-;-;85.9 %;36.18 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 02:20;9.23 Mbit/s;12.16 Mbit/s;211.78 ms;< 1 ms;9.66 Mbit/s;13.02 Mbit/s;0.0 %;44.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 00:20;11.89 Mbit/s;18.64 Mbit/s;8.15 ms;< 1 ms;11.95 Mbit/s;19.51 Mbit/s;2.78 %;57.43 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/10/15 23:20;10.66 Mbit/s;17.28 Mbit/s;3.25 ms;< 1 ms;10.58 Mbit/s;16.77 Mbit/s;2.11 %;34.91 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 22:20;11.0 Mbit/s;18.05 Mbit/s;20.06 ms;< 1 ms;10.65 Mbit/s;18.67 Mbit/s;0.68 %;57.83 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/10/15 21:20;-;5.24 Mbit/s;6.48 ms;< 1 ms;-;-;5.0 %;35.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 20:20;9.77 Mbit/s;16.45 Mbit/s;7.99 ms;3.54 ms;10.03 Mbit/s;16.59 Mbit/s;3.5 %;43.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 19:20;4.21 Mbit/s;9.92 Mbit/s;8.35 ms;< 1 ms;2.87 Mbit/s;9.33 Mbit/s;0.0 %;43.82 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 18:20;7.51 Mbit/s;15.34 Mbit/s;< 1 ms;5.44 ms;8.07 Mbit/s;4.45 Mbit/s;11.45 %;13.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 17:20;9.27 Mbit/s;15.44 Mbit/s;8.39 ms;1.15 ms;9.2 Mbit/s;16.25 Mbit/s;1.37 %;34.33 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 16:20;-;-;-;-;-;-;26.42 %;28.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 15:20;8.66 Mbit/s;14.95 Mbit/s;7.55 ms;< 1 ms;8.8 Mbit/s;15.23 Mbit/s;0.68 %;40.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 14:20;7.42 Mbit/s;11.98 Mbit/s;4.6 ms;< 1 ms;5.35 Mbit/s;10.4 Mbit/s;10.53 %;35.07 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 13:20;8.31 Mbit/s;12.87 Mbit/s;10.9 ms;< 1 ms;8.9 Mbit/s;5.37 Mbit/s;3.52 %;54.74 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/10/15 12:20;6.07 Mbit/s;12.49 Mbit/s;12.74 ms;2.05 ms;6.53 Mbit/s;13.31 Mbit/s;2.08 %;40.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 11:20;7.81 Mbit/s;12.96 Mbit/s;2.8 ms;< 1 ms;7.71 Mbit/s;12.78 Mbit/s;2.78 %;42.09 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 10:20;7.48 Mbit/s;14.55 Mbit/s;22.37 ms;1.69 ms;6.56 Mbit/s;14.0 Mbit/s;2.82 %;42.12 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 09:20;8.64 Mbit/s;14.82 Mbit/s;5.97 ms;1.02 ms;8.69 Mbit/s;14.06 Mbit/s;0.68 %;55.98 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/10/15 08:20;9.97 Mbit/s;14.65 Mbit/s;10.98 ms;< 1 ms;10.06 Mbit/s;15.46 Mbit/s;0.68 %;42.14 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 07:20;8.76 Mbit/s;15.19 Mbit/s;7.27 ms;< 1 ms;8.9 Mbit/s;15.66 Mbit/s;0.68 %;44.59 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 05:20;10.17 Mbit/s;16.98 Mbit/s;61.79 ms;1.91 ms;10.7 Mbit/s;10.15 Mbit/s;3.47 %;44.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 04:20;-;-;-;< 1 ms;-;-;2.8 %;44.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 03:20;1.1 Mbit/s;17.1 Mbit/s;8.0 ms;< 1 ms;1.11 Mbit/s;17.39 Mbit/s;0.0 %;43.08 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 02:20;11.14 Mbit/s;17.22 Mbit/s;8.02 ms;< 1 ms;10.24 Mbit/s;18.15 Mbit/s;5.0 %;54.35 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/10/15 01:20;10.96 Mbit/s;16.32 Mbit/s;4.43 ms;< 1 ms;10.53 Mbit/s;16.34 Mbit/s;0.0 %;44.15 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 00:20;11.39 Mbit/s;15.65 Mbit/s;12.62 ms;10.24 ms;11.4 Mbit/s;16.72 Mbit/s;9.7 %;44.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 23:20;10.33 Mbit/s;15.31 Mbit/s;26.45 ms;1.14 ms;10.43 Mbit/s;16.21 Mbit/s;0.0 %;44.23 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
