dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:52;49.66 Mbit/s;45.85 Mbit/s;1.41 ms;< 1 ms;48.22 Mbit/s;47.52 Mbit/s;1.36 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 12:52;49.71 Mbit/s;34.89 Mbit/s;< 1 ms;< 1 ms;48.08 Mbit/s;36.83 Mbit/s;1.36 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 11:52;49.77 Mbit/s;45.48 Mbit/s;< 1 ms;< 1 ms;48.46 Mbit/s;47.01 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 10:52;49.53 Mbit/s;48.78 Mbit/s;< 1 ms;< 1 ms;48.55 Mbit/s;47.24 Mbit/s;0.0 %;4.63 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:52;49.41 Mbit/s;46.47 Mbit/s;< 1 ms;< 1 ms;48.4 Mbit/s;47.81 Mbit/s;1.36 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:52;49.79 Mbit/s;40.16 Mbit/s;< 1 ms;1.17 ms;48.2 Mbit/s;40.45 Mbit/s;2.07 %;4.09 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:52;49.42 Mbit/s;43.69 Mbit/s;1.0 ms;1.23 ms;48.57 Mbit/s;46.14 Mbit/s;0.0 %;3.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:52;49.15 Mbit/s;42.02 Mbit/s;12.27 ms;< 1 ms;48.42 Mbit/s;44.75 Mbit/s;0.0 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:52;49.76 Mbit/s;44.43 Mbit/s;1.12 ms;< 1 ms;48.44 Mbit/s;46.69 Mbit/s;0.0 %;3.73 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:52;49.71 Mbit/s;41.83 Mbit/s;< 1 ms;< 1 ms;48.56 Mbit/s;44.41 Mbit/s;0.0 %;3.79 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:52;49.67 Mbit/s;43.05 Mbit/s;< 1 ms;< 1 ms;48.48 Mbit/s;45.56 Mbit/s;0.0 %;3.81 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:52;49.56 Mbit/s;41.0 Mbit/s;< 1 ms;< 1 ms;48.17 Mbit/s;43.49 Mbit/s;0.0 %;3.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 01:52;49.54 Mbit/s;42.46 Mbit/s;< 1 ms;< 1 ms;47.82 Mbit/s;44.96 Mbit/s;0.0 %;3.68 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 00:52;49.57 Mbit/s;43.76 Mbit/s;< 1 ms;< 1 ms;48.51 Mbit/s;43.74 Mbit/s;0.0 %;3.72 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 23:52;49.7 Mbit/s;43.17 Mbit/s;< 1 ms;< 1 ms;48.41 Mbit/s;45.54 Mbit/s;0.0 %;3.81 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 22:52;49.58 Mbit/s;43.06 Mbit/s;< 1 ms;< 1 ms;48.58 Mbit/s;45.59 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
