dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:12;24.89 Mbit/s;24.77 Mbit/s;1.94 ms;< 1 ms;24.11 Mbit/s;19.46 Mbit/s;0.0 %;6.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 13:12;24.88 Mbit/s;24.78 Mbit/s;2.08 ms;< 1 ms;24.32 Mbit/s;24.31 Mbit/s;1.36 %;5.94 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:12;25.01 Mbit/s;24.68 Mbit/s;1.28 ms;< 1 ms;24.23 Mbit/s;24.26 Mbit/s;2.07 %;5.81 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 11:12;24.9 Mbit/s;24.61 Mbit/s;< 1 ms;1.34 ms;24.09 Mbit/s;24.3 Mbit/s;2.05 %;6.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 10:12;24.65 Mbit/s;24.77 Mbit/s;1.02 ms;1.22 ms;24.25 Mbit/s;24.23 Mbit/s;0.0 %;5.61 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:12;24.96 Mbit/s;24.48 Mbit/s;< 1 ms;1.49 ms;24.26 Mbit/s;23.27 Mbit/s;1.36 %;5.32 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 08:12;24.84 Mbit/s;24.76 Mbit/s;2.62 ms;1.32 ms;24.18 Mbit/s;24.25 Mbit/s;0.68 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:12;24.9 Mbit/s;24.72 Mbit/s;< 1 ms;1.68 ms;24.35 Mbit/s;24.27 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:12;24.91 Mbit/s;24.74 Mbit/s;< 1 ms;< 1 ms;24.31 Mbit/s;24.3 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:12;24.88 Mbit/s;24.69 Mbit/s;< 1 ms;< 1 ms;24.32 Mbit/s;24.35 Mbit/s;0.0 %;4.56 ms;NIC.br nodo 2;;;;;
03/11/15 04:12;24.85 Mbit/s;24.76 Mbit/s;< 1 ms;3.72 ms;24.3 Mbit/s;24.28 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:12;25.01 Mbit/s;21.01 Mbit/s;< 1 ms;< 1 ms;24.31 Mbit/s;22.46 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:12;24.77 Mbit/s;24.68 Mbit/s;3.06 ms;1.23 ms;24.27 Mbit/s;24.31 Mbit/s;0.0 %;8.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:12;24.88 Mbit/s;24.0 Mbit/s;< 1 ms;< 1 ms;24.06 Mbit/s;22.99 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 00:12;24.86 Mbit/s;24.76 Mbit/s;< 1 ms;1.66 ms;24.32 Mbit/s;22.15 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:12;24.74 Mbit/s;24.73 Mbit/s;12.24 ms;< 1 ms;24.06 Mbit/s;23.43 Mbit/s;0.0 %;7.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 22:12;24.91 Mbit/s;24.69 Mbit/s;< 1 ms;< 1 ms;24.16 Mbit/s;24.29 Mbit/s;0.0 %;5.01 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 21:12;24.8 Mbit/s;24.58 Mbit/s;1.66 ms;1.51 ms;24.24 Mbit/s;24.36 Mbit/s;0.0 %;5.48 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 20:12;25.22 Mbit/s;24.71 Mbit/s;1.5 ms;2.15 ms;23.98 Mbit/s;24.27 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:12;24.84 Mbit/s;24.73 Mbit/s;< 1 ms;< 1 ms;24.16 Mbit/s;24.02 Mbit/s;0.68 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 18:12;24.91 Mbit/s;15.12 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;16.14 Mbit/s;0.0 %;5.43 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 17:12;24.76 Mbit/s;23.71 Mbit/s;< 1 ms;1.33 ms;24.27 Mbit/s;23.11 Mbit/s;0.0 %;5.9 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 16:12;24.9 Mbit/s;22.63 Mbit/s;< 1 ms;1.19 ms;24.22 Mbit/s;22.09 Mbit/s;0.68 %;5.98 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 15:12;24.77 Mbit/s;24.68 Mbit/s;< 1 ms;1.1 ms;24.19 Mbit/s;23.81 Mbit/s;0.68 %;5.24 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:12;24.86 Mbit/s;24.52 Mbit/s;< 1 ms;2.73 ms;24.33 Mbit/s;21.5 Mbit/s;0.0 %;5.92 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 13:12;24.98 Mbit/s;24.71 Mbit/s;1.44 ms;< 1 ms;24.32 Mbit/s;23.14 Mbit/s;0.0 %;5.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 12:12;24.91 Mbit/s;24.93 Mbit/s;< 1 ms;3.26 ms;24.25 Mbit/s;24.28 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 11:12;24.87 Mbit/s;9.18 Mbit/s;< 1 ms;1.02 ms;24.3 Mbit/s;9.79 Mbit/s;0.0 %;5.83 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 10:12;24.91 Mbit/s;24.59 Mbit/s;1.48 ms;1.53 ms;24.24 Mbit/s;24.34 Mbit/s;0.0 %;6.18 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 09:12;24.98 Mbit/s;6.29 Mbit/s;< 1 ms;1.34 ms;23.97 Mbit/s;6.69 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 08:12;24.69 Mbit/s;24.72 Mbit/s;< 1 ms;1.81 ms;24.31 Mbit/s;24.36 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 07:12;24.85 Mbit/s;24.75 Mbit/s;< 1 ms;< 1 ms;24.21 Mbit/s;24.12 Mbit/s;0.0 %;5.08 ms;NIC.br nodo 2;;;;;
02/11/15 06:12;24.78 Mbit/s;24.65 Mbit/s;< 1 ms;< 1 ms;8.39 Mbit/s;24.28 Mbit/s;0.68 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 05:12;24.74 Mbit/s;24.75 Mbit/s;1.7 ms;< 1 ms;24.25 Mbit/s;24.38 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 04:12;16.18 Mbit/s;24.59 Mbit/s;< 1 ms;1.44 ms;17.77 Mbit/s;24.2 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 03:12;21.73 Mbit/s;24.65 Mbit/s;< 1 ms;< 1 ms;22.72 Mbit/s;24.36 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 02:12;24.83 Mbit/s;24.76 Mbit/s;< 1 ms;< 1 ms;24.12 Mbit/s;24.34 Mbit/s;0.0 %;4.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 01:12;24.79 Mbit/s;24.7 Mbit/s;< 1 ms;1.04 ms;24.28 Mbit/s;24.39 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 00:12;24.81 Mbit/s;24.72 Mbit/s;< 1 ms;< 1 ms;24.22 Mbit/s;24.34 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 23:12;24.76 Mbit/s;24.68 Mbit/s;6.0 ms;< 1 ms;24.12 Mbit/s;24.25 Mbit/s;0.0 %;6.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 22:12;24.82 Mbit/s;24.49 Mbit/s;1.87 ms;< 1 ms;24.1 Mbit/s;24.31 Mbit/s;0.0 %;5.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 21:12;24.88 Mbit/s;24.69 Mbit/s;< 1 ms;1.47 ms;24.24 Mbit/s;24.27 Mbit/s;0.0 %;5.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 20:12;24.79 Mbit/s;24.68 Mbit/s;< 1 ms;< 1 ms;23.99 Mbit/s;24.28 Mbit/s;0.0 %;4.99 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 19:12;25.04 Mbit/s;24.7 Mbit/s;< 1 ms;1.23 ms;24.29 Mbit/s;19.12 Mbit/s;0.0 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 18:12;24.74 Mbit/s;24.81 Mbit/s;< 1 ms;1.01 ms;24.28 Mbit/s;24.29 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 17:12;24.82 Mbit/s;24.37 Mbit/s;1.6 ms;< 1 ms;24.28 Mbit/s;12.15 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 16:12;24.81 Mbit/s;24.83 Mbit/s;1.37 ms;< 1 ms;24.12 Mbit/s;24.12 Mbit/s;0.0 %;7.63 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 15:12;24.07 Mbit/s;24.76 Mbit/s;< 1 ms;1.22 ms;23.53 Mbit/s;20.49 Mbit/s;0.0 %;6.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 14:12;24.54 Mbit/s;24.81 Mbit/s;< 1 ms;< 1 ms;24.13 Mbit/s;24.25 Mbit/s;0.0 %;5.24 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 13:12;24.6 Mbit/s;24.73 Mbit/s;< 1 ms;2.31 ms;24.09 Mbit/s;24.34 Mbit/s;0.0 %;5.19 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 12:12;25.04 Mbit/s;24.78 Mbit/s;< 1 ms;1.2 ms;24.2 Mbit/s;19.91 Mbit/s;0.0 %;5.1 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 11:12;24.61 Mbit/s;24.46 Mbit/s;< 1 ms;< 1 ms;24.01 Mbit/s;23.66 Mbit/s;0.0 %;5.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 10:12;24.77 Mbit/s;16.7 Mbit/s;< 1 ms;< 1 ms;24.16 Mbit/s;17.87 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 09:12;24.85 Mbit/s;24.7 Mbit/s;1.27 ms;< 1 ms;24.13 Mbit/s;24.33 Mbit/s;0.0 %;5.72 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 08:12;24.89 Mbit/s;24.13 Mbit/s;< 1 ms;1.43 ms;24.21 Mbit/s;24.28 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 07:12;24.83 Mbit/s;24.73 Mbit/s;1.02 ms;< 1 ms;24.07 Mbit/s;24.24 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 06:12;24.8 Mbit/s;24.73 Mbit/s;< 1 ms;< 1 ms;23.68 Mbit/s;24.37 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 05:12;24.81 Mbit/s;24.68 Mbit/s;< 1 ms;3.49 ms;24.27 Mbit/s;24.24 Mbit/s;0.0 %;5.38 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 04:12;24.76 Mbit/s;24.7 Mbit/s;< 1 ms;< 1 ms;24.23 Mbit/s;24.38 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 03:12;24.99 Mbit/s;13.51 Mbit/s;< 1 ms;< 1 ms;24.36 Mbit/s;14.41 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 02:12;24.9 Mbit/s;24.85 Mbit/s;< 1 ms;< 1 ms;24.33 Mbit/s;21.5 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 01:12;24.94 Mbit/s;24.93 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;24.4 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 00:12;24.98 Mbit/s;24.91 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;24.29 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 23:12;24.88 Mbit/s;24.75 Mbit/s;< 1 ms;< 1 ms;24.36 Mbit/s;24.32 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 22:12;24.94 Mbit/s;24.93 Mbit/s;< 1 ms;< 1 ms;24.42 Mbit/s;24.31 Mbit/s;0.0 %;5.54 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
