dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:36;2.13 Mbit/s;7.74 Mbit/s;11.09 ms;5.93 ms;2.31 Mbit/s;8.19 Mbit/s;0.0 %;64.53 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:36;4.07 Mbit/s;16.3 Mbit/s;5.14 ms;2.86 ms;4.36 Mbit/s;16.89 Mbit/s;1.36 %;14.56 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 11:36;4.38 Mbit/s;10.78 Mbit/s;28.59 ms;13.09 ms;4.77 Mbit/s;10.13 Mbit/s;2.84 %;62.79 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 10:36;5.87 Mbit/s;7.57 Mbit/s;9.13 ms;5.11 ms;6.43 Mbit/s;7.06 Mbit/s;4.96 %;167.81 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:36;14.04 Mbit/s;9.13 Mbit/s;18.63 ms;5.02 ms;9.03 Mbit/s;8.31 Mbit/s;0.0 %;80.97 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 08:36;18.34 Mbit/s;8.82 Mbit/s;< 1 ms;6.25 ms;15.79 Mbit/s;9.3 Mbit/s;0.0 %;9.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 07:37;18.98 Mbit/s;16.32 Mbit/s;< 1 ms;3.0 ms;18.93 Mbit/s;14.84 Mbit/s;0.0 %;8.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 06:36;19.54 Mbit/s;14.13 Mbit/s;< 1 ms;3.03 ms;19.25 Mbit/s;15.09 Mbit/s;0.0 %;7.44 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:36;13.65 Mbit/s;16.03 Mbit/s;1.33 ms;1.96 ms;14.84 Mbit/s;17.07 Mbit/s;0.0 %;9.36 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 04:36;19.82 Mbit/s;17.07 Mbit/s;2.15 ms;1.85 ms;19.4 Mbit/s;15.66 Mbit/s;0.0 %;6.96 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
