dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:27;408.6 kbit/s;2.39 Mbit/s;82.85 ms;9.96 ms;425.02 kbit/s;1.81 Mbit/s;13.01 %;282.21 ms;PTT Metro de Curitiba;;;;;
03/11/15 12:26;-;-;-;2.66 ms;-;-;0.0 %;51.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:29;-;-;-;7.86 ms;-;-;10.32 %;154.73 ms;PTT Metro de Curitiba;;;;;
03/11/15 10:26;10.19 Mbit/s;4.97 Mbit/s;12.69 ms;6.89 ms;7.19 Mbit/s;4.8 Mbit/s;1.36 %;59.52 ms;PTT Metro de Curitiba;;;;;
03/11/15 09:29;-;6.32 Mbit/s;2.16 ms;1.63 ms;-;-;1.36 %;7.42 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 08:26;14.14 Mbit/s;11.72 Mbit/s;1.11 ms;6.42 ms;10.87 Mbit/s;7.06 Mbit/s;0.68 %;7.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:26;15.99 Mbit/s;18.56 Mbit/s;< 1 ms;< 1 ms;17.41 Mbit/s;16.24 Mbit/s;0.0 %;5.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:26;-;-;-;2.13 ms;-;-;0.0 %;5.64 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 01:26;13.3 Mbit/s;12.79 Mbit/s;1.31 ms;2.49 ms;14.54 Mbit/s;12.71 Mbit/s;0.0 %;6.57 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 00:30;13.28 Mbit/s;12.38 Mbit/s;1.66 ms;2.9 ms;14.51 Mbit/s;12.73 Mbit/s;0.0 %;10.43 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 00:26;12.57 Mbit/s;6.99 Mbit/s;5.53 ms;3.18 ms;9.85 Mbit/s;7.46 Mbit/s;0.0 %;9.98 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 23:26;-;-;8.7 ms;13.01 ms;-;-;0.0 %;72.95 ms;PTT Metro de Curitiba;;;;;
02/11/15 22:26;15.39 Mbit/s;12.17 Mbit/s;1.53 ms;4.82 ms;15.34 Mbit/s;11.52 Mbit/s;0.0 %;11.53 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 20:26;889.86 kbit/s;4.81 Mbit/s;12.71 ms;14.8 ms;788.95 kbit/s;5.13 Mbit/s;2.78 %;130.74 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 19:26;986.75 kbit/s;3.48 Mbit/s;14.52 ms;7.8 ms;1.03 Mbit/s;3.72 Mbit/s;0.0 %;79.63 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 18:27;-;1.26 Mbit/s;16.33 ms;8.58 ms;-;-;2.82 %;109.48 ms;PTT Metro de Curitiba;;;;;
02/11/15 17:26;-;1.51 Mbit/s;57.98 ms;12.78 ms;-;-;1.37 %;342.24 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 16:26;16.48 Mbit/s;6.52 Mbit/s;13.78 ms;9.89 ms;11.06 Mbit/s;6.86 Mbit/s;1.36 %;78.19 ms;PTT Metro de Curitiba;;;;;
02/11/15 14:26;-;8.76 Mbit/s;11.77 ms;10.84 ms;-;-;3.57 %;93.36 ms;PTT Metro de Curitiba;;;;;
02/11/15 13:26;1.67 Mbit/s;9.25 Mbit/s;10.13 ms;10.31 ms;466.91 kbit/s;9.41 Mbit/s;0.0 %;77.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
