dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:42;12.5 Mbit/s;13.08 Mbit/s;2.04 ms;1.27 ms;11.03 Mbit/s;11.82 Mbit/s;0.0 %;16.6 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 12:42;7.52 Mbit/s;3.54 Mbit/s;5.04 ms;1.19 ms;7.02 Mbit/s;3.82 Mbit/s;1.36 %;38.0 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 11:42;1.88 Mbit/s;9.18 Mbit/s;1.67 ms;1.18 ms;1.44 Mbit/s;5.74 Mbit/s;0.68 %;31.37 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 10:42;2.72 Mbit/s;7.41 Mbit/s;< 1 ms;1.8 ms;1.83 Mbit/s;6.8 Mbit/s;0.0 %;4.86 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:42;10.55 Mbit/s;14.54 Mbit/s;< 1 ms;< 1 ms;11.49 Mbit/s;14.66 Mbit/s;0.68 %;4.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 08:42;18.9 Mbit/s;19.65 Mbit/s;1.14 ms;2.19 ms;15.49 Mbit/s;19.38 Mbit/s;1.36 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 07:42;9.19 Mbit/s;18.58 Mbit/s;7.61 ms;< 1 ms;10.06 Mbit/s;17.35 Mbit/s;0.68 %;38.45 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 06:42;11.9 Mbit/s;17.31 Mbit/s;< 1 ms;< 1 ms;8.52 Mbit/s;14.45 Mbit/s;0.0 %;9.74 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:42;19.81 Mbit/s;19.48 Mbit/s;< 1 ms;7.57 ms;19.47 Mbit/s;18.23 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:42;18.99 Mbit/s;17.96 Mbit/s;1.12 ms;15.35 ms;19.12 Mbit/s;15.19 Mbit/s;0.0 %;20.52 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 03:42;19.23 Mbit/s;19.79 Mbit/s;5.82 ms;5.51 ms;19.2 Mbit/s;14.46 Mbit/s;0.0 %;7.92 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:42;19.49 Mbit/s;19.75 Mbit/s;< 1 ms;12.0 ms;16.03 Mbit/s;19.03 Mbit/s;0.0 %;4.02 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:42;19.83 Mbit/s;19.87 Mbit/s;12.09 ms;4.92 ms;19.35 Mbit/s;17.08 Mbit/s;0.0 %;4.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:42;19.87 Mbit/s;19.79 Mbit/s;8.34 ms;6.24 ms;19.36 Mbit/s;14.93 Mbit/s;0.0 %;5.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 23:42;19.87 Mbit/s;18.9 Mbit/s;4.2 ms;4.23 ms;17.93 Mbit/s;14.66 Mbit/s;0.0 %;5.21 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 22:42;19.9 Mbit/s;19.66 Mbit/s;3.39 ms;2.66 ms;19.11 Mbit/s;16.27 Mbit/s;0.0 %;10.95 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 21:42;14.5 Mbit/s;18.84 Mbit/s;7.92 ms;3.48 ms;15.63 Mbit/s;18.86 Mbit/s;0.0 %;17.87 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 20:42;19.14 Mbit/s;18.96 Mbit/s;6.15 ms;4.2 ms;19.08 Mbit/s;18.82 Mbit/s;0.68 %;19.69 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 19:42;8.43 Mbit/s;4.52 Mbit/s;2.0 ms;1.65 ms;7.38 Mbit/s;4.82 Mbit/s;0.68 %;11.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 18:42;15.82 Mbit/s;16.95 Mbit/s;2.2 ms;< 1 ms;12.52 Mbit/s;17.6 Mbit/s;0.0 %;9.79 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 17:42;12.48 Mbit/s;6.23 Mbit/s;4.93 ms;3.61 ms;9.15 Mbit/s;6.63 Mbit/s;0.0 %;22.01 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 16:42;17.03 Mbit/s;16.17 Mbit/s;2.73 ms;1.14 ms;18.11 Mbit/s;16.81 Mbit/s;0.0 %;6.3 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 15:42;7.72 Mbit/s;19.68 Mbit/s;< 1 ms;3.39 ms;7.83 Mbit/s;9.72 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 14:42;11.01 Mbit/s;18.32 Mbit/s;2.41 ms;7.39 ms;12.08 Mbit/s;16.32 Mbit/s;0.0 %;3.88 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 13:42;1.08 Mbit/s;1.07 Mbit/s;4.95 ms;1.53 ms;580.36 kbit/s;1.14 Mbit/s;0.0 %;17.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 12:42;902.5 kbit/s;987.25 kbit/s;10.47 ms;1.09 ms;447.71 kbit/s;1.05 Mbit/s;0.0 %;61.07 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 11:42;8.63 Mbit/s;10.8 Mbit/s;< 1 ms;5.15 ms;9.4 Mbit/s;11.48 Mbit/s;0.0 %;3.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 10:42;1.75 Mbit/s;14.67 Mbit/s;1.36 ms;2.4 ms;1.91 Mbit/s;6.46 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 09:42;8.76 Mbit/s;13.7 Mbit/s;< 1 ms;1.36 ms;9.38 Mbit/s;14.68 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
