dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 14:12;10.27 Mbit/s;14.75 Mbit/s;8.67 ms;2.35 ms;11.16 Mbit/s;15.89 Mbit/s;0.0 %;28.64 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 13:12;13.92 Mbit/s;15.23 Mbit/s;< 1 ms;< 1 ms;15.09 Mbit/s;15.27 Mbit/s;0.0 %;6.09 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:12;20.0 Mbit/s;20.42 Mbit/s;3.63 ms;1.09 ms;21.93 Mbit/s;21.81 Mbit/s;0.0 %;9.15 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 11:12;17.09 Mbit/s;21.7 Mbit/s;1.15 ms;1.22 ms;18.56 Mbit/s;23.36 Mbit/s;0.0 %;5.81 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:12;10.9 Mbit/s;21.92 Mbit/s;1.62 ms;1.58 ms;11.99 Mbit/s;23.51 Mbit/s;0.0 %;11.06 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 09:12;13.97 Mbit/s;25.41 Mbit/s;< 1 ms;2.37 ms;15.38 Mbit/s;26.09 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:12;19.05 Mbit/s;23.01 Mbit/s;4.27 ms;< 1 ms;19.38 Mbit/s;24.72 Mbit/s;0.0 %;5.72 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:12;21.96 Mbit/s;25.1 Mbit/s;1.82 ms;1.8 ms;22.5 Mbit/s;26.87 Mbit/s;0.0 %;5.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:12;21.52 Mbit/s;23.11 Mbit/s;9.65 ms;1.61 ms;23.7 Mbit/s;24.52 Mbit/s;0.0 %;17.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 13:12;18.53 Mbit/s;17.4 Mbit/s;< 1 ms;< 1 ms;20.23 Mbit/s;17.96 Mbit/s;0.0 %;5.98 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
