dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 11:18;37.15 Mbit/s;38.57 Mbit/s;1.22 ms;< 1 ms;37.7 Mbit/s;39.95 Mbit/s;1.36 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:18;-;-;-;-;-;-;19.83 %;3.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 05:18;41.2 Mbit/s;38.83 Mbit/s;< 1 ms;< 1 ms;44.67 Mbit/s;41.52 Mbit/s;0.0 %;3.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 02:18;40.26 Mbit/s;40.25 Mbit/s;1.12 ms;< 1 ms;41.97 Mbit/s;42.99 Mbit/s;0.0 %;3.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 23:18;40.3 Mbit/s;37.01 Mbit/s;< 1 ms;< 1 ms;43.95 Mbit/s;39.63 Mbit/s;0.0 %;3.72 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:18;43.36 Mbit/s;39.0 Mbit/s;< 1 ms;< 1 ms;47.28 Mbit/s;41.66 Mbit/s;0.0 %;3.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 17:18;41.86 Mbit/s;28.93 Mbit/s;< 1 ms;< 1 ms;45.02 Mbit/s;27.82 Mbit/s;2.8 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 14:18;-;-;< 1 ms;< 1 ms;-;-;3.55 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 11:18;42.35 Mbit/s;37.32 Mbit/s;< 1 ms;< 1 ms;46.19 Mbit/s;39.98 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 08:18;40.94 Mbit/s;39.14 Mbit/s;< 1 ms;< 1 ms;44.21 Mbit/s;41.84 Mbit/s;0.0 %;3.55 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 05:18;40.07 Mbit/s;37.82 Mbit/s;< 1 ms;< 1 ms;43.58 Mbit/s;39.92 Mbit/s;38.61 %;3.36 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 02:18;38.27 Mbit/s;39.9 Mbit/s;< 1 ms;< 1 ms;41.7 Mbit/s;42.42 Mbit/s;0.0 %;3.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 23:18;2.28 Mbit/s;38.76 Mbit/s;< 1 ms;< 1 ms;2.51 Mbit/s;41.22 Mbit/s;0.0 %;3.79 ms;NIC.br nodo 2;;;;;
01/11/15 20:18;39.95 Mbit/s;38.57 Mbit/s;< 1 ms;< 1 ms;43.55 Mbit/s;20.41 Mbit/s;0.0 %;3.53 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 17:18;-;-;-;-;-;-;67.5 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 14:18;38.85 Mbit/s;38.4 Mbit/s;< 1 ms;< 1 ms;38.16 Mbit/s;41.07 Mbit/s;0.68 %;3.79 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 11:18;40.53 Mbit/s;38.31 Mbit/s;< 1 ms;< 1 ms;43.7 Mbit/s;40.68 Mbit/s;0.0 %;3.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 08:18;39.46 Mbit/s;39.0 Mbit/s;< 1 ms;< 1 ms;42.99 Mbit/s;41.58 Mbit/s;0.0 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 05:23;29.08 Mbit/s;16.88 Mbit/s;< 1 ms;< 1 ms;-;17.94 Mbit/s;137.5 %;3.52 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 02:19;-;-;-;-;-;-;218.75 %;3.58 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 23:18;45.02 Mbit/s;39.36 Mbit/s;< 1 ms;< 1 ms;48.92 Mbit/s;42.04 Mbit/s;0.0 %;3.52 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 20:18;44.23 Mbit/s;38.21 Mbit/s;< 1 ms;< 1 ms;48.56 Mbit/s;40.79 Mbit/s;4.23 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 17:18;39.86 Mbit/s;35.87 Mbit/s;4.1 ms;< 1 ms;42.75 Mbit/s;38.39 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 14:18;21.88 Mbit/s;32.69 Mbit/s;< 1 ms;< 1 ms;22.63 Mbit/s;33.35 Mbit/s;25.93 %;5.53 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
