dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 12:29;29.94 Mbit/s;29.5 Mbit/s;11.74 ms;< 1 ms;28.92 Mbit/s;29.14 Mbit/s;1.36 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 09:29;29.92 Mbit/s;29.81 Mbit/s;< 1 ms;< 1 ms;29.17 Mbit/s;29.15 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 06:29;29.86 Mbit/s;29.75 Mbit/s;< 1 ms;< 1 ms;28.82 Mbit/s;28.98 Mbit/s;0.0 %;4.01 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:29;29.85 Mbit/s;29.51 Mbit/s;< 1 ms;< 1 ms;28.9 Mbit/s;29.19 Mbit/s;0.0 %;3.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:29;29.8 Mbit/s;29.46 Mbit/s;< 1 ms;< 1 ms;28.75 Mbit/s;29.23 Mbit/s;0.0 %;4.02 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 21:29;29.35 Mbit/s;29.5 Mbit/s;1.64 ms;< 1 ms;28.94 Mbit/s;29.15 Mbit/s;0.0 %;4.09 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 18:29;28.4 Mbit/s;29.75 Mbit/s;4.98 ms;< 1 ms;27.91 Mbit/s;29.15 Mbit/s;0.0 %;11.2 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 15:29;29.92 Mbit/s;29.68 Mbit/s;< 1 ms;< 1 ms;29.06 Mbit/s;29.13 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 12:29;29.85 Mbit/s;29.32 Mbit/s;< 1 ms;< 1 ms;28.16 Mbit/s;29.17 Mbit/s;0.0 %;4.1 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 09:29;29.91 Mbit/s;29.76 Mbit/s;5.91 ms;< 1 ms;28.97 Mbit/s;29.05 Mbit/s;0.0 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 06:29;29.85 Mbit/s;29.65 Mbit/s;< 1 ms;< 1 ms;28.86 Mbit/s;29.19 Mbit/s;0.0 %;3.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 03:29;29.86 Mbit/s;29.67 Mbit/s;< 1 ms;< 1 ms;28.95 Mbit/s;29.24 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 00:29;29.57 Mbit/s;29.8 Mbit/s;< 1 ms;< 1 ms;28.69 Mbit/s;29.09 Mbit/s;0.0 %;3.86 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 21:30;28.08 Mbit/s;29.67 Mbit/s;< 1 ms;< 1 ms;28.39 Mbit/s;29.21 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 18:29;29.91 Mbit/s;29.68 Mbit/s;< 1 ms;< 1 ms;29.1 Mbit/s;29.15 Mbit/s;0.0 %;3.96 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 15:29;29.75 Mbit/s;29.67 Mbit/s;< 1 ms;1.05 ms;29.1 Mbit/s;29.08 Mbit/s;0.0 %;3.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 12:29;29.74 Mbit/s;29.71 Mbit/s;< 1 ms;< 1 ms;28.96 Mbit/s;28.76 Mbit/s;0.0 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 09:29;29.71 Mbit/s;29.66 Mbit/s;< 1 ms;< 1 ms;28.96 Mbit/s;29.08 Mbit/s;0.0 %;3.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 06:29;29.87 Mbit/s;29.55 Mbit/s;< 1 ms;< 1 ms;28.83 Mbit/s;29.14 Mbit/s;0.0 %;3.91 ms;NIC.br nodo 2;;;;;
01/11/15 03:29;29.84 Mbit/s;29.69 Mbit/s;< 1 ms;< 1 ms;29.08 Mbit/s;29.2 Mbit/s;0.0 %;3.86 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 00:29;30.09 Mbit/s;29.98 Mbit/s;< 1 ms;< 1 ms;29.31 Mbit/s;29.21 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 18:29;29.93 Mbit/s;29.79 Mbit/s;1.27 ms;< 1 ms;29.16 Mbit/s;29.09 Mbit/s;0.0 %;4.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 15:29;29.73 Mbit/s;29.71 Mbit/s;< 1 ms;< 1 ms;28.74 Mbit/s;29.24 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 12:29;29.91 Mbit/s;23.56 Mbit/s;< 1 ms;< 1 ms;29.12 Mbit/s;25.07 Mbit/s;0.0 %;5.24 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 09:29;22.12 Mbit/s;29.65 Mbit/s;7.02 ms;9.96 ms;23.94 Mbit/s;29.16 Mbit/s;0.68 %;5.54 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 06:30;29.78 Mbit/s;29.62 Mbit/s;< 1 ms;< 1 ms;28.97 Mbit/s;29.18 Mbit/s;0.0 %;3.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 03:29;29.91 Mbit/s;29.72 Mbit/s;8.17 ms;< 1 ms;29.06 Mbit/s;29.25 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 00:29;29.78 Mbit/s;29.74 Mbit/s;< 1 ms;< 1 ms;29.27 Mbit/s;29.17 Mbit/s;0.0 %;4.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 21:29;30.08 Mbit/s;29.68 Mbit/s;1.35 ms;< 1 ms;29.31 Mbit/s;27.82 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/10/15 18:29;29.89 Mbit/s;29.73 Mbit/s;1.67 ms;1.7 ms;28.72 Mbit/s;29.06 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 15:29;29.88 Mbit/s;29.7 Mbit/s;1.04 ms;< 1 ms;28.82 Mbit/s;28.65 Mbit/s;2.07 %;5.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/10/15 12:29;28.94 Mbit/s;29.26 Mbit/s;< 1 ms;< 1 ms;28.7 Mbit/s;29.13 Mbit/s;1.36 %;4.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/10/15 09:29;29.63 Mbit/s;29.69 Mbit/s;< 1 ms;< 1 ms;28.81 Mbit/s;28.93 Mbit/s;1.36 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 06:29;30.05 Mbit/s;29.42 Mbit/s;< 1 ms;< 1 ms;29.08 Mbit/s;29.1 Mbit/s;0.0 %;3.9 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/10/15 03:29;29.92 Mbit/s;29.81 Mbit/s;< 1 ms;< 1 ms;29.17 Mbit/s;29.09 Mbit/s;0.0 %;3.91 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/10/15 00:29;25.53 Mbit/s;27.34 Mbit/s;< 1 ms;< 1 ms;27.16 Mbit/s;28.42 Mbit/s;0.0 %;3.88 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/10/15 21:29;29.71 Mbit/s;29.7 Mbit/s;< 1 ms;< 1 ms;29.08 Mbit/s;29.06 Mbit/s;0.68 %;4.7 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/10/15 18:29;29.23 Mbit/s;29.72 Mbit/s;1.01 ms;< 1 ms;28.66 Mbit/s;29.1 Mbit/s;0.68 %;6.83 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 15:29;29.85 Mbit/s;29.63 Mbit/s;1.09 ms;< 1 ms;29.01 Mbit/s;29.18 Mbit/s;2.05 %;9.55 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 12:29;29.87 Mbit/s;29.6 Mbit/s;1.03 ms;< 1 ms;28.81 Mbit/s;29.05 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/10/15 09:29;28.0 Mbit/s;29.48 Mbit/s;< 1 ms;1.27 ms;28.51 Mbit/s;29.15 Mbit/s;0.0 %;7.89 ms;NIC.br nodo 2;;;;;
29/10/15 06:29;29.72 Mbit/s;29.73 Mbit/s;< 1 ms;1.93 ms;28.81 Mbit/s;29.14 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/10/15 03:29;29.84 Mbit/s;29.77 Mbit/s;< 1 ms;< 1 ms;29.13 Mbit/s;29.23 Mbit/s;0.0 %;3.86 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 00:29;29.82 Mbit/s;29.74 Mbit/s;< 1 ms;< 1 ms;29.06 Mbit/s;29.19 Mbit/s;0.0 %;4.07 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/10/15 21:29;29.76 Mbit/s;29.67 Mbit/s;< 1 ms;1.04 ms;29.09 Mbit/s;29.09 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/10/15 18:29;29.76 Mbit/s;29.74 Mbit/s;1.23 ms;< 1 ms;28.98 Mbit/s;29.0 Mbit/s;1.36 %;5.01 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/10/15 15:29;29.78 Mbit/s;29.57 Mbit/s;< 1 ms;1.33 ms;28.89 Mbit/s;29.19 Mbit/s;1.36 %;5.81 ms;NIC.br nodo 2;;;;;
28/10/15 12:29;19.41 Mbit/s;29.81 Mbit/s;< 1 ms;< 1 ms;21.19 Mbit/s;29.17 Mbit/s;1.37 %;8.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/10/15 09:29;30.0 Mbit/s;29.98 Mbit/s;< 1 ms;< 1 ms;29.24 Mbit/s;29.26 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/10/15 03:29;29.87 Mbit/s;29.86 Mbit/s;< 1 ms;< 1 ms;29.26 Mbit/s;29.19 Mbit/s;0.0 %;3.94 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/10/15 00:29;23.93 Mbit/s;29.82 Mbit/s;< 1 ms;< 1 ms;25.99 Mbit/s;27.81 Mbit/s;0.0 %;4.03 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/10/15 21:29;29.92 Mbit/s;29.6 Mbit/s;1.06 ms;< 1 ms;29.26 Mbit/s;29.23 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/10/15 18:29;29.43 Mbit/s;29.75 Mbit/s;1.24 ms;< 1 ms;29.02 Mbit/s;29.14 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/10/15 15:29;29.87 Mbit/s;29.86 Mbit/s;< 1 ms;< 1 ms;28.99 Mbit/s;29.17 Mbit/s;0.68 %;6.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/10/15 12:29;29.56 Mbit/s;29.79 Mbit/s;< 1 ms;1.02 ms;28.37 Mbit/s;29.12 Mbit/s;0.0 %;6.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/10/15 09:29;30.04 Mbit/s;29.77 Mbit/s;< 1 ms;< 1 ms;29.01 Mbit/s;29.15 Mbit/s;0.68 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/10/15 06:30;30.0 Mbit/s;29.92 Mbit/s;5.5 ms;21.66 ms;29.29 Mbit/s;29.27 Mbit/s;0.0 %;3.82 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/10/15 03:29;29.91 Mbit/s;29.9 Mbit/s;< 1 ms;< 1 ms;29.28 Mbit/s;28.01 Mbit/s;0.0 %;4.0 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/10/15 00:29;30.0 Mbit/s;29.88 Mbit/s;< 1 ms;< 1 ms;29.18 Mbit/s;29.18 Mbit/s;0.0 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/10/15 21:29;29.95 Mbit/s;29.74 Mbit/s;< 1 ms;< 1 ms;29.22 Mbit/s;29.21 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/10/15 18:29;29.99 Mbit/s;29.91 Mbit/s;< 1 ms;< 1 ms;29.11 Mbit/s;29.24 Mbit/s;0.68 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/10/15 15:29;28.87 Mbit/s;29.77 Mbit/s;< 1 ms;1.07 ms;28.9 Mbit/s;29.13 Mbit/s;0.0 %;6.18 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/10/15 12:29;28.3 Mbit/s;29.79 Mbit/s;< 1 ms;1.1 ms;28.52 Mbit/s;28.92 Mbit/s;0.68 %;8.08 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/10/15 09:29;27.56 Mbit/s;29.5 Mbit/s;5.93 ms;3.5 ms;28.03 Mbit/s;28.83 Mbit/s;1.37 %;4.69 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/10/15 06:29;30.0 Mbit/s;29.51 Mbit/s;< 1 ms;< 1 ms;29.23 Mbit/s;29.25 Mbit/s;0.0 %;4.12 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/10/15 03:29;30.01 Mbit/s;29.85 Mbit/s;< 1 ms;4.25 ms;29.31 Mbit/s;29.2 Mbit/s;0.0 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/10/15 00:29;30.04 Mbit/s;29.87 Mbit/s;< 1 ms;< 1 ms;29.29 Mbit/s;29.25 Mbit/s;0.0 %;3.94 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/10/15 21:31;29.87 Mbit/s;29.87 Mbit/s;1.4 ms;1.65 ms;29.34 Mbit/s;29.25 Mbit/s;0.0 %;4.17 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/10/15 18:29;29.99 Mbit/s;29.63 Mbit/s;< 1 ms;2.53 ms;29.2 Mbit/s;29.14 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/10/15 15:29;29.96 Mbit/s;29.79 Mbit/s;5.47 ms;1.77 ms;29.23 Mbit/s;29.16 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/10/15 12:29;29.4 Mbit/s;29.77 Mbit/s;< 1 ms;< 1 ms;28.73 Mbit/s;29.26 Mbit/s;0.0 %;4.67 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/10/15 09:29;29.97 Mbit/s;28.14 Mbit/s;< 1 ms;< 1 ms;28.47 Mbit/s;28.95 Mbit/s;0.0 %;4.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/10/15 06:29;29.98 Mbit/s;29.83 Mbit/s;< 1 ms;< 1 ms;29.15 Mbit/s;29.2 Mbit/s;0.0 %;3.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/10/15 03:29;30.02 Mbit/s;29.85 Mbit/s;< 1 ms;< 1 ms;29.04 Mbit/s;29.27 Mbit/s;0.0 %;3.85 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/10/15 00:29;30.09 Mbit/s;29.89 Mbit/s;1.88 ms;< 1 ms;29.34 Mbit/s;29.21 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/10/15 21:29;29.61 Mbit/s;29.91 Mbit/s;2.35 ms;1.09 ms;29.11 Mbit/s;29.19 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 18:29;29.35 Mbit/s;29.87 Mbit/s;1.13 ms;< 1 ms;29.08 Mbit/s;29.11 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/10/15 15:29;29.84 Mbit/s;29.85 Mbit/s;< 1 ms;4.2 ms;19.67 Mbit/s;29.29 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/10/15 12:29;29.98 Mbit/s;29.72 Mbit/s;1.79 ms;2.15 ms;29.28 Mbit/s;29.15 Mbit/s;0.0 %;5.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/10/15 09:29;29.27 Mbit/s;28.64 Mbit/s;< 1 ms;< 1 ms;29.0 Mbit/s;28.82 Mbit/s;0.0 %;5.4 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/10/15 06:29;29.9 Mbit/s;29.73 Mbit/s;< 1 ms;1.07 ms;29.18 Mbit/s;29.09 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
