dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:14;4.98 Mbit/s;5.4 Mbit/s;14.03 ms;6.33 ms;3.71 Mbit/s;2.39 Mbit/s;0.0 %;74.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:14;11.36 Mbit/s;8.57 Mbit/s;1.35 ms;2.82 ms;8.28 Mbit/s;7.27 Mbit/s;1.37 %;9.28 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 11:14;9.41 Mbit/s;10.16 Mbit/s;4.26 ms;1.85 ms;7.85 Mbit/s;9.31 Mbit/s;2.07 %;31.81 ms;PTT Metro de Curitiba;;;;;
03/11/15 10:14;13.07 Mbit/s;13.7 Mbit/s;25.05 ms;6.0 ms;7.01 Mbit/s;4.71 Mbit/s;0.7 %;159.91 ms;PTT Metro de Curitiba;;;;;
03/11/15 09:14;18.53 Mbit/s;13.78 Mbit/s;1.19 ms;6.28 ms;19.86 Mbit/s;12.54 Mbit/s;0.0 %;5.93 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:14;19.29 Mbit/s;13.03 Mbit/s;3.48 ms;3.48 ms;18.96 Mbit/s;12.81 Mbit/s;1.37 %;11.37 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 07:14;4.9 Mbit/s;10.27 Mbit/s;< 1 ms;2.01 ms;2.6 Mbit/s;6.18 Mbit/s;0.0 %;5.79 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:14;21.83 Mbit/s;17.42 Mbit/s;< 1 ms;< 1 ms;21.85 Mbit/s;18.04 Mbit/s;0.0 %;5.5 ms;NIC.br nodo 2;;;;;
03/11/15 05:14;21.23 Mbit/s;17.05 Mbit/s;< 1 ms;1.32 ms;21.89 Mbit/s;17.72 Mbit/s;0.68 %;5.03 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 04:14;20.79 Mbit/s;11.45 Mbit/s;< 1 ms;< 1 ms;14.97 Mbit/s;11.61 Mbit/s;0.0 %;5.75 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:14;12.52 Mbit/s;15.28 Mbit/s;< 1 ms;< 1 ms;14.11 Mbit/s;9.44 Mbit/s;0.0 %;6.07 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 02:14;17.64 Mbit/s;10.44 Mbit/s;9.46 ms;4.33 ms;14.07 Mbit/s;7.76 Mbit/s;0.0 %;25.14 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 01:14;18.51 Mbit/s;15.4 Mbit/s;< 1 ms;1.09 ms;19.98 Mbit/s;15.89 Mbit/s;0.0 %;5.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 00:14;20.29 Mbit/s;14.31 Mbit/s;4.61 ms;1.05 ms;20.46 Mbit/s;12.82 Mbit/s;0.0 %;21.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:14;20.53 Mbit/s;13.64 Mbit/s;3.04 ms;< 1 ms;21.63 Mbit/s;12.73 Mbit/s;0.0 %;5.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 22:14;21.42 Mbit/s;17.41 Mbit/s;< 1 ms;< 1 ms;21.16 Mbit/s;17.82 Mbit/s;0.0 %;5.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 21:14;18.18 Mbit/s;7.26 Mbit/s;2.66 ms;3.67 ms;13.88 Mbit/s;7.86 Mbit/s;2.08 %;14.55 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 20:14;22.24 Mbit/s;17.63 Mbit/s;< 1 ms;7.94 ms;22.43 Mbit/s;16.87 Mbit/s;0.0 %;5.67 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 19:14;8.15 Mbit/s;17.27 Mbit/s;< 1 ms;< 1 ms;3.33 Mbit/s;5.81 Mbit/s;0.0 %;6.09 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 18:14;21.51 Mbit/s;17.8 Mbit/s;7.08 ms;2.06 ms;20.91 Mbit/s;17.96 Mbit/s;0.0 %;34.72 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 17:14;8.72 Mbit/s;8.19 Mbit/s;2.93 ms;< 1 ms;8.68 Mbit/s;5.95 Mbit/s;0.0 %;48.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 16:14;18.28 Mbit/s;7.76 Mbit/s;9.98 ms;< 1 ms;16.12 Mbit/s;7.58 Mbit/s;0.68 %;48.97 ms;PTT Metro de Curitiba;;;;;
02/11/15 14:14;4.48 Mbit/s;5.82 Mbit/s;8.2 ms;4.26 ms;4.91 Mbit/s;2.62 Mbit/s;0.0 %;52.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 13:14;10.67 Mbit/s;10.51 Mbit/s;1.55 ms;2.05 ms;8.7 Mbit/s;6.17 Mbit/s;0.0 %;19.2 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 12:14;19.25 Mbit/s;13.68 Mbit/s;< 1 ms;< 1 ms;15.31 Mbit/s;13.82 Mbit/s;0.0 %;7.6 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 11:14;19.16 Mbit/s;15.31 Mbit/s;< 1 ms;1.1 ms;20.16 Mbit/s;10.41 Mbit/s;0.0 %;6.46 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 10:14;15.62 Mbit/s;12.32 Mbit/s;4.13 ms;2.37 ms;17.08 Mbit/s;13.11 Mbit/s;0.0 %;8.29 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 09:14;21.91 Mbit/s;15.16 Mbit/s;1.34 ms;1.04 ms;20.6 Mbit/s;15.09 Mbit/s;0.0 %;6.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 08:14;19.82 Mbit/s;13.01 Mbit/s;1.28 ms;< 1 ms;21.28 Mbit/s;13.9 Mbit/s;0.68 %;8.77 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
