dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:46;10.36 Mbit/s;3.01 Mbit/s;1.34 ms;1.73 ms;10.7 Mbit/s;3.21 Mbit/s;0.68 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 12:46;951.99 kbit/s;5.78 Mbit/s;9.39 ms;10.38 ms;893.67 kbit/s;1.72 Mbit/s;2.82 %;151.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 11:46;5.49 Mbit/s;6.45 Mbit/s;< 1 ms;2.0 ms;790.69 kbit/s;3.72 Mbit/s;2.07 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:46;5.95 Mbit/s;8.67 Mbit/s;1.24 ms;< 1 ms;4.38 Mbit/s;8.04 Mbit/s;2.07 %;3.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:46;8.83 Mbit/s;14.71 Mbit/s;< 1 ms;1.08 ms;9.66 Mbit/s;5.99 Mbit/s;2.82 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 08:46;12.77 Mbit/s;15.11 Mbit/s;10.13 ms;6.68 ms;9.42 Mbit/s;15.98 Mbit/s;8.46 %;6.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 07:47;440.19 kbit/s;10.93 Mbit/s;1.81 ms;< 1 ms;226.04 kbit/s;2.81 Mbit/s;1.38 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:46;9.0 Mbit/s;13.13 Mbit/s;< 1 ms;< 1 ms;6.24 Mbit/s;13.85 Mbit/s;0.0 %;3.84 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:46;1.15 Mbit/s;17.36 Mbit/s;< 1 ms;< 1 ms;1.26 Mbit/s;9.92 Mbit/s;0.0 %;3.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 04:46;12.98 Mbit/s;19.32 Mbit/s;< 1 ms;< 1 ms;13.77 Mbit/s;19.98 Mbit/s;0.0 %;3.28 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 03:46;14.34 Mbit/s;19.7 Mbit/s;< 1 ms;< 1 ms;15.6 Mbit/s;20.32 Mbit/s;0.0 %;3.23 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:46;17.53 Mbit/s;18.92 Mbit/s;< 1 ms;< 1 ms;17.49 Mbit/s;20.17 Mbit/s;0.68 %;3.11 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 01:46;17.33 Mbit/s;18.35 Mbit/s;< 1 ms;< 1 ms;17.48 Mbit/s;19.05 Mbit/s;0.0 %;3.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:46;11.01 Mbit/s;6.78 Mbit/s;< 1 ms;< 1 ms;11.77 Mbit/s;6.27 Mbit/s;0.0 %;3.37 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 23:46;13.4 Mbit/s;15.95 Mbit/s;< 1 ms;< 1 ms;11.56 Mbit/s;14.58 Mbit/s;0.0 %;3.27 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 22:46;9.88 Mbit/s;8.81 Mbit/s;< 1 ms;2.1 ms;3.92 Mbit/s;9.18 Mbit/s;0.68 %;3.29 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:46;8.07 Mbit/s;13.48 Mbit/s;< 1 ms;< 1 ms;8.82 Mbit/s;14.17 Mbit/s;0.0 %;3.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:46;7.01 Mbit/s;7.6 Mbit/s;< 1 ms;1.48 ms;7.33 Mbit/s;5.87 Mbit/s;0.68 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 19:46;11.08 Mbit/s;10.53 Mbit/s;6.27 ms;< 1 ms;6.56 Mbit/s;5.94 Mbit/s;0.0 %;3.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
