dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:28;2.85 Mbit/s;3.46 Mbit/s;12.3 ms;2.84 ms;3.11 Mbit/s;3.72 Mbit/s;1.36 %;85.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 12:28;787.71 kbit/s;2.79 Mbit/s;26.44 ms;3.98 ms;805.53 kbit/s;3.0 Mbit/s;0.0 %;172.57 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 11:28;4.07 Mbit/s;2.64 Mbit/s;16.01 ms;4.15 ms;4.42 Mbit/s;2.84 Mbit/s;0.0 %;61.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 10:28;5.63 Mbit/s;5.95 Mbit/s;8.12 ms;4.86 ms;6.14 Mbit/s;6.38 Mbit/s;0.0 %;70.85 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:28;1.15 Mbit/s;4.55 Mbit/s;19.97 ms;3.29 ms;1.26 Mbit/s;4.88 Mbit/s;1.37 %;84.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 08:28;2.49 Mbit/s;5.82 Mbit/s;5.0 ms;1.74 ms;2.73 Mbit/s;6.25 Mbit/s;0.0 %;29.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:28;3.22 Mbit/s;4.41 Mbit/s;22.43 ms;1.88 ms;3.53 Mbit/s;4.74 Mbit/s;0.0 %;59.93 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:28;18.07 Mbit/s;11.39 Mbit/s;9.12 ms;1.62 ms;19.64 Mbit/s;12.22 Mbit/s;0.68 %;52.35 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:28;1.68 Mbit/s;4.31 Mbit/s;19.72 ms;2.97 ms;1.84 Mbit/s;4.63 Mbit/s;0.0 %;77.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 04:28;26.74 Mbit/s;24.02 Mbit/s;7.1 ms;4.18 ms;28.93 Mbit/s;25.35 Mbit/s;0.0 %;13.57 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 03:28;25.64 Mbit/s;23.72 Mbit/s;1.52 ms;1.57 ms;27.98 Mbit/s;25.39 Mbit/s;0.0 %;9.89 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 02:28;26.73 Mbit/s;21.31 Mbit/s;1.3 ms;1.21 ms;27.57 Mbit/s;22.77 Mbit/s;0.0 %;9.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 01:28;21.59 Mbit/s;20.06 Mbit/s;1.52 ms;1.05 ms;23.14 Mbit/s;21.22 Mbit/s;0.0 %;10.4 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:28;16.99 Mbit/s;16.5 Mbit/s;4.3 ms;3.08 ms;17.84 Mbit/s;17.34 Mbit/s;0.0 %;12.69 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:28;17.7 Mbit/s;15.67 Mbit/s;4.96 ms;2.08 ms;19.08 Mbit/s;16.76 Mbit/s;0.0 %;25.69 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 22:28;11.12 Mbit/s;11.93 Mbit/s;1.01 ms;2.27 ms;12.0 Mbit/s;12.83 Mbit/s;0.68 %;20.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 21:28;12.63 Mbit/s;10.7 Mbit/s;8.05 ms;9.66 ms;13.77 Mbit/s;11.47 Mbit/s;0.0 %;41.06 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 20:28;1.44 Mbit/s;4.35 Mbit/s;18.97 ms;4.63 ms;1.57 Mbit/s;4.68 Mbit/s;0.0 %;82.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 19:28;10.56 Mbit/s;10.29 Mbit/s;12.65 ms;2.8 ms;11.44 Mbit/s;10.96 Mbit/s;0.0 %;34.32 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 18:28;3.54 Mbit/s;4.24 Mbit/s;23.31 ms;6.4 ms;3.86 Mbit/s;4.56 Mbit/s;0.0 %;90.63 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 17:28;5.68 Mbit/s;5.79 Mbit/s;5.47 ms;5.01 ms;6.24 Mbit/s;6.24 Mbit/s;0.0 %;23.35 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 16:28;1.68 Mbit/s;3.29 Mbit/s;26.13 ms;4.79 ms;1.82 Mbit/s;3.55 Mbit/s;0.0 %;57.11 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 15:28;8.59 Mbit/s;6.98 Mbit/s;4.06 ms;3.21 ms;9.38 Mbit/s;7.49 Mbit/s;0.0 %;25.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 14:28;4.25 Mbit/s;7.3 Mbit/s;17.87 ms;5.11 ms;4.67 Mbit/s;7.81 Mbit/s;0.0 %;51.76 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 13:28;2.93 Mbit/s;4.46 Mbit/s;23.77 ms;11.95 ms;3.23 Mbit/s;4.8 Mbit/s;0.0 %;121.17 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 12:28;5.86 Mbit/s;8.19 Mbit/s;14.93 ms;3.04 ms;6.34 Mbit/s;8.79 Mbit/s;0.0 %;65.48 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 11:28;3.57 Mbit/s;3.14 Mbit/s;9.28 ms;6.26 ms;3.84 Mbit/s;3.37 Mbit/s;0.0 %;45.43 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 10:28;6.89 Mbit/s;9.12 Mbit/s;1.83 ms;2.84 ms;7.45 Mbit/s;9.83 Mbit/s;0.0 %;15.74 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 09:34;15.72 Mbit/s;14.04 Mbit/s;15.7 ms;5.37 ms;16.85 Mbit/s;15.13 Mbit/s;0.0 %;55.52 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 09:28;13.44 Mbit/s;16.75 Mbit/s;1.73 ms;2.37 ms;-;17.81 Mbit/s;0.0 %;17.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 08:28;24.39 Mbit/s;21.57 Mbit/s;1.69 ms;1.75 ms;26.46 Mbit/s;23.14 Mbit/s;0.0 %;14.7 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 07:28;22.02 Mbit/s;21.67 Mbit/s;1.34 ms;1.4 ms;23.61 Mbit/s;23.11 Mbit/s;0.0 %;9.67 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 06:28;17.8 Mbit/s;17.55 Mbit/s;2.16 ms;5.8 ms;19.14 Mbit/s;18.66 Mbit/s;0.0 %;22.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 05:28;21.57 Mbit/s;22.42 Mbit/s;2.62 ms;< 1 ms;23.04 Mbit/s;23.5 Mbit/s;0.0 %;11.55 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 04:28;23.07 Mbit/s;21.7 Mbit/s;1.65 ms;2.88 ms;25.01 Mbit/s;23.28 Mbit/s;0.0 %;12.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:28;25.57 Mbit/s;23.16 Mbit/s;2.27 ms;1.28 ms;27.67 Mbit/s;24.8 Mbit/s;0.74 %;15.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:28;18.81 Mbit/s;14.54 Mbit/s;< 1 ms;11.55 ms;20.48 Mbit/s;15.32 Mbit/s;0.68 %;15.08 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 01:28;16.99 Mbit/s;13.13 Mbit/s;1.8 ms;3.12 ms;18.28 Mbit/s;14.08 Mbit/s;0.0 %;19.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 00:28;16.09 Mbit/s;17.59 Mbit/s;7.09 ms;3.01 ms;17.27 Mbit/s;18.64 Mbit/s;0.0 %;19.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 23:28;8.29 Mbit/s;11.55 Mbit/s;19.18 ms;2.7 ms;8.99 Mbit/s;12.3 Mbit/s;0.68 %;33.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 22:29;4.14 Mbit/s;6.0 Mbit/s;2.81 ms;8.56 ms;4.57 Mbit/s;6.44 Mbit/s;0.0 %;21.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 21:28;12.12 Mbit/s;10.67 Mbit/s;13.93 ms;4.18 ms;13.22 Mbit/s;11.25 Mbit/s;0.68 %;64.76 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 20:28;16.25 Mbit/s;11.67 Mbit/s;7.55 ms;3.44 ms;17.49 Mbit/s;12.57 Mbit/s;0.0 %;34.25 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 19:28;8.35 Mbit/s;6.7 Mbit/s;6.01 ms;5.58 ms;9.16 Mbit/s;7.18 Mbit/s;0.68 %;27.88 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 18:28;15.45 Mbit/s;13.35 Mbit/s;3.68 ms;2.42 ms;16.06 Mbit/s;14.1 Mbit/s;0.0 %;18.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 17:28;13.63 Mbit/s;13.08 Mbit/s;2.97 ms;3.14 ms;14.41 Mbit/s;14.07 Mbit/s;0.0 %;14.6 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 16:28;6.86 Mbit/s;3.87 Mbit/s;3.61 ms;3.28 ms;7.43 Mbit/s;4.15 Mbit/s;0.0 %;18.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 15:28;16.51 Mbit/s;12.37 Mbit/s;7.55 ms;6.4 ms;17.63 Mbit/s;13.2 Mbit/s;0.0 %;20.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 14:28;4.05 Mbit/s;8.48 Mbit/s;6.77 ms;5.88 ms;4.4 Mbit/s;9.12 Mbit/s;0.0 %;24.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 13:28;7.87 Mbit/s;8.82 Mbit/s;13.79 ms;4.55 ms;8.59 Mbit/s;9.53 Mbit/s;0.68 %;44.71 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 12:28;5.04 Mbit/s;5.5 Mbit/s;12.58 ms;5.26 ms;5.48 Mbit/s;5.9 Mbit/s;0.0 %;68.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 11:28;9.83 Mbit/s;10.73 Mbit/s;17.25 ms;2.02 ms;10.71 Mbit/s;11.54 Mbit/s;2.07 %;57.91 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 10:28;15.57 Mbit/s;17.37 Mbit/s;3.44 ms;1.9 ms;16.81 Mbit/s;18.51 Mbit/s;0.0 %;17.11 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 09:28;11.87 Mbit/s;13.51 Mbit/s;2.13 ms;1.44 ms;12.91 Mbit/s;14.54 Mbit/s;0.0 %;20.43 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 08:28;19.17 Mbit/s;19.58 Mbit/s;3.44 ms;1.68 ms;20.82 Mbit/s;20.81 Mbit/s;0.0 %;20.99 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 07:28;18.77 Mbit/s;20.89 Mbit/s;1.12 ms;2.3 ms;20.14 Mbit/s;21.63 Mbit/s;0.0 %;21.7 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 06:28;18.38 Mbit/s;19.03 Mbit/s;1.36 ms;1.08 ms;19.89 Mbit/s;19.49 Mbit/s;0.0 %;10.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 05:28;22.49 Mbit/s;22.3 Mbit/s;3.45 ms;< 1 ms;24.23 Mbit/s;21.96 Mbit/s;0.0 %;15.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 04:28;19.28 Mbit/s;20.98 Mbit/s;< 1 ms;2.95 ms;20.93 Mbit/s;21.72 Mbit/s;0.0 %;10.42 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 03:28;16.78 Mbit/s;15.24 Mbit/s;3.96 ms;1.0 ms;18.24 Mbit/s;15.8 Mbit/s;0.0 %;22.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 02:28;14.01 Mbit/s;17.6 Mbit/s;1.24 ms;1.7 ms;15.19 Mbit/s;18.68 Mbit/s;0.0 %;10.17 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 01:28;18.33 Mbit/s;10.66 Mbit/s;4.6 ms;2.76 ms;19.57 Mbit/s;11.41 Mbit/s;0.0 %;19.32 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 00:28;11.09 Mbit/s;13.13 Mbit/s;1.86 ms;1.69 ms;12.11 Mbit/s;13.97 Mbit/s;0.0 %;23.23 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 23:28;18.31 Mbit/s;12.03 Mbit/s;4.92 ms;6.85 ms;19.16 Mbit/s;12.92 Mbit/s;0.0 %;21.54 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 22:28;10.14 Mbit/s;10.77 Mbit/s;14.25 ms;5.21 ms;11.11 Mbit/s;11.57 Mbit/s;0.0 %;30.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 21:28;5.74 Mbit/s;4.84 Mbit/s;1.45 ms;5.69 ms;6.29 Mbit/s;5.21 Mbit/s;0.0 %;18.19 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 20:28;3.21 Mbit/s;7.82 Mbit/s;16.98 ms;8.61 ms;3.52 Mbit/s;8.37 Mbit/s;3.47 %;34.77 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 19:28;8.13 Mbit/s;7.0 Mbit/s;3.72 ms;1.82 ms;8.9 Mbit/s;7.54 Mbit/s;0.0 %;25.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
