dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:40;-;758.15 kbit/s;9.97 ms;2.38 ms;-;-;2.07 %;43.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 12:41;-;1.04 Mbit/s;8.59 ms;3.49 ms;-;-;2.82 %;59.98 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/11/15 11:40;4.72 Mbit/s;9.75 Mbit/s;6.36 ms;2.83 ms;4.33 Mbit/s;6.79 Mbit/s;26.47 %;41.21 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 10:40;10.01 Mbit/s;8.17 Mbit/s;1.39 ms;2.15 ms;6.86 Mbit/s;7.93 Mbit/s;0.68 %;7.74 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 09:40;16.96 Mbit/s;13.98 Mbit/s;< 1 ms;1.88 ms;15.99 Mbit/s;14.88 Mbit/s;5.88 %;2.73 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 08:40;4.06 Mbit/s;12.18 Mbit/s;11.51 ms;2.2 ms;4.27 Mbit/s;8.17 Mbit/s;5.11 %;17.93 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 07:40;17.43 Mbit/s;15.9 Mbit/s;1.86 ms;1.22 ms;19.12 Mbit/s;16.92 Mbit/s;1.37 %;2.57 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 06:40;18.97 Mbit/s;19.93 Mbit/s;< 1 ms;< 1 ms;17.64 Mbit/s;20.81 Mbit/s;0.0 %;2.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 05:41;21.4 Mbit/s;20.66 Mbit/s;< 1 ms;< 1 ms;19.58 Mbit/s;21.96 Mbit/s;0.0 %;2.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 04:40;22.63 Mbit/s;21.13 Mbit/s;< 1 ms;< 1 ms;23.57 Mbit/s;22.36 Mbit/s;0.68 %;2.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 03:40;22.61 Mbit/s;21.28 Mbit/s;< 1 ms;< 1 ms;22.69 Mbit/s;16.38 Mbit/s;0.0 %;2.58 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 02:40;22.72 Mbit/s;9.61 Mbit/s;9.54 ms;< 1 ms;23.53 Mbit/s;10.23 Mbit/s;0.0 %;2.68 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
