dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 11:14;10.02 Mbit/s;12.94 Mbit/s;2.95 ms;1.16 ms;10.74 Mbit/s;12.94 Mbit/s;1.36 %;8.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:14;16.09 Mbit/s;18.16 Mbit/s;< 1 ms;2.17 ms;17.37 Mbit/s;19.29 Mbit/s;0.68 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 05:14;24.04 Mbit/s;21.14 Mbit/s;< 1 ms;< 1 ms;24.25 Mbit/s;14.4 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 02:14;24.3 Mbit/s;11.32 Mbit/s;< 1 ms;2.53 ms;24.46 Mbit/s;12.07 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 23:15;13.29 Mbit/s;3.19 Mbit/s;< 1 ms;2.41 ms;14.62 Mbit/s;3.28 Mbit/s;8.53 %;17.04 ms;PTT Metro de Curitiba;;;;;
02/11/15 20:14;23.69 Mbit/s;16.33 Mbit/s;< 1 ms;< 1 ms;23.82 Mbit/s;16.2 Mbit/s;0.0 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 17:14;16.54 Mbit/s;20.36 Mbit/s;2.97 ms;< 1 ms;15.17 Mbit/s;15.52 Mbit/s;0.0 %;16.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 14:14;12.69 Mbit/s;11.21 Mbit/s;2.2 ms;4.39 ms;11.1 Mbit/s;9.88 Mbit/s;0.0 %;7.53 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 11:14;17.74 Mbit/s;21.51 Mbit/s;< 1 ms;< 1 ms;19.27 Mbit/s;16.7 Mbit/s;0.0 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 08:14;24.01 Mbit/s;21.4 Mbit/s;< 1 ms;< 1 ms;24.46 Mbit/s;18.59 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 05:14;21.03 Mbit/s;9.25 Mbit/s;< 1 ms;< 1 ms;22.52 Mbit/s;6.83 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 02:14;24.06 Mbit/s;4.87 Mbit/s;3.99 ms;12.54 ms;23.94 Mbit/s;5.19 Mbit/s;0.0 %;6.81 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 23:14;22.72 Mbit/s;10.4 Mbit/s;< 1 ms;3.1 ms;10.73 Mbit/s;10.55 Mbit/s;0.0 %;5.43 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 20:14;13.15 Mbit/s;1.02 Mbit/s;< 1 ms;< 1 ms;14.39 Mbit/s;1.09 Mbit/s;0.68 %;7.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 17:14;90.57 kbit/s;2.32 Mbit/s;< 1 ms;3.54 ms;96.0 kbit/s;650.75 kbit/s;0.0 %;5.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 14:14;20.87 Mbit/s;10.45 Mbit/s;< 1 ms;1.14 ms;21.84 Mbit/s;11.09 Mbit/s;0.0 %;5.95 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 11:15;14.7 Mbit/s;13.55 Mbit/s;8.73 ms;2.59 ms;15.91 Mbit/s;9.13 Mbit/s;0.0 %;316.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 08:14;23.8 Mbit/s;3.88 Mbit/s;< 1 ms;17.24 ms;22.76 Mbit/s;3.67 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 05:14;23.91 Mbit/s;7.87 Mbit/s;< 1 ms;2.67 ms;21.59 Mbit/s;4.96 Mbit/s;0.68 %;4.85 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
