dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 11:56;2.16 Mbit/s;34.13 Mbit/s;11.41 ms;< 1 ms;2.08 Mbit/s;36.12 Mbit/s;1.36 %;13.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 10:56;15.95 Mbit/s;34.77 Mbit/s;< 1 ms;< 1 ms;7.8 Mbit/s;36.44 Mbit/s;2.05 %;8.45 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:55;14.97 Mbit/s;35.37 Mbit/s;64.32 ms;< 1 ms;7.65 Mbit/s;37.13 Mbit/s;0.0 %;6.78 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 05:55;7.46 Mbit/s;38.23 Mbit/s;33.6 ms;-;3.9 Mbit/s;38.34 Mbit/s;0.0 %;7.92 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/11/15 02:55;1.22 Mbit/s;38.81 Mbit/s;3.9 ms;< 1 ms;1.19 Mbit/s;38.86 Mbit/s;0.0 %;9.38 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 23:55;453.88 kbit/s;34.91 Mbit/s;2.04 ms;< 1 ms;481.75 kbit/s;34.63 Mbit/s;0.0 %;7.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 20:55;4.47 Mbit/s;35.86 Mbit/s;1.54 ms;< 1 ms;2.14 Mbit/s;37.4 Mbit/s;0.0 %;6.25 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 17:55;6.99 Mbit/s;20.51 Mbit/s;5.57 ms;< 1 ms;3.54 Mbit/s;21.21 Mbit/s;0.68 %;7.64 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 14:55;10.54 Mbit/s;20.44 Mbit/s;10.32 ms;< 1 ms;5.03 Mbit/s;21.11 Mbit/s;0.0 %;12.1 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 08:55;11.71 Mbit/s;36.23 Mbit/s;8.29 ms;1.3 ms;6.17 Mbit/s;37.75 Mbit/s;0.0 %;9.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 05:55;1.19 Mbit/s;34.21 Mbit/s;13.55 ms;< 1 ms;1.23 Mbit/s;35.57 Mbit/s;0.0 %;8.61 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
