dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 13:51;17.25 Mbit/s;17.83 Mbit/s;1.73 ms;1.14 ms;16.22 Mbit/s;18.84 Mbit/s;2.07 %;4.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 12:51;2.25 Mbit/s;11.36 Mbit/s;9.52 ms;1.56 ms;2.41 Mbit/s;12.01 Mbit/s;1.36 %;28.87 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 11:51;5.06 Mbit/s;19.49 Mbit/s;6.45 ms;< 1 ms;3.33 Mbit/s;20.65 Mbit/s;0.68 %;16.72 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 10:51;14.8 Mbit/s;19.92 Mbit/s;1.74 ms;< 1 ms;12.34 Mbit/s;21.1 Mbit/s;1.36 %;5.12 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 09:51;3.31 Mbit/s;17.88 Mbit/s;< 1 ms;1.31 ms;2.97 Mbit/s;14.65 Mbit/s;1.36 %;5.73 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 08:51;17.85 Mbit/s;21.03 Mbit/s;4.1 ms;< 1 ms;13.72 Mbit/s;22.07 Mbit/s;1.36 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 07:51;21.63 Mbit/s;21.59 Mbit/s;< 1 ms;< 1 ms;21.06 Mbit/s;22.77 Mbit/s;0.68 %;2.84 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 06:51;19.9 Mbit/s;21.09 Mbit/s;< 1 ms;5.16 ms;20.5 Mbit/s;22.24 Mbit/s;0.0 %;2.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 05:51;21.39 Mbit/s;21.17 Mbit/s;1.05 ms;< 1 ms;18.82 Mbit/s;22.17 Mbit/s;0.0 %;2.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 04:51;20.23 Mbit/s;21.15 Mbit/s;< 1 ms;< 1 ms;21.33 Mbit/s;22.21 Mbit/s;0.0 %;2.71 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
