dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 12:02;7.03 Mbit/s;14.13 Mbit/s;4.19 ms;4.6 ms;7.59 Mbit/s;15.18 Mbit/s;1.36 %;33.14 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 09:02;11.93 Mbit/s;46.01 Mbit/s;3.14 ms;< 1 ms;12.78 Mbit/s;49.38 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 06:02;1.99 Mbit/s;16.53 Mbit/s;14.02 ms;< 1 ms;2.18 Mbit/s;17.64 Mbit/s;0.0 %;14.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 03:02;6.31 Mbit/s;17.91 Mbit/s;5.79 ms;< 1 ms;6.9 Mbit/s;19.1 Mbit/s;0.0 %;18.26 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 00:02;14.07 Mbit/s;33.92 Mbit/s;10.36 ms;< 1 ms;15.21 Mbit/s;36.25 Mbit/s;0.0 %;9.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 21:02;12.67 Mbit/s;32.82 Mbit/s;1.54 ms;< 1 ms;10.53 Mbit/s;35.0 Mbit/s;0.0 %;8.55 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 18:02;13.17 Mbit/s;14.8 Mbit/s;11.49 ms;4.44 ms;14.48 Mbit/s;15.8 Mbit/s;0.0 %;32.92 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/11/15 15:02;16.88 Mbit/s;26.99 Mbit/s;3.09 ms;< 1 ms;16.55 Mbit/s;29.03 Mbit/s;0.68 %;8.01 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 12:02;9.21 Mbit/s;18.98 Mbit/s;10.05 ms;< 1 ms;9.36 Mbit/s;20.2 Mbit/s;0.0 %;10.98 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 09:02;8.92 Mbit/s;15.27 Mbit/s;51.15 ms;1.38 ms;8.66 Mbit/s;16.35 Mbit/s;0.0 %;323.09 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/11/15 06:02;4.4 Mbit/s;19.1 Mbit/s;2.1 ms;< 1 ms;4.9 Mbit/s;20.32 Mbit/s;0.0 %;16.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:03;10.24 Mbit/s;27.45 Mbit/s;3.84 ms;< 1 ms;9.51 Mbit/s;29.44 Mbit/s;0.0 %;12.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 00:02;16.57 Mbit/s;26.62 Mbit/s;4.6 ms;< 1 ms;18.37 Mbit/s;28.78 Mbit/s;0.0 %;10.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 21:02;21.63 Mbit/s;34.18 Mbit/s;3.29 ms;2.02 ms;22.02 Mbit/s;36.73 Mbit/s;0.0 %;7.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 18:02;14.78 Mbit/s;36.01 Mbit/s;6.61 ms;< 1 ms;15.62 Mbit/s;38.43 Mbit/s;0.0 %;10.13 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 15:02;18.37 Mbit/s;26.9 Mbit/s;2.17 ms;< 1 ms;17.65 Mbit/s;28.87 Mbit/s;0.68 %;7.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 09:02;9.32 Mbit/s;22.85 Mbit/s;2.21 ms;1.2 ms;8.92 Mbit/s;24.71 Mbit/s;0.0 %;10.91 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 06:02;5.1 Mbit/s;23.52 Mbit/s;5.09 ms;1.4 ms;3.66 Mbit/s;25.16 Mbit/s;0.0 %;7.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 03:02;8.17 Mbit/s;28.16 Mbit/s;17.18 ms;3.24 ms;8.05 Mbit/s;30.19 Mbit/s;0.0 %;83.13 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/11/15 00:02;10.93 Mbit/s;7.87 Mbit/s;1.36 ms;2.27 ms;12.05 Mbit/s;8.43 Mbit/s;0.0 %;30.75 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 21:02;8.64 Mbit/s;16.21 Mbit/s;8.15 ms;5.03 ms;8.72 Mbit/s;17.33 Mbit/s;0.0 %;101.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 18:02;10.6 Mbit/s;20.77 Mbit/s;18.38 ms;5.58 ms;8.17 Mbit/s;21.36 Mbit/s;0.0 %;135.04 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
