dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:08;36.53 Mbit/s;42.04 Mbit/s;< 1 ms;< 1 ms;39.24 Mbit/s;44.07 Mbit/s;0.0 %;2.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 19:08;34.18 Mbit/s;46.32 Mbit/s;< 1 ms;< 1 ms;37.29 Mbit/s;49.2 Mbit/s;0.0 %;2.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 18:08;34.65 Mbit/s;45.33 Mbit/s;< 1 ms;< 1 ms;38.08 Mbit/s;48.17 Mbit/s;0.0 %;2.76 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 17:08;35.93 Mbit/s;47.24 Mbit/s;< 1 ms;< 1 ms;38.63 Mbit/s;50.33 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 16:08;36.49 Mbit/s;43.29 Mbit/s;< 1 ms;< 1 ms;39.48 Mbit/s;46.03 Mbit/s;0.0 %;2.66 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 14:08;36.14 Mbit/s;46.29 Mbit/s;< 1 ms;< 1 ms;39.56 Mbit/s;49.34 Mbit/s;0.0 %;2.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:08;27.97 Mbit/s;46.28 Mbit/s;< 1 ms;< 1 ms;30.53 Mbit/s;49.35 Mbit/s;0.0 %;2.19 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 09:08;36.1 Mbit/s;45.91 Mbit/s;< 1 ms;< 1 ms;39.41 Mbit/s;48.85 Mbit/s;0.0 %;2.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 08:08;36.89 Mbit/s;38.65 Mbit/s;< 1 ms;< 1 ms;40.5 Mbit/s;41.33 Mbit/s;0.0 %;2.12 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 07:08;36.96 Mbit/s;45.33 Mbit/s;< 1 ms;< 1 ms;40.38 Mbit/s;48.29 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 06:08;33.31 Mbit/s;46.07 Mbit/s;< 1 ms;< 1 ms;20.37 Mbit/s;48.89 Mbit/s;0.0 %;2.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 05:08;37.12 Mbit/s;45.72 Mbit/s;5.78 ms;< 1 ms;40.32 Mbit/s;48.66 Mbit/s;0.0 %;2.25 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 04:08;38.71 Mbit/s;46.41 Mbit/s;< 1 ms;< 1 ms;42.27 Mbit/s;49.41 Mbit/s;0.0 %;2.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 03:08;36.86 Mbit/s;46.48 Mbit/s;< 1 ms;< 1 ms;40.58 Mbit/s;49.54 Mbit/s;0.0 %;2.36 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 02:08;36.68 Mbit/s;47.48 Mbit/s;< 1 ms;< 1 ms;40.03 Mbit/s;50.63 Mbit/s;0.0 %;2.29 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 00:08;36.32 Mbit/s;46.33 Mbit/s;< 1 ms;< 1 ms;39.84 Mbit/s;47.62 Mbit/s;0.0 %;2.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 23:08;36.16 Mbit/s;45.51 Mbit/s;< 1 ms;< 1 ms;39.57 Mbit/s;48.46 Mbit/s;0.0 %;2.33 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 22:08;36.11 Mbit/s;47.13 Mbit/s;< 1 ms;< 1 ms;39.3 Mbit/s;49.05 Mbit/s;0.0 %;2.25 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 20:08;36.3 Mbit/s;45.56 Mbit/s;< 1 ms;< 1 ms;39.55 Mbit/s;48.44 Mbit/s;0.0 %;2.14 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 19:08;35.09 Mbit/s;46.46 Mbit/s;< 1 ms;< 1 ms;38.53 Mbit/s;49.66 Mbit/s;0.0 %;2.19 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 18:08;35.66 Mbit/s;46.32 Mbit/s;< 1 ms;< 1 ms;38.8 Mbit/s;49.51 Mbit/s;0.0 %;2.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 17:08;35.68 Mbit/s;45.4 Mbit/s;3.38 ms;< 1 ms;38.92 Mbit/s;47.43 Mbit/s;0.0 %;2.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 16:08;34.13 Mbit/s;39.71 Mbit/s;< 1 ms;< 1 ms;37.44 Mbit/s;41.58 Mbit/s;0.0 %;2.32 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 13:08;36.18 Mbit/s;45.62 Mbit/s;< 1 ms;< 1 ms;39.81 Mbit/s;48.5 Mbit/s;0.0 %;2.31 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 12:08;36.71 Mbit/s;46.6 Mbit/s;< 1 ms;< 1 ms;37.11 Mbit/s;49.62 Mbit/s;0.0 %;2.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 11:08;36.38 Mbit/s;45.46 Mbit/s;< 1 ms;< 1 ms;40.07 Mbit/s;47.36 Mbit/s;0.0 %;2.41 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 09:08;33.64 Mbit/s;37.66 Mbit/s;< 1 ms;< 1 ms;37.06 Mbit/s;39.92 Mbit/s;2.07 %;2.83 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 08:08;37.81 Mbit/s;45.87 Mbit/s;< 1 ms;< 1 ms;41.69 Mbit/s;48.41 Mbit/s;0.0 %;2.24 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 06:08;35.02 Mbit/s;45.42 Mbit/s;< 1 ms;< 1 ms;38.54 Mbit/s;48.42 Mbit/s;0.0 %;2.33 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 05:08;37.36 Mbit/s;45.8 Mbit/s;< 1 ms;< 1 ms;41.06 Mbit/s;46.17 Mbit/s;0.0 %;2.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 04:08;37.35 Mbit/s;47.0 Mbit/s;< 1 ms;< 1 ms;41.09 Mbit/s;50.07 Mbit/s;0.0 %;5.27 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 03:08;35.22 Mbit/s;45.89 Mbit/s;< 1 ms;< 1 ms;38.71 Mbit/s;48.81 Mbit/s;0.0 %;2.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 02:08;36.59 Mbit/s;47.23 Mbit/s;< 1 ms;< 1 ms;40.3 Mbit/s;50.34 Mbit/s;0.0 %;2.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 01:08;35.74 Mbit/s;46.13 Mbit/s;< 1 ms;< 1 ms;39.06 Mbit/s;49.08 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 00:08;36.35 Mbit/s;45.43 Mbit/s;< 1 ms;< 1 ms;39.98 Mbit/s;44.6 Mbit/s;0.0 %;2.65 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 23:08;36.17 Mbit/s;45.53 Mbit/s;< 1 ms;1.81 ms;39.81 Mbit/s;48.37 Mbit/s;0.0 %;2.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
