dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:02;36.46 Mbit/s;38.99 Mbit/s;< 1 ms;< 1 ms;37.25 Mbit/s;35.1 Mbit/s;0.0 %;1.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 19:02;39.03 Mbit/s;39.41 Mbit/s;< 1 ms;< 1 ms;38.02 Mbit/s;35.57 Mbit/s;0.0 %;1.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:02;35.51 Mbit/s;39.26 Mbit/s;< 1 ms;< 1 ms;36.92 Mbit/s;35.34 Mbit/s;0.0 %;1.96 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:02;36.88 Mbit/s;39.4 Mbit/s;< 1 ms;< 1 ms;37.79 Mbit/s;34.72 Mbit/s;0.0 %;1.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:02;37.04 Mbit/s;39.55 Mbit/s;< 1 ms;< 1 ms;37.56 Mbit/s;33.88 Mbit/s;0.0 %;1.41 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:02;31.19 Mbit/s;39.36 Mbit/s;< 1 ms;< 1 ms;33.58 Mbit/s;35.66 Mbit/s;0.0 %;1.39 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:02;37.76 Mbit/s;39.42 Mbit/s;< 1 ms;< 1 ms;37.78 Mbit/s;35.07 Mbit/s;0.0 %;1.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 12:02;37.57 Mbit/s;39.32 Mbit/s;< 1 ms;< 1 ms;37.65 Mbit/s;34.07 Mbit/s;0.0 %;1.66 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:02;33.92 Mbit/s;39.34 Mbit/s;< 1 ms;< 1 ms;35.95 Mbit/s;35.86 Mbit/s;0.67 %;1.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:02;40.01 Mbit/s;39.37 Mbit/s;< 1 ms;< 1 ms;38.93 Mbit/s;35.96 Mbit/s;0.0 %;1.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 09:02;37.42 Mbit/s;39.33 Mbit/s;< 1 ms;1.43 ms;37.55 Mbit/s;35.49 Mbit/s;0.67 %;1.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 08:02;39.27 Mbit/s;39.35 Mbit/s;< 1 ms;< 1 ms;38.61 Mbit/s;35.96 Mbit/s;0.67 %;1.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 07:02;40.04 Mbit/s;39.24 Mbit/s;< 1 ms;< 1 ms;39.06 Mbit/s;35.69 Mbit/s;0.0 %;1.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 06:02;39.72 Mbit/s;39.7 Mbit/s;< 1 ms;< 1 ms;39.02 Mbit/s;35.83 Mbit/s;0.0 %;1.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 05:02;39.43 Mbit/s;39.67 Mbit/s;< 1 ms;< 1 ms;38.68 Mbit/s;35.78 Mbit/s;0.0 %;1.52 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 04:02;39.96 Mbit/s;39.6 Mbit/s;< 1 ms;< 1 ms;38.94 Mbit/s;33.26 Mbit/s;0.0 %;1.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 03:02;38.98 Mbit/s;39.52 Mbit/s;< 1 ms;< 1 ms;38.79 Mbit/s;35.88 Mbit/s;0.0 %;1.55 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 02:02;40.0 Mbit/s;39.68 Mbit/s;< 1 ms;< 1 ms;38.87 Mbit/s;35.79 Mbit/s;0.0 %;1.56 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 00:02;39.44 Mbit/s;39.26 Mbit/s;< 1 ms;< 1 ms;38.58 Mbit/s;35.96 Mbit/s;0.0 %;1.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 23:02;38.53 Mbit/s;38.86 Mbit/s;< 1 ms;< 1 ms;38.18 Mbit/s;36.2 Mbit/s;0.0 %;1.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 22:02;38.73 Mbit/s;39.55 Mbit/s;< 1 ms;< 1 ms;38.39 Mbit/s;35.82 Mbit/s;0.0 %;1.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 21:02;39.07 Mbit/s;38.83 Mbit/s;< 1 ms;2.2 ms;38.46 Mbit/s;34.98 Mbit/s;0.0 %;1.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
