dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:54;25.99 Mbit/s;25.28 Mbit/s;< 1 ms;< 1 ms;25.05 Mbit/s;23.5 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 18:54;26.01 Mbit/s;25.43 Mbit/s;< 1 ms;< 1 ms;25.04 Mbit/s;23.39 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:54;25.17 Mbit/s;25.42 Mbit/s;< 1 ms;< 1 ms;24.78 Mbit/s;23.17 Mbit/s;0.0 %;4.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 13:54;25.46 Mbit/s;25.24 Mbit/s;< 1 ms;< 1 ms;25.04 Mbit/s;23.16 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:54;25.95 Mbit/s;25.37 Mbit/s;< 1 ms;< 1 ms;25.3 Mbit/s;22.32 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:54;25.45 Mbit/s;24.04 Mbit/s;< 1 ms;4.81 ms;24.74 Mbit/s;24.05 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:54;23.41 Mbit/s;25.49 Mbit/s;< 1 ms;< 1 ms;24.27 Mbit/s;22.64 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:54;21.22 Mbit/s;25.33 Mbit/s;< 1 ms;< 1 ms;22.82 Mbit/s;22.04 Mbit/s;0.0 %;5.32 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:54;25.64 Mbit/s;25.43 Mbit/s;5.69 ms;< 1 ms;25.15 Mbit/s;23.46 Mbit/s;0.0 %;10.46 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:54;26.01 Mbit/s;25.37 Mbit/s;< 1 ms;< 1 ms;25.38 Mbit/s;23.51 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 06:54;25.93 Mbit/s;25.42 Mbit/s;< 1 ms;< 1 ms;25.3 Mbit/s;23.46 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 05:54;25.83 Mbit/s;24.77 Mbit/s;< 1 ms;< 1 ms;25.23 Mbit/s;23.88 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 04:54;25.62 Mbit/s;25.38 Mbit/s;< 1 ms;< 1 ms;25.31 Mbit/s;23.54 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 03:54;26.02 Mbit/s;25.48 Mbit/s;< 1 ms;< 1 ms;25.27 Mbit/s;23.3 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 02:54;26.0 Mbit/s;25.37 Mbit/s;< 1 ms;< 1 ms;25.36 Mbit/s;23.44 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 01:54;26.02 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;25.13 Mbit/s;23.42 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 00:54;25.82 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;25.27 Mbit/s;23.43 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 22:54;25.7 Mbit/s;25.36 Mbit/s;< 1 ms;< 1 ms;25.16 Mbit/s;22.67 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 20:54;25.99 Mbit/s;25.5 Mbit/s;< 1 ms;1.12 ms;25.03 Mbit/s;22.64 Mbit/s;0.0 %;5.46 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 19:54;25.63 Mbit/s;24.68 Mbit/s;< 1 ms;< 1 ms;24.69 Mbit/s;23.62 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 18:54;25.96 Mbit/s;25.41 Mbit/s;< 1 ms;< 1 ms;25.26 Mbit/s;22.51 Mbit/s;0.0 %;5.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 17:54;23.92 Mbit/s;24.64 Mbit/s;< 1 ms;< 1 ms;24.66 Mbit/s;23.93 Mbit/s;0.0 %;4.9 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 16:54;25.93 Mbit/s;25.53 Mbit/s;< 1 ms;< 1 ms;25.14 Mbit/s;23.43 Mbit/s;0.0 %;6.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 15:54;26.0 Mbit/s;25.42 Mbit/s;< 1 ms;< 1 ms;25.22 Mbit/s;23.49 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 14:54;24.41 Mbit/s;23.51 Mbit/s;2.07 ms;< 1 ms;24.54 Mbit/s;23.38 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 13:54;25.2 Mbit/s;25.44 Mbit/s;< 1 ms;1.14 ms;24.97 Mbit/s;22.36 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 12:54;25.75 Mbit/s;25.09 Mbit/s;< 1 ms;1.33 ms;25.28 Mbit/s;23.36 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 11:54;24.14 Mbit/s;25.29 Mbit/s;2.38 ms;< 1 ms;24.52 Mbit/s;22.83 Mbit/s;0.67 %;5.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 10:54;25.99 Mbit/s;25.37 Mbit/s;< 1 ms;< 1 ms;24.91 Mbit/s;23.32 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 09:54;22.31 Mbit/s;25.46 Mbit/s;< 1 ms;< 1 ms;23.43 Mbit/s;23.32 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 08:54;24.71 Mbit/s;24.44 Mbit/s;< 1 ms;< 1 ms;24.9 Mbit/s;23.94 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 07:54;22.42 Mbit/s;25.54 Mbit/s;2.6 ms;< 1 ms;23.48 Mbit/s;23.17 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 06:54;25.24 Mbit/s;25.47 Mbit/s;< 1 ms;< 1 ms;25.15 Mbit/s;21.69 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 05:55;26.11 Mbit/s;25.52 Mbit/s;< 1 ms;< 1 ms;25.1 Mbit/s;21.33 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 04:54;26.0 Mbit/s;25.46 Mbit/s;< 1 ms;< 1 ms;25.39 Mbit/s;23.41 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 03:54;25.95 Mbit/s;25.41 Mbit/s;< 1 ms;< 1 ms;25.16 Mbit/s;23.38 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 02:54;26.02 Mbit/s;25.52 Mbit/s;< 1 ms;< 1 ms;25.4 Mbit/s;22.19 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 02:19;62.22 Mbit/s;3.17 Mbit/s;1.28 ms;2.06 ms;62.16 Mbit/s;2.9 Mbit/s;0.0 %;9.56 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 01:54;25.99 Mbit/s;25.46 Mbit/s;< 1 ms;< 1 ms;25.34 Mbit/s;23.46 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 00:54;25.98 Mbit/s;25.5 Mbit/s;< 1 ms;1.24 ms;25.37 Mbit/s;23.4 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 23:54;25.98 Mbit/s;25.49 Mbit/s;< 1 ms;< 1 ms;25.05 Mbit/s;23.42 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 22:54;26.02 Mbit/s;25.57 Mbit/s;< 1 ms;< 1 ms;25.39 Mbit/s;21.18 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 21:54;26.03 Mbit/s;25.32 Mbit/s;< 1 ms;< 1 ms;24.85 Mbit/s;22.48 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 19:54;25.93 Mbit/s;24.61 Mbit/s;< 1 ms;< 1 ms;25.3 Mbit/s;23.14 Mbit/s;0.0 %;4.94 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 18:54;24.99 Mbit/s;24.63 Mbit/s;< 1 ms;< 1 ms;25.08 Mbit/s;23.92 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 17:54;24.57 Mbit/s;25.43 Mbit/s;< 1 ms;< 1 ms;24.32 Mbit/s;23.17 Mbit/s;0.0 %;4.86 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 16:54;24.15 Mbit/s;25.5 Mbit/s;< 1 ms;< 1 ms;24.62 Mbit/s;23.47 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 15:54;22.01 Mbit/s;24.95 Mbit/s;< 1 ms;< 1 ms;23.42 Mbit/s;23.08 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 14:54;24.86 Mbit/s;25.53 Mbit/s;< 1 ms;< 1 ms;24.95 Mbit/s;21.92 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 13:54;24.78 Mbit/s;24.12 Mbit/s;< 1 ms;< 1 ms;24.82 Mbit/s;23.38 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 11:54;24.74 Mbit/s;23.45 Mbit/s;< 1 ms;< 1 ms;24.31 Mbit/s;23.86 Mbit/s;0.0 %;6.21 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 10:54;25.99 Mbit/s;25.48 Mbit/s;< 1 ms;< 1 ms;25.39 Mbit/s;23.13 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 09:54;25.1 Mbit/s;25.47 Mbit/s;< 1 ms;< 1 ms;24.5 Mbit/s;23.25 Mbit/s;0.0 %;5.29 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 08:54;25.94 Mbit/s;25.43 Mbit/s;< 1 ms;< 1 ms;25.06 Mbit/s;23.47 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 07:54;25.99 Mbit/s;25.48 Mbit/s;< 1 ms;< 1 ms;25.27 Mbit/s;22.43 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 06:54;25.76 Mbit/s;24.6 Mbit/s;< 1 ms;< 1 ms;25.35 Mbit/s;22.79 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 04:54;25.99 Mbit/s;25.49 Mbit/s;< 1 ms;< 1 ms;25.24 Mbit/s;23.3 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 03:54;26.01 Mbit/s;25.41 Mbit/s;< 1 ms;< 1 ms;25.37 Mbit/s;23.55 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 02:54;26.05 Mbit/s;25.43 Mbit/s;< 1 ms;< 1 ms;24.98 Mbit/s;23.56 Mbit/s;0.0 %;4.85 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 01:54;25.89 Mbit/s;25.42 Mbit/s;< 1 ms;< 1 ms;25.38 Mbit/s;22.98 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 23:54;26.1 Mbit/s;25.42 Mbit/s;< 1 ms;< 1 ms;25.18 Mbit/s;23.45 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 22:54;25.93 Mbit/s;25.57 Mbit/s;< 1 ms;< 1 ms;24.52 Mbit/s;23.16 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 21:54;25.95 Mbit/s;25.38 Mbit/s;< 1 ms;< 1 ms;24.64 Mbit/s;22.85 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 20:54;25.77 Mbit/s;25.42 Mbit/s;< 1 ms;1.63 ms;24.73 Mbit/s;23.52 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 19:54;26.03 Mbit/s;21.82 Mbit/s;< 1 ms;< 1 ms;25.22 Mbit/s;23.28 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 18:54;25.96 Mbit/s;25.46 Mbit/s;< 1 ms;< 1 ms;25.8 Mbit/s;22.95 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 17:54;25.85 Mbit/s;25.29 Mbit/s;< 1 ms;< 1 ms;24.75 Mbit/s;21.7 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 16:54;23.61 Mbit/s;24.62 Mbit/s;< 1 ms;10.82 ms;23.95 Mbit/s;23.81 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 15:54;26.0 Mbit/s;25.44 Mbit/s;< 1 ms;< 1 ms;24.75 Mbit/s;23.4 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 13:55;24.4 Mbit/s;25.27 Mbit/s;1.75 ms;4.15 ms;24.65 Mbit/s;22.41 Mbit/s;0.0 %;5.69 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 12:54;24.98 Mbit/s;22.35 Mbit/s;< 1 ms;< 1 ms;24.64 Mbit/s;23.47 Mbit/s;0.0 %;5.39 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 11:54;25.18 Mbit/s;21.7 Mbit/s;< 1 ms;3.07 ms;25.04 Mbit/s;23.21 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 10:54;25.0 Mbit/s;24.38 Mbit/s;< 1 ms;< 1 ms;24.99 Mbit/s;23.21 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 09:54;24.88 Mbit/s;25.56 Mbit/s;< 1 ms;< 1 ms;24.86 Mbit/s;22.85 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 08:54;23.72 Mbit/s;25.46 Mbit/s;< 1 ms;< 1 ms;24.52 Mbit/s;23.5 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 07:54;26.0 Mbit/s;22.97 Mbit/s;< 1 ms;1.23 ms;24.83 Mbit/s;23.6 Mbit/s;0.0 %;5.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 06:54;24.7 Mbit/s;25.48 Mbit/s;< 1 ms;< 1 ms;25.0 Mbit/s;20.7 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 05:54;24.17 Mbit/s;25.38 Mbit/s;1.45 ms;< 1 ms;24.65 Mbit/s;23.44 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 04:54;26.02 Mbit/s;25.51 Mbit/s;< 1 ms;< 1 ms;25.23 Mbit/s;23.47 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 03:55;26.05 Mbit/s;25.49 Mbit/s;< 1 ms;< 1 ms;25.19 Mbit/s;22.65 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 02:54;25.95 Mbit/s;25.59 Mbit/s;< 1 ms;< 1 ms;25.34 Mbit/s;23.28 Mbit/s;0.0 %;5.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 01:54;25.99 Mbit/s;25.45 Mbit/s;< 1 ms;< 1 ms;25.3 Mbit/s;23.34 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 00:54;25.98 Mbit/s;25.51 Mbit/s;< 1 ms;< 1 ms;25.35 Mbit/s;23.41 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/07/15 22:54;26.07 Mbit/s;25.53 Mbit/s;< 1 ms;< 1 ms;25.17 Mbit/s;23.4 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 21:54;24.89 Mbit/s;24.82 Mbit/s;< 1 ms;< 1 ms;24.97 Mbit/s;23.75 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 20:54;26.03 Mbit/s;25.33 Mbit/s;6.76 ms;< 1 ms;25.13 Mbit/s;23.46 Mbit/s;0.0 %;6.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/07/15 19:54;25.39 Mbit/s;24.74 Mbit/s;< 1 ms;< 1 ms;24.89 Mbit/s;22.47 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 17:54;25.58 Mbit/s;25.52 Mbit/s;< 1 ms;43.87 ms;25.19 Mbit/s;21.02 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 16:54;24.72 Mbit/s;24.54 Mbit/s;< 1 ms;< 1 ms;24.65 Mbit/s;23.07 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/07/15 14:54;25.6 Mbit/s;25.32 Mbit/s;< 1 ms;< 1 ms;25.19 Mbit/s;23.1 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
