dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:56;13.59 Mbit/s;26.9 Mbit/s;< 1 ms;< 1 ms;14.72 Mbit/s;28.14 Mbit/s;0.0 %;3.74 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 18:56;12.58 Mbit/s;31.97 Mbit/s;2.89 ms;< 1 ms;13.05 Mbit/s;34.26 Mbit/s;0.67 %;3.71 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:56;14.21 Mbit/s;34.47 Mbit/s;< 1 ms;< 1 ms;15.49 Mbit/s;34.71 Mbit/s;0.0 %;3.87 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:56;15.1 Mbit/s;30.07 Mbit/s;< 1 ms;< 1 ms;16.62 Mbit/s;31.71 Mbit/s;0.0 %;8.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:56;14.53 Mbit/s;30.32 Mbit/s;5.36 ms;< 1 ms;13.97 Mbit/s;32.32 Mbit/s;0.0 %;6.57 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:56;10.3 Mbit/s;30.56 Mbit/s;< 1 ms;< 1 ms;5.15 Mbit/s;32.38 Mbit/s;0.0 %;6.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 12:56;15.15 Mbit/s;26.12 Mbit/s;< 1 ms;< 1 ms;13.71 Mbit/s;27.95 Mbit/s;0.0 %;5.97 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:56;11.7 Mbit/s;27.98 Mbit/s;< 1 ms;< 1 ms;12.85 Mbit/s;29.81 Mbit/s;0.0 %;3.75 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:56;14.33 Mbit/s;29.85 Mbit/s;< 1 ms;< 1 ms;14.95 Mbit/s;30.48 Mbit/s;0.0 %;3.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:56;30.1 Mbit/s;39.46 Mbit/s;< 1 ms;< 1 ms;32.67 Mbit/s;42.05 Mbit/s;0.0 %;3.78 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
