dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:15;97.34 Mbit/s;10.64 Mbit/s;< 1 ms;< 1 ms;94.41 Mbit/s;10.78 Mbit/s;0.0 %;6.5 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 19:48;8.8 Mbit/s;7.54 Mbit/s;2.13 ms;2.95 ms;9.59 Mbit/s;7.87 Mbit/s;1.36 %;14.06 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 17:48;9.89 Mbit/s;8.34 Mbit/s;3.1 ms;4.32 ms;10.84 Mbit/s;5.64 Mbit/s;0.0 %;27.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:48;9.59 Mbit/s;7.26 Mbit/s;1.03 ms;3.04 ms;10.4 Mbit/s;7.81 Mbit/s;0.0 %;9.68 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 15:48;15.89 Mbit/s;8.93 Mbit/s;1.34 ms;1.33 ms;16.67 Mbit/s;9.62 Mbit/s;0.0 %;11.51 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 14:48;15.18 Mbit/s;10.43 Mbit/s;1.34 ms;1.43 ms;15.55 Mbit/s;6.69 Mbit/s;0.0 %;9.25 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 13:48;8.48 Mbit/s;8.73 Mbit/s;1.4 ms;4.63 ms;9.29 Mbit/s;4.76 Mbit/s;0.0 %;16.52 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:48;11.43 Mbit/s;7.57 Mbit/s;5.23 ms;2.73 ms;12.51 Mbit/s;8.05 Mbit/s;0.0 %;11.84 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:48;13.0 Mbit/s;7.04 Mbit/s;1.01 ms;1.21 ms;13.45 Mbit/s;6.06 Mbit/s;0.0 %;9.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:48;12.09 Mbit/s;983.37 kbit/s;< 1 ms;< 1 ms;12.37 Mbit/s;955.23 kbit/s;0.0 %;10.15 ms;PTT Metro de Florianopolis;;;;;
01/08/15 10:48;13.46 Mbit/s;10.75 Mbit/s;1.07 ms;1.71 ms;14.74 Mbit/s;11.54 Mbit/s;0.0 %;10.06 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:48;8.81 Mbit/s;10.35 Mbit/s;2.1 ms;1.18 ms;9.66 Mbit/s;11.14 Mbit/s;0.0 %;9.43 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 08:48;18.15 Mbit/s;15.86 Mbit/s;< 1 ms;1.14 ms;19.78 Mbit/s;16.7 Mbit/s;0.0 %;8.38 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:48;18.14 Mbit/s;13.4 Mbit/s;1.11 ms;1.22 ms;19.97 Mbit/s;14.42 Mbit/s;2.07 %;9.74 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 06:48;-;-;-;-;-;-;0.0 %;9.05 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 05:48;14.42 Mbit/s;13.1 Mbit/s;< 1 ms;4.63 ms;13.07 Mbit/s;13.85 Mbit/s;1.36 %;7.56 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 04:48;-;-;-;-;-;-;1.36 %;8.86 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 03:48;14.82 Mbit/s;17.99 Mbit/s;< 1 ms;1.65 ms;16.28 Mbit/s;19.15 Mbit/s;0.0 %;8.84 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 02:48;-;-;-;-;-;-;0.67 %;10.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 01:48;17.1 Mbit/s;18.51 Mbit/s;1.37 ms;1.08 ms;18.83 Mbit/s;19.69 Mbit/s;0.67 %;8.88 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 00:48;18.39 Mbit/s;17.83 Mbit/s;1.01 ms;1.49 ms;20.21 Mbit/s;18.96 Mbit/s;0.0 %;9.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 23:48;17.84 Mbit/s;16.53 Mbit/s;< 1 ms;1.53 ms;19.5 Mbit/s;17.31 Mbit/s;0.0 %;8.72 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 22:48;14.18 Mbit/s;17.37 Mbit/s;1.85 ms;1.75 ms;15.6 Mbit/s;17.99 Mbit/s;0.0 %;11.72 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 21:48;10.85 Mbit/s;10.16 Mbit/s;4.12 ms;12.69 ms;7.9 Mbit/s;7.77 Mbit/s;0.0 %;22.62 ms;PTT Metro de Campinas;;;;;
