dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:39;26.05 Mbit/s;25.76 Mbit/s;< 1 ms;< 1 ms;25.37 Mbit/s;23.3 Mbit/s;0.0 %;4.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 18:39;25.83 Mbit/s;24.8 Mbit/s;< 1 ms;< 1 ms;25.27 Mbit/s;23.89 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:39;25.77 Mbit/s;25.74 Mbit/s;28.99 ms;< 1 ms;25.01 Mbit/s;23.18 Mbit/s;0.0 %;97.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:39;23.44 Mbit/s;25.75 Mbit/s;< 1 ms;< 1 ms;24.38 Mbit/s;23.2 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 14:39;22.49 Mbit/s;25.79 Mbit/s;< 1 ms;< 1 ms;23.82 Mbit/s;23.24 Mbit/s;0.0 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:39;25.77 Mbit/s;24.71 Mbit/s;< 1 ms;< 1 ms;25.06 Mbit/s;23.91 Mbit/s;0.0 %;4.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:39;25.98 Mbit/s;25.75 Mbit/s;< 1 ms;< 1 ms;25.12 Mbit/s;22.5 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:39;25.72 Mbit/s;25.8 Mbit/s;< 1 ms;< 1 ms;25.33 Mbit/s;23.18 Mbit/s;0.0 %;4.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:04;1.18 Mbit/s;7.22 Mbit/s;25.74 ms;21.63 ms;1.29 Mbit/s;7.18 Mbit/s;0.68 %;113.18 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:39;25.91 Mbit/s;25.77 Mbit/s;< 1 ms;< 1 ms;25.31 Mbit/s;23.22 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:39;25.85 Mbit/s;25.71 Mbit/s;< 1 ms;< 1 ms;24.81 Mbit/s;22.96 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:39;26.04 Mbit/s;25.68 Mbit/s;< 1 ms;< 1 ms;25.39 Mbit/s;23.22 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:39;25.96 Mbit/s;25.78 Mbit/s;< 1 ms;< 1 ms;25.39 Mbit/s;23.28 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:39;25.89 Mbit/s;25.76 Mbit/s;< 1 ms;3.21 ms;25.34 Mbit/s;23.23 Mbit/s;0.0 %;4.22 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 05:39;25.87 Mbit/s;25.76 Mbit/s;< 1 ms;< 1 ms;25.11 Mbit/s;23.25 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
