dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 15:08;2.28 Mbit/s;2.86 Mbit/s;12.7 ms;29.72 ms;2.49 Mbit/s;2.2 Mbit/s;70.59 %;91.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:11;4.23 Mbit/s;789.84 kbit/s;21.58 ms;-;-;597.9 kbit/s;20.19 %;136.21 ms;PTT Metro de Goiania;;;;;
01/08/15 10:08;-;-;-;-;-;-;166.67 %;122.99 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 09:10;-;1.06 Mbit/s;18.62 ms;31.59 ms;-;-;275.76 %;150.6 ms;PTT Metro de Curitiba;;;;;
01/08/15 08:10;-;-;-;-;-;-;66.23 %;98.92 ms;PTT Metro de Belo Horizonte;;;;;
01/08/15 07:10;6.37 Mbit/s;2.07 Mbit/s;11.97 ms;36.33 ms;7.04 Mbit/s;1.45 Mbit/s;100.0 %;85.85 ms;PTT Metro de Florianopolis;;;;;
01/08/15 06:10;-;-;-;-;-;-;42.22 %;78.38 ms;PTT Metro de Londrina;;;;;
01/08/15 05:11;2.46 Mbit/s;1.8 Mbit/s;10.05 ms;43.49 ms;2.7 Mbit/s;1.53 Mbit/s;48.84 %;79.75 ms;PTT Metro de Curitiba;;;;;
01/08/15 04:11;874.07 kbit/s;536.63 kbit/s;17.11 ms;38.6 ms;959.13 kbit/s;308.24 kbit/s;72.22 %;84.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 03:10;3.65 Mbit/s;3.24 Mbit/s;24.2 ms;38.99 ms;4.01 Mbit/s;2.56 Mbit/s;23.58 %;93.99 ms;PTT Metro de Goiania;;;;;
01/08/15 02:11;5.16 Mbit/s;3.51 Mbit/s;7.48 ms;39.76 ms;5.68 Mbit/s;2.73 Mbit/s;21.62 %;63.54 ms;PTT Metro de Florianopolis;;;;;
01/08/15 01:09;-;-;-;-;-;-;35.0 %;64.17 ms;PTT Metro de Campinas;;;;;
01/08/15 00:11;3.17 Mbit/s;2.24 Mbit/s;20.3 ms;44.08 ms;3.49 Mbit/s;1.83 Mbit/s;27.88 %;82.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 23:11;1.25 Mbit/s;506.84 kbit/s;7.13 ms;34.03 ms;-;209.55 kbit/s;90.77 %;112.55 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
