dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:14;26.4 Mbit/s;36.19 Mbit/s;< 1 ms;< 1 ms;7.6 Mbit/s;29.21 Mbit/s;0.0 %;14.27 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 19:14;32.99 Mbit/s;33.35 Mbit/s;< 1 ms;< 1 ms;34.53 Mbit/s;33.27 Mbit/s;0.0 %;7.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:14;35.84 Mbit/s;31.77 Mbit/s;< 1 ms;4.59 ms;34.68 Mbit/s;33.01 Mbit/s;0.0 %;6.29 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 17:14;31.53 Mbit/s;30.73 Mbit/s;< 1 ms;8.57 ms;33.97 Mbit/s;30.64 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:14;34.18 Mbit/s;35.99 Mbit/s;2.4 ms;< 1 ms;31.95 Mbit/s;31.18 Mbit/s;0.0 %;9.14 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:14;30.51 Mbit/s;31.43 Mbit/s;< 1 ms;1.64 ms;33.54 Mbit/s;33.29 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:14;34.95 Mbit/s;36.69 Mbit/s;< 1 ms;1.09 ms;36.01 Mbit/s;33.54 Mbit/s;0.0 %;9.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 13:14;32.78 Mbit/s;34.64 Mbit/s;1.59 ms;9.13 ms;31.66 Mbit/s;31.63 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:14;28.04 Mbit/s;35.98 Mbit/s;< 1 ms;1.08 ms;30.1 Mbit/s;32.84 Mbit/s;0.0 %;6.86 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:14;32.25 Mbit/s;36.09 Mbit/s;< 1 ms;< 1 ms;34.66 Mbit/s;31.69 Mbit/s;0.0 %;5.61 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:14;37.98 Mbit/s;33.05 Mbit/s;< 1 ms;3.0 ms;32.55 Mbit/s;34.62 Mbit/s;0.0 %;5.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 09:14;31.4 Mbit/s;36.82 Mbit/s;< 1 ms;< 1 ms;32.6 Mbit/s;33.8 Mbit/s;0.0 %;5.33 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:14;32.71 Mbit/s;34.72 Mbit/s;< 1 ms;< 1 ms;33.42 Mbit/s;34.57 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:14;34.49 Mbit/s;34.99 Mbit/s;6.68 ms;< 1 ms;36.11 Mbit/s;33.58 Mbit/s;0.0 %;8.25 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 06:14;36.86 Mbit/s;32.95 Mbit/s;< 1 ms;< 1 ms;37.33 Mbit/s;34.59 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 05:14;36.33 Mbit/s;34.74 Mbit/s;< 1 ms;< 1 ms;37.08 Mbit/s;36.01 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 03:39;3.06 Mbit/s;489.74 kbit/s;< 1 ms;1.38 ms;2.99 Mbit/s;464.31 kbit/s;0.0 %;8.38 ms;PTT Metro de Goiania;;;;;
01/08/15 02:14;34.7 Mbit/s;33.28 Mbit/s;< 1 ms;< 1 ms;36.07 Mbit/s;34.97 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 01:14;38.34 Mbit/s;36.79 Mbit/s;< 1 ms;1.51 ms;37.58 Mbit/s;32.04 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 00:14;25.37 Mbit/s;32.1 Mbit/s;< 1 ms;< 1 ms;27.66 Mbit/s;33.88 Mbit/s;0.0 %;18.59 ms;PTT Metro de Belo Horizonte;;;;;
31/07/15 23:14;31.89 Mbit/s;36.32 Mbit/s;< 1 ms;1.06 ms;34.45 Mbit/s;32.07 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 22:14;36.72 Mbit/s;35.75 Mbit/s;< 1 ms;7.66 ms;35.53 Mbit/s;34.42 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
