dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:55;38.09 Mbit/s;36.81 Mbit/s;< 1 ms;< 1 ms;37.3 Mbit/s;28.18 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:55;37.14 Mbit/s;38.45 Mbit/s;< 1 ms;< 1 ms;37.0 Mbit/s;33.1 Mbit/s;0.0 %;5.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:55;38.22 Mbit/s;36.7 Mbit/s;< 1 ms;< 1 ms;35.94 Mbit/s;34.71 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 15:55;32.77 Mbit/s;32.86 Mbit/s;< 1 ms;< 1 ms;29.79 Mbit/s;32.56 Mbit/s;0.0 %;5.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:55;32.94 Mbit/s;33.74 Mbit/s;< 1 ms;1.1 ms;34.0 Mbit/s;35.16 Mbit/s;0.0 %;5.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:55;33.01 Mbit/s;38.16 Mbit/s;< 1 ms;< 1 ms;35.01 Mbit/s;33.47 Mbit/s;0.0 %;5.87 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 12:55;37.58 Mbit/s;38.39 Mbit/s;< 1 ms;< 1 ms;37.49 Mbit/s;32.0 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:55;37.08 Mbit/s;35.63 Mbit/s;< 1 ms;2.98 ms;35.85 Mbit/s;33.84 Mbit/s;0.0 %;4.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:55;30.91 Mbit/s;38.34 Mbit/s;< 1 ms;< 1 ms;33.63 Mbit/s;34.5 Mbit/s;0.0 %;4.27 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:55;38.82 Mbit/s;37.12 Mbit/s;< 1 ms;< 1 ms;38.0 Mbit/s;35.71 Mbit/s;0.0 %;4.32 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:55;35.35 Mbit/s;36.8 Mbit/s;7.05 ms;< 1 ms;36.82 Mbit/s;35.6 Mbit/s;0.0 %;6.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:55;37.64 Mbit/s;37.15 Mbit/s;< 1 ms;< 1 ms;37.1 Mbit/s;33.48 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 06:55;38.59 Mbit/s;38.48 Mbit/s;< 1 ms;< 1 ms;38.0 Mbit/s;35.0 Mbit/s;0.0 %;4.39 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 05:55;38.93 Mbit/s;38.58 Mbit/s;< 1 ms;< 1 ms;38.08 Mbit/s;34.48 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 04:55;37.03 Mbit/s;38.38 Mbit/s;< 1 ms;< 1 ms;37.51 Mbit/s;34.36 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 03:55;39.12 Mbit/s;38.27 Mbit/s;< 1 ms;< 1 ms;37.62 Mbit/s;30.81 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 02:55;38.91 Mbit/s;38.46 Mbit/s;< 1 ms;< 1 ms;38.08 Mbit/s;34.98 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 01:55;38.97 Mbit/s;38.04 Mbit/s;< 1 ms;< 1 ms;38.11 Mbit/s;34.83 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 00:55;38.42 Mbit/s;37.54 Mbit/s;< 1 ms;< 1 ms;37.83 Mbit/s;34.9 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 23:55;38.73 Mbit/s;38.34 Mbit/s;< 1 ms;< 1 ms;37.83 Mbit/s;31.82 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 22:55;38.57 Mbit/s;38.28 Mbit/s;< 1 ms;< 1 ms;37.96 Mbit/s;34.74 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
