dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:56;39.47 Mbit/s;35.35 Mbit/s;1.14 ms;< 1 ms;38.42 Mbit/s;36.58 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 18:56;39.21 Mbit/s;38.8 Mbit/s;< 1 ms;5.07 ms;37.89 Mbit/s;36.23 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:56;37.3 Mbit/s;38.82 Mbit/s;< 1 ms;< 1 ms;37.34 Mbit/s;36.17 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 17:56;15.72 Mbit/s;31.82 Mbit/s;< 1 ms;< 1 ms;15.17 Mbit/s;33.09 Mbit/s;0.0 %;7.07 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:56;33.8 Mbit/s;38.06 Mbit/s;< 1 ms;4.09 ms;36.16 Mbit/s;36.67 Mbit/s;0.0 %;13.42 ms;PTT Metro de Campinas;;;;;
01/08/15 15:56;39.09 Mbit/s;37.51 Mbit/s;< 1 ms;< 1 ms;38.8 Mbit/s;36.87 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 14:56;37.68 Mbit/s;39.45 Mbit/s;< 1 ms;< 1 ms;38.15 Mbit/s;36.09 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:56;22.88 Mbit/s;36.32 Mbit/s;< 1 ms;< 1 ms;23.88 Mbit/s;36.2 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 12:56;39.33 Mbit/s;39.21 Mbit/s;< 1 ms;< 1 ms;38.83 Mbit/s;35.18 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 11:56;39.92 Mbit/s;34.12 Mbit/s;< 1 ms;4.01 ms;38.98 Mbit/s;36.18 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 10:56;39.17 Mbit/s;38.88 Mbit/s;< 1 ms;< 1 ms;38.81 Mbit/s;34.94 Mbit/s;0.0 %;4.32 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 09:56;39.33 Mbit/s;38.97 Mbit/s;3.24 ms;< 1 ms;38.91 Mbit/s;36.17 Mbit/s;0.0 %;5.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:56;39.87 Mbit/s;39.03 Mbit/s;< 1 ms;< 1 ms;38.93 Mbit/s;36.14 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 07:56;38.26 Mbit/s;39.04 Mbit/s;< 1 ms;< 1 ms;38.44 Mbit/s;34.4 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 06:56;39.98 Mbit/s;39.13 Mbit/s;< 1 ms;< 1 ms;39.02 Mbit/s;35.76 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:23;6.21 Mbit/s;6.12 Mbit/s;3.55 ms;< 1 ms;6.01 Mbit/s;5.57 Mbit/s;0.0 %;86.67 ms;NIC.br nodo 2;;;;;
01/08/15 05:56;39.58 Mbit/s;39.02 Mbit/s;< 1 ms;< 1 ms;38.96 Mbit/s;36.14 Mbit/s;0.0 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:56;39.9 Mbit/s;39.03 Mbit/s;< 1 ms;< 1 ms;38.99 Mbit/s;36.15 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 03:56;39.7 Mbit/s;39.25 Mbit/s;< 1 ms;< 1 ms;38.93 Mbit/s;36.11 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 02:56;39.82 Mbit/s;34.99 Mbit/s;< 1 ms;< 1 ms;38.92 Mbit/s;36.53 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 01:56;39.84 Mbit/s;39.16 Mbit/s;< 1 ms;< 1 ms;39.03 Mbit/s;35.37 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 00:56;39.98 Mbit/s;39.12 Mbit/s;< 1 ms;< 1 ms;38.7 Mbit/s;36.02 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 23:56;39.96 Mbit/s;37.44 Mbit/s;< 1 ms;< 1 ms;38.77 Mbit/s;35.36 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 22:56;34.97 Mbit/s;37.53 Mbit/s;2.38 ms;< 1 ms;37.05 Mbit/s;36.48 Mbit/s;0.0 %;11.41 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 21:56;37.48 Mbit/s;38.51 Mbit/s;< 1 ms;< 1 ms;36.23 Mbit/s;35.42 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 19:56;39.91 Mbit/s;39.02 Mbit/s;5.2 ms;< 1 ms;37.77 Mbit/s;36.01 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 18:56;36.22 Mbit/s;38.25 Mbit/s;< 1 ms;< 1 ms;37.56 Mbit/s;35.41 Mbit/s;0.0 %;4.99 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 17:56;38.56 Mbit/s;38.46 Mbit/s;2.41 ms;< 1 ms;36.15 Mbit/s;35.6 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 16:56;20.69 Mbit/s;21.43 Mbit/s;1.81 ms;6.71 ms;22.38 Mbit/s;8.26 Mbit/s;0.0 %;13.82 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 15:56;34.63 Mbit/s;37.4 Mbit/s;< 1 ms;3.11 ms;35.49 Mbit/s;32.38 Mbit/s;0.0 %;9.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 14:56;22.8 Mbit/s;39.07 Mbit/s;< 1 ms;2.12 ms;24.67 Mbit/s;33.99 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
