dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:04;51.84 Mbit/s;42.56 Mbit/s;< 1 ms;< 1 ms;50.77 Mbit/s;45.43 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 19:04;50.56 Mbit/s;42.14 Mbit/s;< 1 ms;1.39 ms;50.3 Mbit/s;44.61 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 18:04;51.08 Mbit/s;41.74 Mbit/s;1.59 ms;< 1 ms;49.21 Mbit/s;44.39 Mbit/s;0.0 %;6.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 17:04;51.79 Mbit/s;42.58 Mbit/s;< 1 ms;< 1 ms;50.75 Mbit/s;44.94 Mbit/s;0.0 %;5.65 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:04;44.23 Mbit/s;42.65 Mbit/s;< 1 ms;< 1 ms;45.03 Mbit/s;44.43 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:04;47.93 Mbit/s;35.97 Mbit/s;< 1 ms;1.04 ms;48.95 Mbit/s;38.18 Mbit/s;0.67 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:04;49.82 Mbit/s;41.88 Mbit/s;< 1 ms;< 1 ms;48.98 Mbit/s;44.49 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:04;49.08 Mbit/s;43.24 Mbit/s;< 1 ms;< 1 ms;46.66 Mbit/s;46.19 Mbit/s;0.0 %;5.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:04;48.25 Mbit/s;45.67 Mbit/s;< 1 ms;1.08 ms;49.36 Mbit/s;47.52 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:04;51.79 Mbit/s;42.77 Mbit/s;5.34 ms;< 1 ms;49.06 Mbit/s;45.02 Mbit/s;0.0 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
