dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:48;24.83 Mbit/s;24.44 Mbit/s;< 1 ms;< 1 ms;24.38 Mbit/s;21.35 Mbit/s;0.0 %;5.62 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 18:48;24.65 Mbit/s;21.98 Mbit/s;< 1 ms;2.08 ms;24.03 Mbit/s;18.8 Mbit/s;0.0 %;5.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:48;23.22 Mbit/s;24.47 Mbit/s;< 1 ms;< 1 ms;23.54 Mbit/s;19.97 Mbit/s;0.0 %;6.52 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 16:48;22.19 Mbit/s;22.03 Mbit/s;< 1 ms;3.42 ms;23.23 Mbit/s;22.53 Mbit/s;0.0 %;6.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:48;23.08 Mbit/s;22.56 Mbit/s;< 1 ms;< 1 ms;23.73 Mbit/s;23.0 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 14:48;23.0 Mbit/s;20.82 Mbit/s;< 1 ms;< 1 ms;23.66 Mbit/s;21.07 Mbit/s;0.0 %;5.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 13:48;24.42 Mbit/s;23.56 Mbit/s;< 1 ms;< 1 ms;23.85 Mbit/s;22.86 Mbit/s;0.0 %;4.67 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 12:48;25.0 Mbit/s;24.44 Mbit/s;1.05 ms;1.38 ms;24.01 Mbit/s;22.56 Mbit/s;0.0 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:48;24.17 Mbit/s;24.41 Mbit/s;< 1 ms;< 1 ms;23.92 Mbit/s;22.41 Mbit/s;0.0 %;4.69 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 10:48;24.57 Mbit/s;22.95 Mbit/s;< 1 ms;< 1 ms;23.81 Mbit/s;22.93 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:48;24.72 Mbit/s;24.59 Mbit/s;< 1 ms;< 1 ms;24.26 Mbit/s;22.42 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
