dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:45;2.17 Mbit/s;14.25 Mbit/s;< 1 ms;< 1 ms;3.15 Mbit/s;15.35 Mbit/s;0.0 %;4.32 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:45;2.98 Mbit/s;13.69 Mbit/s;< 1 ms;< 1 ms;8.48 Mbit/s;14.73 Mbit/s;0.0 %;4.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:45;1.48 Mbit/s;7.76 Mbit/s;< 1 ms;< 1 ms;1.02 Mbit/s;8.01 Mbit/s;0.0 %;6.16 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 15:45;1.62 Mbit/s;11.44 Mbit/s;< 1 ms;< 1 ms;1.78 Mbit/s;12.09 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 14:45;1.68 Mbit/s;8.04 Mbit/s;< 1 ms;< 1 ms;1.63 Mbit/s;8.05 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:45;1.6 Mbit/s;10.24 Mbit/s;< 1 ms;< 1 ms;1.66 Mbit/s;11.07 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:45;1.19 Mbit/s;9.55 Mbit/s;< 1 ms;< 1 ms;975.71 kbit/s;10.12 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:45;1.22 Mbit/s;7.48 Mbit/s;< 1 ms;< 1 ms;1.3 Mbit/s;8.1 Mbit/s;0.0 %;6.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:45;1.42 Mbit/s;6.1 Mbit/s;< 1 ms;1.8 ms;1.5 Mbit/s;6.57 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:45;1.24 Mbit/s;7.61 Mbit/s;< 1 ms;< 1 ms;1.39 Mbit/s;8.04 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:45;37.04 Mbit/s;33.63 Mbit/s;< 1 ms;3.25 ms;37.38 Mbit/s;36.01 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 08:45;2.09 Mbit/s;786.16 kbit/s;1.65 ms;< 1 ms;2.0 Mbit/s;720.77 kbit/s;0.0 %;19.96 ms;PTT Metro de Curitiba;;;;;
01/08/15 07:45;11.97 Mbit/s;29.13 Mbit/s;< 1 ms;< 1 ms;13.21 Mbit/s;30.61 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 05:45;1.63 Mbit/s;10.07 Mbit/s;< 1 ms;< 1 ms;1.61 Mbit/s;10.87 Mbit/s;0.0 %;4.77 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 04:45;1.79 Mbit/s;9.19 Mbit/s;< 1 ms;< 1 ms;1.73 Mbit/s;9.6 Mbit/s;0.0 %;4.72 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
