dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:26;76.85 Mbit/s;52.82 Mbit/s;< 1 ms;< 1 ms;82.94 Mbit/s;53.11 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 18:26;9.7 Mbit/s;432.24 kbit/s;3.34 ms;3.16 ms;8.98 Mbit/s;350.11 kbit/s;0.0 %;35.58 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:26;52.89 Mbit/s;51.29 Mbit/s;< 1 ms;< 1 ms;58.25 Mbit/s;53.76 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 17:26;70.52 Mbit/s;54.51 Mbit/s;< 1 ms;< 1 ms;73.04 Mbit/s;57.78 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:26;57.82 Mbit/s;53.24 Mbit/s;3.81 ms;2.89 ms;63.12 Mbit/s;56.55 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:26;58.32 Mbit/s;52.2 Mbit/s;< 1 ms;< 1 ms;63.34 Mbit/s;55.58 Mbit/s;0.0 %;6.25 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 14:26;73.13 Mbit/s;49.4 Mbit/s;< 1 ms;< 1 ms;80.51 Mbit/s;52.61 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:26;74.86 Mbit/s;50.69 Mbit/s;< 1 ms;< 1 ms;82.25 Mbit/s;53.89 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:26;79.46 Mbit/s;48.36 Mbit/s;< 1 ms;< 1 ms;82.78 Mbit/s;51.15 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:26;62.79 Mbit/s;52.28 Mbit/s;< 1 ms;3.11 ms;68.7 Mbit/s;55.91 Mbit/s;0.0 %;4.85 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 10:26;65.73 Mbit/s;52.39 Mbit/s;< 1 ms;< 1 ms;69.68 Mbit/s;55.73 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:26;60.11 Mbit/s;53.02 Mbit/s;< 1 ms;< 1 ms;66.1 Mbit/s;56.17 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 08:26;71.29 Mbit/s;52.91 Mbit/s;< 1 ms;2.01 ms;78.25 Mbit/s;51.86 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 06:26;77.07 Mbit/s;52.98 Mbit/s;< 1 ms;< 1 ms;84.14 Mbit/s;56.44 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 05:26;54.92 Mbit/s;53.49 Mbit/s;< 1 ms;< 1 ms;60.42 Mbit/s;56.83 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 04:26;66.0 Mbit/s;53.95 Mbit/s;< 1 ms;< 1 ms;72.73 Mbit/s;57.21 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:26;97.37 Mbit/s;97.12 Mbit/s;< 1 ms;< 1 ms;94.38 Mbit/s;94.6 Mbit/s;0.0 %;2.35 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 03:26;75.5 Mbit/s;48.48 Mbit/s;< 1 ms;< 1 ms;82.93 Mbit/s;51.47 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 02:26;72.65 Mbit/s;53.69 Mbit/s;< 1 ms;< 1 ms;80.05 Mbit/s;57.04 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:26;64.51 Mbit/s;53.48 Mbit/s;< 1 ms;< 1 ms;71.05 Mbit/s;56.88 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 00:26;59.21 Mbit/s;53.68 Mbit/s;< 1 ms;< 1 ms;65.19 Mbit/s;57.12 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 23:26;72.81 Mbit/s;43.28 Mbit/s;2.64 ms;< 1 ms;80.2 Mbit/s;46.19 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 22:26;55.72 Mbit/s;51.93 Mbit/s;< 1 ms;< 1 ms;61.18 Mbit/s;55.17 Mbit/s;0.0 %;5.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 21:26;53.73 Mbit/s;53.28 Mbit/s;< 1 ms;< 1 ms;58.89 Mbit/s;56.71 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 20:26;20.7 Mbit/s;53.7 Mbit/s;< 1 ms;6.64 ms;22.75 Mbit/s;56.45 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 19:26;62.33 Mbit/s;51.99 Mbit/s;< 1 ms;< 1 ms;66.37 Mbit/s;53.05 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 18:26;61.58 Mbit/s;52.03 Mbit/s;< 1 ms;< 1 ms;67.5 Mbit/s;54.51 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 17:26;46.56 Mbit/s;50.31 Mbit/s;< 1 ms;< 1 ms;48.97 Mbit/s;53.41 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 16:26;72.77 Mbit/s;49.83 Mbit/s;< 1 ms;1.95 ms;76.64 Mbit/s;52.67 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 15:26;67.43 Mbit/s;49.85 Mbit/s;< 1 ms;< 1 ms;69.98 Mbit/s;52.87 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 14:26;75.57 Mbit/s;52.88 Mbit/s;< 1 ms;< 1 ms;82.4 Mbit/s;54.31 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 12:26;71.19 Mbit/s;50.46 Mbit/s;< 1 ms;3.65 ms;74.43 Mbit/s;52.34 Mbit/s;0.0 %;7.84 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 11:27;51.41 Mbit/s;42.23 Mbit/s;< 1 ms;< 1 ms;56.34 Mbit/s;45.04 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 08:26;78.79 Mbit/s;46.27 Mbit/s;< 1 ms;< 1 ms;85.55 Mbit/s;48.63 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 07:26;50.77 Mbit/s;45.94 Mbit/s;< 1 ms;< 1 ms;55.85 Mbit/s;46.71 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 06:26;72.64 Mbit/s;46.21 Mbit/s;< 1 ms;< 1 ms;80.07 Mbit/s;46.35 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 05:26;77.9 Mbit/s;46.54 Mbit/s;< 1 ms;< 1 ms;84.88 Mbit/s;49.5 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 04:26;84.75 Mbit/s;47.07 Mbit/s;< 1 ms;2.99 ms;89.24 Mbit/s;50.24 Mbit/s;0.0 %;4.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 03:26;72.1 Mbit/s;46.57 Mbit/s;< 1 ms;< 1 ms;79.18 Mbit/s;49.55 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 01:26;78.39 Mbit/s;45.96 Mbit/s;< 1 ms;< 1 ms;85.46 Mbit/s;48.82 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 00:26;73.3 Mbit/s;48.16 Mbit/s;< 1 ms;< 1 ms;80.71 Mbit/s;51.19 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 00:26;1.95 Mbit/s;2.62 Mbit/s;< 1 ms;< 1 ms;2.14 Mbit/s;2.72 Mbit/s;0.0 %;10.57 ms;PTT Metro de Belo Horizonte;;;;;
30/07/15 23:26;68.82 Mbit/s;44.05 Mbit/s;< 1 ms;< 1 ms;75.81 Mbit/s;46.76 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 22:26;71.54 Mbit/s;48.33 Mbit/s;< 1 ms;< 1 ms;78.85 Mbit/s;51.47 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 21:26;75.4 Mbit/s;47.04 Mbit/s;< 1 ms;< 1 ms;81.9 Mbit/s;48.37 Mbit/s;0.0 %;5.01 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 20:26;87.67 Mbit/s;46.95 Mbit/s;< 1 ms;< 1 ms;91.05 Mbit/s;49.97 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 19:26;48.66 Mbit/s;52.5 Mbit/s;< 1 ms;1.37 ms;53.04 Mbit/s;54.35 Mbit/s;0.0 %;5.94 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 18:26;79.39 Mbit/s;53.71 Mbit/s;< 1 ms;< 1 ms;82.12 Mbit/s;57.06 Mbit/s;0.0 %;4.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 17:26;86.25 Mbit/s;48.33 Mbit/s;< 1 ms;< 1 ms;83.79 Mbit/s;51.17 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 16:26;80.8 Mbit/s;47.39 Mbit/s;< 1 ms;< 1 ms;87.18 Mbit/s;49.32 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 15:26;67.5 Mbit/s;47.98 Mbit/s;< 1 ms;< 1 ms;73.56 Mbit/s;51.12 Mbit/s;0.0 %;4.69 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 14:26;81.49 Mbit/s;49.03 Mbit/s;< 1 ms;< 1 ms;87.11 Mbit/s;52.13 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 13:26;81.47 Mbit/s;47.33 Mbit/s;< 1 ms;< 1 ms;87.65 Mbit/s;50.52 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 12:26;78.78 Mbit/s;48.26 Mbit/s;< 1 ms;< 1 ms;85.72 Mbit/s;50.93 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 11:26;78.16 Mbit/s;46.49 Mbit/s;< 1 ms;< 1 ms;85.01 Mbit/s;49.44 Mbit/s;0.0 %;5.06 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 10:26;81.68 Mbit/s;47.71 Mbit/s;< 1 ms;< 1 ms;87.68 Mbit/s;50.52 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 08:26;78.63 Mbit/s;46.76 Mbit/s;< 1 ms;< 1 ms;85.34 Mbit/s;49.29 Mbit/s;0.0 %;5.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 07:26;71.32 Mbit/s;46.25 Mbit/s;< 1 ms;< 1 ms;78.56 Mbit/s;49.02 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 06:26;78.06 Mbit/s;45.58 Mbit/s;< 1 ms;< 1 ms;85.16 Mbit/s;48.39 Mbit/s;0.0 %;5.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 05:26;53.88 Mbit/s;45.57 Mbit/s;< 1 ms;< 1 ms;59.3 Mbit/s;48.44 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 04:26;79.67 Mbit/s;46.64 Mbit/s;< 1 ms;< 1 ms;86.55 Mbit/s;49.65 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 03:26;75.73 Mbit/s;45.97 Mbit/s;< 1 ms;< 1 ms;83.15 Mbit/s;48.89 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
