dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:11;46.16 Mbit/s;42.74 Mbit/s;< 1 ms;< 1 ms;47.85 Mbit/s;45.23 Mbit/s;0.0 %;2.61 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 19:11;48.65 Mbit/s;45.36 Mbit/s;< 1 ms;< 1 ms;48.27 Mbit/s;43.23 Mbit/s;0.0 %;2.82 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 18:11;43.18 Mbit/s;45.3 Mbit/s;< 1 ms;< 1 ms;45.8 Mbit/s;46.8 Mbit/s;0.0 %;2.41 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:11;49.3 Mbit/s;47.87 Mbit/s;< 1 ms;< 1 ms;48.91 Mbit/s;46.74 Mbit/s;0.0 %;2.57 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:11;43.97 Mbit/s;43.84 Mbit/s;< 1 ms;< 1 ms;46.12 Mbit/s;45.83 Mbit/s;0.0 %;2.2 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:11;50.87 Mbit/s;38.33 Mbit/s;< 1 ms;< 1 ms;49.38 Mbit/s;38.36 Mbit/s;0.0 %;2.13 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:11;50.29 Mbit/s;44.09 Mbit/s;< 1 ms;< 1 ms;48.83 Mbit/s;45.96 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:11;50.65 Mbit/s;43.08 Mbit/s;< 1 ms;< 1 ms;49.61 Mbit/s;45.74 Mbit/s;0.0 %;2.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 12:11;50.35 Mbit/s;43.44 Mbit/s;< 1 ms;< 1 ms;49.67 Mbit/s;45.78 Mbit/s;0.0 %;2.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:11;49.52 Mbit/s;42.34 Mbit/s;< 1 ms;< 1 ms;49.4 Mbit/s;44.92 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:11;47.84 Mbit/s;42.68 Mbit/s;< 1 ms;< 1 ms;48.77 Mbit/s;45.16 Mbit/s;0.0 %;2.75 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:11;50.42 Mbit/s;43.36 Mbit/s;< 1 ms;< 1 ms;49.61 Mbit/s;45.84 Mbit/s;0.0 %;2.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 08:11;50.0 Mbit/s;43.35 Mbit/s;< 1 ms;< 1 ms;49.29 Mbit/s;45.86 Mbit/s;0.0 %;2.15 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 07:11;50.26 Mbit/s;43.25 Mbit/s;< 1 ms;< 1 ms;49.64 Mbit/s;45.9 Mbit/s;0.0 %;2.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 06:11;50.54 Mbit/s;43.23 Mbit/s;< 1 ms;< 1 ms;49.75 Mbit/s;45.96 Mbit/s;0.0 %;2.63 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 05:11;50.6 Mbit/s;43.56 Mbit/s;< 1 ms;1.03 ms;49.54 Mbit/s;45.82 Mbit/s;0.0 %;2.14 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:11;50.71 Mbit/s;43.53 Mbit/s;< 1 ms;< 1 ms;49.54 Mbit/s;46.0 Mbit/s;0.0 %;2.22 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 03:11;42.72 Mbit/s;45.41 Mbit/s;< 1 ms;< 1 ms;45.86 Mbit/s;46.76 Mbit/s;0.0 %;2.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 02:11;45.79 Mbit/s;42.52 Mbit/s;< 1 ms;< 1 ms;47.86 Mbit/s;44.91 Mbit/s;0.0 %;2.33 ms;NIC.br nodo 2;;;;;
01/08/15 01:11;40.26 Mbit/s;48.74 Mbit/s;< 1 ms;< 1 ms;43.7 Mbit/s;45.4 Mbit/s;0.0 %;2.17 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 00:11;45.89 Mbit/s;47.83 Mbit/s;< 1 ms;< 1 ms;47.61 Mbit/s;44.26 Mbit/s;0.0 %;2.25 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 23:11;49.59 Mbit/s;40.99 Mbit/s;< 1 ms;< 1 ms;48.37 Mbit/s;43.2 Mbit/s;0.0 %;2.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
