dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:34;46.97 Mbit/s;46.71 Mbit/s;< 1 ms;2.2 ms;47.25 Mbit/s;45.97 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 16:34;49.18 Mbit/s;45.17 Mbit/s;< 1 ms;< 1 ms;49.21 Mbit/s;46.09 Mbit/s;0.0 %;5.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:34;44.59 Mbit/s;43.98 Mbit/s;< 1 ms;3.26 ms;44.5 Mbit/s;45.27 Mbit/s;0.0 %;5.94 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:34;48.88 Mbit/s;45.17 Mbit/s;< 1 ms;< 1 ms;47.8 Mbit/s;45.6 Mbit/s;0.0 %;4.38 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:34;44.48 Mbit/s;43.09 Mbit/s;< 1 ms;< 1 ms;46.39 Mbit/s;45.87 Mbit/s;0.0 %;5.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:34;49.8 Mbit/s;47.13 Mbit/s;< 1 ms;< 1 ms;48.63 Mbit/s;45.83 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 01:34;48.87 Mbit/s;45.65 Mbit/s;< 1 ms;< 1 ms;48.16 Mbit/s;46.4 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:34;47.36 Mbit/s;45.96 Mbit/s;< 1 ms;< 1 ms;48.03 Mbit/s;45.34 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 19:34;44.34 Mbit/s;44.72 Mbit/s;< 1 ms;< 1 ms;45.86 Mbit/s;42.22 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 16:34;48.87 Mbit/s;46.66 Mbit/s;< 1 ms;< 1 ms;48.16 Mbit/s;45.57 Mbit/s;0.0 %;5.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 13:34;48.13 Mbit/s;44.88 Mbit/s;< 1 ms;< 1 ms;47.27 Mbit/s;45.75 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 10:34;48.14 Mbit/s;45.34 Mbit/s;< 1 ms;< 1 ms;47.69 Mbit/s;46.34 Mbit/s;0.0 %;7.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 07:34;44.15 Mbit/s;45.18 Mbit/s;6.83 ms;< 1 ms;45.26 Mbit/s;44.14 Mbit/s;0.0 %;6.39 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 04:34;49.57 Mbit/s;45.57 Mbit/s;< 1 ms;< 1 ms;48.49 Mbit/s;45.43 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 01:34;48.7 Mbit/s;44.8 Mbit/s;< 1 ms;< 1 ms;48.46 Mbit/s;45.66 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 00:06;10.48 Mbit/s;1.1 Mbit/s;< 1 ms;< 1 ms;10.2 Mbit/s;1.06 Mbit/s;0.0 %;7.22 ms;PTT Metro de Recife;;;;;
