dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:55;13.17 Mbit/s;18.06 Mbit/s;1.24 ms;5.23 ms;14.41 Mbit/s;11.19 Mbit/s;0.0 %;11.46 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:55;18.72 Mbit/s;17.41 Mbit/s;2.69 ms;2.02 ms;20.26 Mbit/s;11.83 Mbit/s;0.0 %;10.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:55;14.96 Mbit/s;4.53 Mbit/s;< 1 ms;1.47 ms;16.46 Mbit/s;4.86 Mbit/s;0.0 %;8.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:55;9.57 Mbit/s;9.04 Mbit/s;< 1 ms;2.18 ms;10.51 Mbit/s;9.8 Mbit/s;0.0 %;7.94 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 15:55;16.14 Mbit/s;6.27 Mbit/s;1.46 ms;2.08 ms;17.22 Mbit/s;6.48 Mbit/s;0.0 %;8.45 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:55;12.83 Mbit/s;4.02 Mbit/s;< 1 ms;6.57 ms;12.59 Mbit/s;4.23 Mbit/s;0.0 %;9.32 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 14:20;5.18 Mbit/s;5.08 Mbit/s;< 1 ms;< 1 ms;5.01 Mbit/s;4.72 Mbit/s;0.0 %;13.5 ms;PTT Metro de Florianopolis;;;;;
01/08/15 13:55;15.85 Mbit/s;8.37 Mbit/s;1.22 ms;2.84 ms;15.03 Mbit/s;5.99 Mbit/s;0.0 %;8.97 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 12:55;12.71 Mbit/s;10.9 Mbit/s;1.4 ms;1.57 ms;10.41 Mbit/s;7.82 Mbit/s;0.67 %;11.33 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 11:55;14.09 Mbit/s;5.0 Mbit/s;1.51 ms;1.4 ms;14.56 Mbit/s;5.39 Mbit/s;0.0 %;14.33 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
