dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:39;9.41 Mbit/s;8.6 Mbit/s;5.75 ms;18.32 ms;9.35 Mbit/s;8.97 Mbit/s;0.0 %;86.9 ms;PTT Metro de Campinas;;;;;
01/08/15 18:39;8.3 Mbit/s;9.49 Mbit/s;3.78 ms;< 1 ms;8.81 Mbit/s;8.34 Mbit/s;0.67 %;74.94 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:39;8.9 Mbit/s;9.08 Mbit/s;3.65 ms;6.8 ms;9.06 Mbit/s;8.86 Mbit/s;0.0 %;25.35 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 16:43;2.88 Mbit/s;739.59 kbit/s;3.12 ms;6.67 ms;2.81 Mbit/s;712.04 kbit/s;0.0 %;37.72 ms;PTT Metro de Curitiba;;;;;
01/08/15 16:39;9.03 Mbit/s;8.74 Mbit/s;< 1 ms;1.25 ms;9.14 Mbit/s;9.02 Mbit/s;0.0 %;27.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 14:39;9.73 Mbit/s;9.57 Mbit/s;< 1 ms;< 1 ms;9.44 Mbit/s;8.7 Mbit/s;0.0 %;5.63 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:39;9.69 Mbit/s;9.56 Mbit/s;< 1 ms;< 1 ms;9.33 Mbit/s;8.72 Mbit/s;0.0 %;5.78 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:39;9.11 Mbit/s;9.46 Mbit/s;< 1 ms;< 1 ms;9.1 Mbit/s;8.74 Mbit/s;0.0 %;12.73 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 11:39;8.77 Mbit/s;9.54 Mbit/s;5.37 ms;< 1 ms;9.02 Mbit/s;8.76 Mbit/s;0.0 %;5.87 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:39;9.73 Mbit/s;9.55 Mbit/s;< 1 ms;< 1 ms;9.39 Mbit/s;8.74 Mbit/s;0.0 %;5.73 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:39;9.67 Mbit/s;9.58 Mbit/s;< 1 ms;< 1 ms;9.43 Mbit/s;8.72 Mbit/s;0.0 %;6.21 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 08:39;9.7 Mbit/s;9.58 Mbit/s;< 1 ms;< 1 ms;9.43 Mbit/s;8.69 Mbit/s;0.0 %;5.56 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:39;9.74 Mbit/s;9.56 Mbit/s;< 1 ms;< 1 ms;9.43 Mbit/s;8.78 Mbit/s;0.0 %;5.68 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 06:39;9.73 Mbit/s;9.61 Mbit/s;< 1 ms;< 1 ms;9.4 Mbit/s;8.75 Mbit/s;0.0 %;6.7 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
