dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:54;15.4 Mbit/s;8.68 Mbit/s;< 1 ms;< 1 ms;16.77 Mbit/s;9.37 Mbit/s;0.0 %;3.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 18:54;13.36 Mbit/s;7.21 Mbit/s;< 1 ms;< 1 ms;14.57 Mbit/s;7.77 Mbit/s;0.0 %;2.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:54;13.85 Mbit/s;7.11 Mbit/s;< 1 ms;2.47 ms;15.24 Mbit/s;7.63 Mbit/s;0.0 %;2.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:54;1.99 Mbit/s;3.25 Mbit/s;< 1 ms;52.57 ms;2.06 Mbit/s;3.2 Mbit/s;7.69 %;3.66 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 15:54;6.53 Mbit/s;4.94 Mbit/s;2.24 ms;22.13 ms;7.05 Mbit/s;5.04 Mbit/s;0.68 %;10.11 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 14:54;6.36 Mbit/s;245.19 kbit/s;5.14 ms;111.05 ms;-;251.96 kbit/s;7.69 %;7.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:54;7.91 Mbit/s;4.35 Mbit/s;1.26 ms;4.88 ms;8.62 Mbit/s;4.61 Mbit/s;1.38 %;8.77 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 11:54;7.67 Mbit/s;7.15 Mbit/s;4.6 ms;20.2 ms;8.2 Mbit/s;7.66 Mbit/s;4.32 %;8.39 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:54;2.2 Mbit/s;1.05 Mbit/s;2.14 ms;31.93 ms;2.41 Mbit/s;1.03 Mbit/s;0.0 %;218.83 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:54;10.94 Mbit/s;7.88 Mbit/s;< 1 ms;2.31 ms;11.66 Mbit/s;8.42 Mbit/s;2.08 %;2.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:54;13.75 Mbit/s;4.81 Mbit/s;24.93 ms;41.87 ms;14.98 Mbit/s;5.16 Mbit/s;1.37 %;34.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:54;14.79 Mbit/s;8.35 Mbit/s;< 1 ms;< 1 ms;16.22 Mbit/s;8.96 Mbit/s;0.0 %;2.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:54;14.94 Mbit/s;8.31 Mbit/s;< 1 ms;< 1 ms;11.69 Mbit/s;7.07 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 05:54;5.41 Mbit/s;8.66 Mbit/s;13.57 ms;< 1 ms;5.91 Mbit/s;8.57 Mbit/s;1.37 %;52.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 05:47;12.97 Mbit/s;983.98 kbit/s;< 1 ms;< 1 ms;12.67 Mbit/s;976.04 kbit/s;0.0 %;8.11 ms;PTT Metro de Florianopolis;;;;;
01/08/15 04:54;16.17 Mbit/s;10.97 Mbit/s;< 1 ms;< 1 ms;17.78 Mbit/s;11.81 Mbit/s;0.0 %;2.28 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 03:54;16.66 Mbit/s;11.32 Mbit/s;< 1 ms;< 1 ms;18.09 Mbit/s;12.22 Mbit/s;0.0 %;2.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 02:54;15.78 Mbit/s;11.8 Mbit/s;< 1 ms;< 1 ms;17.36 Mbit/s;12.71 Mbit/s;0.0 %;2.5 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:54;15.11 Mbit/s;11.5 Mbit/s;< 1 ms;< 1 ms;16.63 Mbit/s;12.37 Mbit/s;2.08 %;2.87 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 00:54;14.89 Mbit/s;11.72 Mbit/s;< 1 ms;< 1 ms;16.36 Mbit/s;12.59 Mbit/s;0.0 %;2.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 23:54;14.38 Mbit/s;7.7 Mbit/s;< 1 ms;< 1 ms;15.75 Mbit/s;8.28 Mbit/s;0.0 %;2.48 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:54;14.43 Mbit/s;7.81 Mbit/s;< 1 ms;2.28 ms;15.78 Mbit/s;8.39 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 21:54;14.84 Mbit/s;7.57 Mbit/s;< 1 ms;< 1 ms;16.24 Mbit/s;8.13 Mbit/s;0.0 %;2.29 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 20:54;15.44 Mbit/s;9.06 Mbit/s;< 1 ms;< 1 ms;15.91 Mbit/s;9.72 Mbit/s;0.0 %;2.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 19:54;15.41 Mbit/s;10.59 Mbit/s;< 1 ms;< 1 ms;16.82 Mbit/s;11.43 Mbit/s;0.0 %;2.29 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 18:54;13.96 Mbit/s;10.7 Mbit/s;< 1 ms;1.19 ms;15.14 Mbit/s;11.56 Mbit/s;0.0 %;6.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 17:54;13.55 Mbit/s;8.35 Mbit/s;< 1 ms;< 1 ms;14.73 Mbit/s;9.0 Mbit/s;3.57 %;3.93 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 15:54;8.79 Mbit/s;7.37 Mbit/s;5.73 ms;2.22 ms;9.64 Mbit/s;7.78 Mbit/s;0.68 %;9.62 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 14:48;5.73 Mbit/s;8.11 Mbit/s;< 1 ms;2.27 ms;6.21 Mbit/s;8.29 Mbit/s;0.0 %;3.29 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
