dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:33;1.02 Mbit/s;4.32 Mbit/s;26.65 ms;4.03 ms;-;3.98 Mbit/s;1.38 %;110.57 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 18:33;2.52 Mbit/s;4.21 Mbit/s;28.94 ms;39.12 ms;2.76 Mbit/s;4.23 Mbit/s;5.8 %;189.76 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:33;-;814.21 kbit/s;29.26 ms;3.69 ms;-;-;1.37 %;802.29 ms;PTT Metro de Campinas;;;;;
01/08/15 16:33;573.93 kbit/s;3.1 Mbit/s;55.51 ms;16.74 ms;552.44 kbit/s;2.67 Mbit/s;0.0 %;240.4 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:33;313.82 kbit/s;367.21 kbit/s;48.09 ms;51.94 ms;221.67 kbit/s;357.23 kbit/s;5.07 %;245.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:34;146.38 kbit/s;688.46 kbit/s;30.33 ms;13.59 ms;150.98 kbit/s;704.17 kbit/s;3.6 %;361.35 ms;PTT Metro de Florianopolis;;;;;
01/08/15 12:33;8.13 Mbit/s;8.33 Mbit/s;20.73 ms;6.99 ms;8.96 Mbit/s;4.92 Mbit/s;12.4 %;567.21 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:33;7.52 Mbit/s;15.74 Mbit/s;15.98 ms;2.88 ms;8.3 Mbit/s;3.54 Mbit/s;0.0 %;14.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:33;1.98 Mbit/s;4.33 Mbit/s;11.23 ms;9.81 ms;2.18 Mbit/s;4.23 Mbit/s;0.0 %;27.18 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:33;15.56 Mbit/s;13.18 Mbit/s;< 1 ms;1.19 ms;17.15 Mbit/s;8.15 Mbit/s;0.0 %;5.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 08:33;14.96 Mbit/s;18.79 Mbit/s;5.67 ms;1.47 ms;16.61 Mbit/s;15.9 Mbit/s;0.0 %;5.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:33;23.32 Mbit/s;20.14 Mbit/s;2.83 ms;4.67 ms;25.55 Mbit/s;16.32 Mbit/s;0.0 %;5.44 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 06:33;27.26 Mbit/s;21.68 Mbit/s;2.44 ms;1.17 ms;29.88 Mbit/s;21.16 Mbit/s;0.0 %;5.69 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 05:33;26.08 Mbit/s;17.6 Mbit/s;< 1 ms;1.16 ms;27.94 Mbit/s;18.78 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 04:33;28.13 Mbit/s;26.14 Mbit/s;< 1 ms;1.2 ms;30.58 Mbit/s;27.76 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 03:33;28.39 Mbit/s;26.07 Mbit/s;< 1 ms;1.25 ms;30.82 Mbit/s;26.12 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 02:33;23.53 Mbit/s;13.59 Mbit/s;< 1 ms;2.01 ms;25.84 Mbit/s;12.17 Mbit/s;0.69 %;5.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 01:33;27.59 Mbit/s;21.35 Mbit/s;< 1 ms;< 1 ms;30.45 Mbit/s;21.59 Mbit/s;0.0 %;5.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 00:33;22.77 Mbit/s;13.85 Mbit/s;4.41 ms;3.14 ms;24.88 Mbit/s;10.14 Mbit/s;0.0 %;9.31 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 23:33;2.11 Mbit/s;8.9 Mbit/s;17.5 ms;23.02 ms;2.32 Mbit/s;7.81 Mbit/s;0.0 %;18.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 22:33;27.47 Mbit/s;13.54 Mbit/s;4.98 ms;4.39 ms;29.76 Mbit/s;12.01 Mbit/s;0.0 %;7.28 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 21:34;-;-;-;58.61 ms;-;-;0.0 %;752.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 19:33;12.27 Mbit/s;4.75 Mbit/s;18.08 ms;3.65 ms;12.38 Mbit/s;1.67 Mbit/s;0.0 %;42.62 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 18:33;2.12 Mbit/s;2.12 Mbit/s;16.3 ms;7.54 ms;2.33 Mbit/s;1.96 Mbit/s;0.0 %;57.52 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 17:34;-;306.36 kbit/s;28.7 ms;28.25 ms;-;-;0.68 %;522.74 ms;PTT Metro de Campinas;;;;;
31/07/15 16:33;804.56 kbit/s;962.05 kbit/s;24.56 ms;22.67 ms;528.87 kbit/s;228.67 kbit/s;4.35 %;145.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 15:33;129.53 kbit/s;318.42 kbit/s;31.36 ms;38.48 ms;-;251.71 kbit/s;8.66 %;450.53 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 14:33;7.74 Mbit/s;5.01 Mbit/s;5.2 ms;3.25 ms;8.46 Mbit/s;5.35 Mbit/s;0.0 %;26.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 13:33;5.57 Mbit/s;3.91 Mbit/s;10.84 ms;3.32 ms;6.04 Mbit/s;745.74 kbit/s;0.68 %;37.58 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
