dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
08/05/15 14:33;-;-;-;1.54 ms;-;-;0.68 %;6.32 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
08/05/15 13:33;32.89 Mbit/s;21.04 Mbit/s;< 1 ms;< 1 ms;35.2 Mbit/s;22.08 Mbit/s;0.0 %;3.49 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
08/05/15 12:33;29.57 Mbit/s;25.48 Mbit/s;< 1 ms;< 1 ms;32.14 Mbit/s;26.19 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
08/05/15 11:33;31.08 Mbit/s;24.81 Mbit/s;3.84 ms;< 1 ms;33.26 Mbit/s;25.41 Mbit/s;1.39 %;7.1 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/05/15 10:33;33.59 Mbit/s;20.81 Mbit/s;< 1 ms;< 1 ms;35.83 Mbit/s;21.95 Mbit/s;0.68 %;3.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
08/05/15 09:33;31.9 Mbit/s;21.48 Mbit/s;1.27 ms;< 1 ms;34.66 Mbit/s;22.81 Mbit/s;0.0 %;3.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/05/15 08:33;32.08 Mbit/s;17.4 Mbit/s;1.72 ms;< 1 ms;34.95 Mbit/s;18.41 Mbit/s;0.0 %;5.36 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
08/05/15 07:33;32.32 Mbit/s;21.08 Mbit/s;< 1 ms;< 1 ms;34.99 Mbit/s;22.31 Mbit/s;0.0 %;3.51 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/05/15 06:33;32.86 Mbit/s;22.79 Mbit/s;< 1 ms;1.3 ms;35.49 Mbit/s;24.03 Mbit/s;0.0 %;2.94 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/05/15 05:33;33.14 Mbit/s;19.79 Mbit/s;1.14 ms;< 1 ms;35.55 Mbit/s;20.98 Mbit/s;0.0 %;3.04 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
08/05/15 04:33;33.79 Mbit/s;17.45 Mbit/s;< 1 ms;< 1 ms;35.97 Mbit/s;18.41 Mbit/s;0.0 %;2.98 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
08/05/15 03:33;32.36 Mbit/s;20.42 Mbit/s;< 1 ms;1.14 ms;35.12 Mbit/s;21.72 Mbit/s;0.0 %;2.99 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
08/05/15 02:33;29.84 Mbit/s;29.9 Mbit/s;2.41 ms;< 1 ms;32.68 Mbit/s;29.37 Mbit/s;0.0 %;6.77 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/05/15 01:33;33.12 Mbit/s;21.85 Mbit/s;< 1 ms;< 1 ms;35.56 Mbit/s;23.09 Mbit/s;0.0 %;3.54 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
08/05/15 00:33;31.26 Mbit/s;21.29 Mbit/s;< 1 ms;< 1 ms;33.75 Mbit/s;22.39 Mbit/s;0.0 %;3.03 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/05/15 23:33;33.38 Mbit/s;21.22 Mbit/s;2.09 ms;1.84 ms;35.75 Mbit/s;22.43 Mbit/s;0.0 %;3.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
