dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
18/07/15 12:35;835.1 kbit/s;5.58 Mbit/s;31.16 ms;5.34 ms;912.87 kbit/s;5.94 Mbit/s;0.0 %;156.9 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/07/15 11:35;1.82 Mbit/s;7.4 Mbit/s;23.92 ms;5.45 ms;2.01 Mbit/s;7.88 Mbit/s;0.0 %;74.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/07/15 10:35;3.61 Mbit/s;8.7 Mbit/s;9.5 ms;1.94 ms;3.96 Mbit/s;9.4 Mbit/s;0.0 %;42.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/07/15 09:35;9.18 Mbit/s;18.89 Mbit/s;12.32 ms;1.43 ms;10.02 Mbit/s;18.64 Mbit/s;0.0 %;44.84 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/07/15 08:35;6.44 Mbit/s;1.43 Mbit/s;3.46 ms;6.33 ms;5.95 Mbit/s;1.36 Mbit/s;0.0 %;29.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/07/15 07:35;10.06 Mbit/s;33.05 Mbit/s;2.51 ms;< 1 ms;10.9 Mbit/s;17.81 Mbit/s;0.0 %;20.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/07/15 06:35;13.77 Mbit/s;18.82 Mbit/s;10.46 ms;3.65 ms;15.14 Mbit/s;19.89 Mbit/s;0.0 %;26.05 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/07/15 04:35;31.16 Mbit/s;33.47 Mbit/s;1.19 ms;3.01 ms;34.27 Mbit/s;34.35 Mbit/s;0.0 %;11.96 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/07/15 03:00;2.03 Mbit/s;971.14 kbit/s;1.46 ms;< 1 ms;1.95 Mbit/s;892.06 kbit/s;0.0 %;26.65 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/07/15 02:35;10.33 Mbit/s;19.96 Mbit/s;6.43 ms;5.11 ms;11.3 Mbit/s;20.46 Mbit/s;0.0 %;26.97 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
18/07/15 01:36;10.99 Mbit/s;25.58 Mbit/s;14.37 ms;1.74 ms;12.11 Mbit/s;24.09 Mbit/s;0.0 %;47.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
