dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:37;17.9 Mbit/s;24.04 Mbit/s;2.01 ms;1.33 ms;15.76 Mbit/s;25.16 Mbit/s;0.0 %;5.6 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 17:37;16.52 Mbit/s;21.21 Mbit/s;< 1 ms;< 1 ms;15.7 Mbit/s;22.47 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 16:37;15.82 Mbit/s;19.09 Mbit/s;< 1 ms;1.96 ms;16.39 Mbit/s;8.97 Mbit/s;0.0 %;5.21 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:37;9.06 Mbit/s;2.41 Mbit/s;11.1 ms;6.82 ms;4.44 Mbit/s;2.53 Mbit/s;0.0 %;17.72 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 14:37;17.0 Mbit/s;22.49 Mbit/s;1.31 ms;< 1 ms;15.71 Mbit/s;23.96 Mbit/s;0.0 %;6.8 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 13:37;14.43 Mbit/s;20.59 Mbit/s;77.46 ms;23.94 ms;12.01 Mbit/s;21.76 Mbit/s;0.0 %;890.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:37;17.19 Mbit/s;17.9 Mbit/s;< 1 ms;< 1 ms;16.78 Mbit/s;18.76 Mbit/s;0.0 %;5.31 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:37;17.33 Mbit/s;23.09 Mbit/s;< 1 ms;< 1 ms;15.68 Mbit/s;24.59 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:37;16.57 Mbit/s;22.33 Mbit/s;< 1 ms;< 1 ms;13.11 Mbit/s;23.77 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:37;18.59 Mbit/s;25.03 Mbit/s;< 1 ms;< 1 ms;17.73 Mbit/s;26.53 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
