dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:24;2.43 Mbit/s;5.15 Mbit/s;42.79 ms;9.46 ms;702.55 kbit/s;3.87 Mbit/s;0.0 %;341.35 ms;PTT Metro de Curitiba;;;;;
01/08/15 18:24;11.91 Mbit/s;25.14 Mbit/s;8.94 ms;2.7 ms;12.96 Mbit/s;26.55 Mbit/s;0.0 %;40.94 ms;PTT Metro de Curitiba;;;;;
01/08/15 17:24;28.52 Mbit/s;37.86 Mbit/s;1.65 ms;2.34 ms;30.67 Mbit/s;37.91 Mbit/s;0.0 %;6.86 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 16:24;23.17 Mbit/s;33.23 Mbit/s;21.96 ms;5.16 ms;24.96 Mbit/s;29.08 Mbit/s;0.0 %;50.74 ms;PTT Metro de Curitiba;;;;;
01/08/15 15:24;7.62 Mbit/s;5.58 Mbit/s;1.89 ms;9.49 ms;8.15 Mbit/s;5.89 Mbit/s;0.0 %;10.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:24;2.88 Mbit/s;2.81 Mbit/s;8.98 ms;1.99 ms;1.08 Mbit/s;2.97 Mbit/s;1.38 %;57.99 ms;PTT Metro de Curitiba;;;;;
01/08/15 12:24;6.18 Mbit/s;20.87 Mbit/s;17.89 ms;2.94 ms;6.63 Mbit/s;22.16 Mbit/s;5.04 %;161.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:24;23.26 Mbit/s;33.36 Mbit/s;18.23 ms;3.6 ms;-;26.77 Mbit/s;20.33 %;118.71 ms;PTT Metro de Curitiba;;;;;
01/08/15 10:24;34.49 Mbit/s;14.24 Mbit/s;< 1 ms;4.72 ms;34.18 Mbit/s;15.14 Mbit/s;0.0 %;7.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:24;32.23 Mbit/s;43.82 Mbit/s;1.1 ms;< 1 ms;35.31 Mbit/s;38.01 Mbit/s;0.68 %;5.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
