dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:54;24.94 Mbit/s;24.99 Mbit/s;< 1 ms;< 1 ms;24.21 Mbit/s;22.44 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 17:54;24.59 Mbit/s;24.96 Mbit/s;15.36 ms;< 1 ms;24.33 Mbit/s;22.45 Mbit/s;0.0 %;24.01 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 16:54;24.94 Mbit/s;24.88 Mbit/s;8.91 ms;28.85 ms;24.39 Mbit/s;22.39 Mbit/s;0.0 %;24.08 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 15:54;25.01 Mbit/s;24.96 Mbit/s;< 1 ms;2.5 ms;24.19 Mbit/s;21.54 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 14:54;24.96 Mbit/s;24.91 Mbit/s;15.75 ms;6.47 ms;24.34 Mbit/s;22.16 Mbit/s;0.0 %;28.84 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 13:54;25.02 Mbit/s;24.88 Mbit/s;< 1 ms;1.96 ms;24.29 Mbit/s;22.46 Mbit/s;0.0 %;4.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:54;22.32 Mbit/s;24.71 Mbit/s;5.03 ms;4.89 ms;22.88 Mbit/s;22.38 Mbit/s;0.0 %;8.73 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:54;24.94 Mbit/s;24.93 Mbit/s;< 1 ms;3.39 ms;24.14 Mbit/s;22.41 Mbit/s;0.0 %;5.49 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 10:54;24.71 Mbit/s;24.91 Mbit/s;1.36 ms;9.19 ms;24.17 Mbit/s;22.37 Mbit/s;1.37 %;5.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:54;24.31 Mbit/s;24.96 Mbit/s;2.25 ms;< 1 ms;24.2 Mbit/s;22.38 Mbit/s;0.0 %;5.03 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 08:54;16.77 Mbit/s;24.94 Mbit/s;< 1 ms;48.57 ms;18.37 Mbit/s;22.13 Mbit/s;0.68 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
