dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:14;44.07 Mbit/s;37.87 Mbit/s;< 1 ms;< 1 ms;48.0 Mbit/s;38.62 Mbit/s;0.0 %;11.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 18:14;5.64 Mbit/s;13.33 Mbit/s;13.43 ms;< 1 ms;6.22 Mbit/s;14.2 Mbit/s;1.36 %;81.94 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:14;-;7.93 Mbit/s;23.09 ms;1.47 ms;-;-;0.68 %;76.25 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:14;-;7.23 Mbit/s;24.69 ms;2.25 ms;-;-;0.0 %;142.86 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 15:14;4.49 Mbit/s;15.02 Mbit/s;18.25 ms;3.14 ms;-;15.94 Mbit/s;4.29 %;89.31 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:14;-;8.92 Mbit/s;14.47 ms;2.7 ms;-;-;0.0 %;78.79 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 13:14;2.43 Mbit/s;7.47 Mbit/s;16.43 ms;8.77 ms;-;7.94 Mbit/s;0.0 %;68.16 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 12:14;-;13.63 Mbit/s;14.05 ms;1.43 ms;-;-;0.0 %;43.03 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:14;-;4.66 Mbit/s;15.2 ms;3.66 ms;-;-;0.0 %;43.82 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:14;-;10.03 Mbit/s;24.8 ms;< 1 ms;-;-;0.0 %;94.46 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 09:14;16.74 Mbit/s;23.42 Mbit/s;10.31 ms;1.24 ms;18.18 Mbit/s;25.03 Mbit/s;0.0 %;35.24 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 07:14;36.9 Mbit/s;31.03 Mbit/s;< 1 ms;< 1 ms;41.18 Mbit/s;33.59 Mbit/s;0.0 %;3.21 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:14;46.43 Mbit/s;48.37 Mbit/s;< 1 ms;< 1 ms;49.43 Mbit/s;50.24 Mbit/s;0.0 %;3.16 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 05:14;47.25 Mbit/s;48.38 Mbit/s;< 1 ms;2.36 ms;50.42 Mbit/s;49.29 Mbit/s;0.0 %;2.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 04:14;39.83 Mbit/s;39.1 Mbit/s;< 1 ms;5.03 ms;43.71 Mbit/s;38.46 Mbit/s;0.0 %;5.3 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 03:14;29.09 Mbit/s;37.26 Mbit/s;4.96 ms;4.39 ms;31.72 Mbit/s;38.24 Mbit/s;0.0 %;16.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 02:14;31.84 Mbit/s;42.09 Mbit/s;1.72 ms;8.67 ms;34.99 Mbit/s;45.13 Mbit/s;0.0 %;13.9 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:14;48.54 Mbit/s;46.05 Mbit/s;4.44 ms;< 1 ms;51.12 Mbit/s;44.81 Mbit/s;0.0 %;16.12 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 00:14;49.65 Mbit/s;47.12 Mbit/s;< 1 ms;< 1 ms;51.37 Mbit/s;49.74 Mbit/s;0.0 %;2.85 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 23:14;44.04 Mbit/s;42.72 Mbit/s;< 1 ms;< 1 ms;48.11 Mbit/s;45.16 Mbit/s;0.0 %;3.2 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:14;39.07 Mbit/s;40.42 Mbit/s;< 1 ms;1.61 ms;42.81 Mbit/s;42.27 Mbit/s;0.0 %;17.37 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 22:07;42.2 Mbit/s;41.22 Mbit/s;< 1 ms;< 1 ms;42.95 Mbit/s;39.82 Mbit/s;0.0 %;2.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 21:14;5.06 Mbit/s;10.75 Mbit/s;10.65 ms;2.89 ms;-;11.48 Mbit/s;2.07 %;42.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 20:14;3.81 Mbit/s;6.66 Mbit/s;18.22 ms;5.09 ms;-;7.11 Mbit/s;0.0 %;55.1 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 19:14;-;6.77 Mbit/s;42.56 ms;1.47 ms;-;-;0.0 %;129.95 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 18:14;-;5.84 Mbit/s;20.13 ms;1.95 ms;-;-;0.0 %;92.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 17:14;-;5.49 Mbit/s;20.92 ms;1.16 ms;-;-;0.0 %;109.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 16:14;-;9.24 Mbit/s;62.43 ms;2.7 ms;-;-;0.0 %;151.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 14:14;-;6.69 Mbit/s;29.23 ms;1.33 ms;-;-;3.5 %;181.67 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 13:14;-;10.81 Mbit/s;27.87 ms;2.35 ms;-;-;0.0 %;85.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 12:14;4.54 Mbit/s;14.87 Mbit/s;11.56 ms;4.41 ms;-;15.75 Mbit/s;0.0 %;47.99 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 10:14;10.89 Mbit/s;22.28 Mbit/s;3.54 ms;2.31 ms;12.0 Mbit/s;24.2 Mbit/s;0.0 %;33.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 09:14;25.44 Mbit/s;28.8 Mbit/s;2.68 ms;1.67 ms;-;30.5 Mbit/s;0.0 %;35.31 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 08:14;5.34 Mbit/s;18.32 Mbit/s;4.28 ms;6.38 ms;5.86 Mbit/s;19.65 Mbit/s;0.0 %;18.48 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 08:07;43.57 Mbit/s;41.91 Mbit/s;< 1 ms;< 1 ms;43.44 Mbit/s;39.17 Mbit/s;0.0 %;2.29 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 07:14;45.47 Mbit/s;29.53 Mbit/s;10.12 ms;1.04 ms;-;31.74 Mbit/s;0.0 %;32.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 05:32;10.41 Mbit/s;5.08 Mbit/s;< 1 ms;< 1 ms;10.02 Mbit/s;4.72 Mbit/s;0.0 %;13.03 ms;PTT Metro de Florianopolis;;;;;
31/07/15 05:14;48.22 Mbit/s;42.91 Mbit/s;1.15 ms;1.57 ms;50.31 Mbit/s;45.64 Mbit/s;0.0 %;8.69 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 03:14;50.98 Mbit/s;48.65 Mbit/s;3.28 ms;< 1 ms;52.44 Mbit/s;50.29 Mbit/s;0.0 %;7.66 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 02:14;36.79 Mbit/s;40.6 Mbit/s;5.04 ms;1.39 ms;40.03 Mbit/s;43.17 Mbit/s;0.68 %;13.64 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 01:14;49.77 Mbit/s;44.24 Mbit/s;< 1 ms;2.25 ms;51.56 Mbit/s;47.03 Mbit/s;0.0 %;2.94 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 00:14;41.65 Mbit/s;40.8 Mbit/s;3.1 ms;< 1 ms;45.17 Mbit/s;42.41 Mbit/s;0.0 %;11.53 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 23:14;15.56 Mbit/s;22.32 Mbit/s;7.65 ms;< 1 ms;17.05 Mbit/s;23.97 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 22:14;14.82 Mbit/s;30.44 Mbit/s;5.64 ms;4.12 ms;16.29 Mbit/s;31.48 Mbit/s;0.0 %;21.13 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
