dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
28/06/15 18:22;4.15 Mbit/s;4.94 Mbit/s;3.93 ms;4.43 ms;4.56 Mbit/s;563.91 kbit/s;0.0 %;40.07 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/06/15 17:21;26.75 Mbit/s;9.03 Mbit/s;4.33 ms;4.86 ms;29.41 Mbit/s;5.19 Mbit/s;0.0 %;13.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/06/15 16:21;40.8 Mbit/s;9.78 Mbit/s;1.33 ms;3.5 ms;44.79 Mbit/s;5.16 Mbit/s;0.0 %;4.83 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/06/15 15:21;46.74 Mbit/s;12.86 Mbit/s;2.45 ms;7.15 ms;50.48 Mbit/s;3.43 Mbit/s;0.0 %;15.43 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/06/15 14:21;46.43 Mbit/s;13.38 Mbit/s;2.96 ms;< 1 ms;51.12 Mbit/s;12.58 Mbit/s;0.0 %;11.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/06/15 13:21;34.28 Mbit/s;7.69 Mbit/s;2.88 ms;2.43 ms;37.66 Mbit/s;7.77 Mbit/s;0.0 %;19.39 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/06/15 12:22;6.2 Mbit/s;2.32 Mbit/s;4.63 ms;6.27 ms;6.83 Mbit/s;1.45 Mbit/s;0.0 %;24.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/06/15 10:46;32.46 Mbit/s;2.1 Mbit/s;-;3.86 ms;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/06/15 10:21;45.59 Mbit/s;17.64 Mbit/s;< 1 ms;< 1 ms;50.13 Mbit/s;14.73 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/06/15 09:21;52.07 Mbit/s;20.76 Mbit/s;< 1 ms;< 1 ms;56.5 Mbit/s;8.07 Mbit/s;0.0 %;2.76 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/06/15 08:21;54.81 Mbit/s;21.61 Mbit/s;< 1 ms;1.88 ms;58.4 Mbit/s;17.85 Mbit/s;0.0 %;2.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/06/15 07:21;54.93 Mbit/s;23.08 Mbit/s;< 1 ms;< 1 ms;57.38 Mbit/s;21.33 Mbit/s;0.0 %;2.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/06/15 06:21;56.82 Mbit/s;24.87 Mbit/s;< 1 ms;1.53 ms;59.9 Mbit/s;21.78 Mbit/s;0.0 %;2.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/06/15 05:21;53.02 Mbit/s;22.36 Mbit/s;< 1 ms;2.57 ms;56.73 Mbit/s;20.92 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/06/15 04:21;56.38 Mbit/s;23.36 Mbit/s;< 1 ms;2.21 ms;59.18 Mbit/s;22.84 Mbit/s;0.0 %;3.3 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/06/15 03:21;57.32 Mbit/s;21.95 Mbit/s;< 1 ms;< 1 ms;60.19 Mbit/s;18.39 Mbit/s;0.0 %;2.88 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/06/15 02:21;33.16 Mbit/s;18.83 Mbit/s;< 1 ms;< 1 ms;36.56 Mbit/s;17.43 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/06/15 01:21;33.39 Mbit/s;18.08 Mbit/s;2.55 ms;2.08 ms;36.14 Mbit/s;4.47 Mbit/s;0.0 %;3.31 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/06/15 00:21;17.28 Mbit/s;7.77 Mbit/s;7.28 ms;17.24 ms;19.03 Mbit/s;2.31 Mbit/s;0.0 %;29.57 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/06/15 23:21;33.59 Mbit/s;9.05 Mbit/s;3.78 ms;3.38 ms;36.93 Mbit/s;8.12 Mbit/s;0.0 %;15.82 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/06/15 22:21;27.42 Mbit/s;7.3 Mbit/s;19.36 ms;14.32 ms;30.13 Mbit/s;903.02 kbit/s;1.36 %;52.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/06/15 21:21;11.54 Mbit/s;2.64 Mbit/s;9.57 ms;8.81 ms;12.67 Mbit/s;1.42 Mbit/s;0.0 %;32.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/06/15 20:21;17.74 Mbit/s;7.82 Mbit/s;5.55 ms;< 1 ms;19.49 Mbit/s;4.82 Mbit/s;0.0 %;10.36 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/06/15 19:21;43.5 Mbit/s;10.13 Mbit/s;< 1 ms;4.67 ms;47.45 Mbit/s;3.71 Mbit/s;0.0 %;5.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/06/15 18:21;21.49 Mbit/s;8.68 Mbit/s;1.24 ms;2.1 ms;23.7 Mbit/s;8.13 Mbit/s;2.05 %;12.66 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/06/15 17:21;34.22 Mbit/s;12.99 Mbit/s;3.96 ms;4.95 ms;37.6 Mbit/s;2.17 Mbit/s;0.0 %;7.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/06/15 16:21;22.24 Mbit/s;6.25 Mbit/s;3.7 ms;1.59 ms;24.53 Mbit/s;2.76 Mbit/s;0.0 %;4.2 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/06/15 15:21;27.85 Mbit/s;6.59 Mbit/s;9.55 ms;< 1 ms;30.63 Mbit/s;5.75 Mbit/s;0.0 %;55.83 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/06/15 14:21;43.85 Mbit/s;16.48 Mbit/s;4.4 ms;1.65 ms;48.25 Mbit/s;14.44 Mbit/s;0.0 %;3.06 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/06/15 13:21;21.48 Mbit/s;3.63 Mbit/s;12.19 ms;7.12 ms;23.6 Mbit/s;3.76 Mbit/s;0.0 %;25.16 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/06/15 12:21;36.7 Mbit/s;15.59 Mbit/s;1.8 ms;6.09 ms;40.45 Mbit/s;12.29 Mbit/s;0.0 %;23.8 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/06/15 11:21;47.96 Mbit/s;19.13 Mbit/s;< 1 ms;< 1 ms;52.33 Mbit/s;12.98 Mbit/s;0.0 %;2.7 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/06/15 09:21;53.51 Mbit/s;21.82 Mbit/s;1.35 ms;2.67 ms;57.82 Mbit/s;18.86 Mbit/s;0.0 %;6.43 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/06/15 08:21;57.16 Mbit/s;22.81 Mbit/s;< 1 ms;1.15 ms;60.0 Mbit/s;20.41 Mbit/s;0.0 %;3.34 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/06/15 07:21;58.27 Mbit/s;23.64 Mbit/s;< 1 ms;11.22 ms;60.65 Mbit/s;21.41 Mbit/s;0.0 %;3.23 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/06/15 06:21;52.76 Mbit/s;22.87 Mbit/s;< 1 ms;< 1 ms;57.37 Mbit/s;12.73 Mbit/s;0.0 %;3.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/06/15 05:21;59.09 Mbit/s;22.45 Mbit/s;< 1 ms;< 1 ms;60.93 Mbit/s;22.79 Mbit/s;0.0 %;2.83 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/06/15 04:21;55.81 Mbit/s;21.71 Mbit/s;< 1 ms;1.09 ms;58.25 Mbit/s;9.49 Mbit/s;0.0 %;3.24 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/06/15 03:21;44.22 Mbit/s;21.4 Mbit/s;2.2 ms;1.89 ms;48.68 Mbit/s;18.2 Mbit/s;0.0 %;2.84 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/06/15 02:21;56.17 Mbit/s;20.2 Mbit/s;< 1 ms;1.24 ms;59.41 Mbit/s;16.76 Mbit/s;0.0 %;2.96 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/06/15 01:21;35.32 Mbit/s;16.77 Mbit/s;2.96 ms;2.4 ms;38.73 Mbit/s;6.88 Mbit/s;0.0 %;7.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/06/15 00:21;18.45 Mbit/s;9.63 Mbit/s;3.7 ms;4.61 ms;20.11 Mbit/s;4.78 Mbit/s;0.0 %;22.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/06/15 23:21;25.69 Mbit/s;8.9 Mbit/s;12.1 ms;7.1 ms;28.31 Mbit/s;4.04 Mbit/s;0.0 %;27.12 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/06/15 22:21;20.48 Mbit/s;4.35 Mbit/s;4.43 ms;6.53 ms;22.28 Mbit/s;4.61 Mbit/s;0.0 %;21.85 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/06/15 21:21;9.67 Mbit/s;2.12 Mbit/s;5.8 ms;11.04 ms;10.63 Mbit/s;2.2 Mbit/s;0.0 %;18.56 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/06/15 20:22;16.29 Mbit/s;3.07 Mbit/s;28.02 ms;34.59 ms;17.82 Mbit/s;3.06 Mbit/s;0.0 %;74.77 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/06/15 19:21;25.3 Mbit/s;5.14 Mbit/s;17.38 ms;2.71 ms;27.86 Mbit/s;2.82 Mbit/s;0.0 %;34.95 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/06/15 17:21;998.33 kbit/s;11.89 Mbit/s;7.98 ms;3.15 ms;-;-;1.37 %;13.84 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/06/15 16:21;29.21 Mbit/s;22.34 Mbit/s;< 1 ms;2.1 ms;31.39 Mbit/s;21.4 Mbit/s;3.57 %;7.79 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/06/15 15:21;16.91 Mbit/s;37.76 Mbit/s;1.49 ms;< 1 ms;17.44 Mbit/s;40.28 Mbit/s;3.57 %;8.4 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/06/15 14:21;29.22 Mbit/s;39.49 Mbit/s;1.44 ms;10.11 ms;31.52 Mbit/s;27.4 Mbit/s;2.82 %;8.38 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/06/15 13:21;53.88 Mbit/s;39.54 Mbit/s;1.3 ms;< 1 ms;57.96 Mbit/s;35.47 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
26/06/15 12:21;33.19 Mbit/s;19.57 Mbit/s;1.9 ms;6.4 ms;36.02 Mbit/s;18.78 Mbit/s;0.0 %;18.5 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/06/15 11:21;35.59 Mbit/s;48.73 Mbit/s;< 1 ms;< 1 ms;37.92 Mbit/s;47.51 Mbit/s;2.08 %;7.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/06/15 10:21;30.9 Mbit/s;42.24 Mbit/s;< 1 ms;< 1 ms;33.63 Mbit/s;23.61 Mbit/s;0.68 %;7.32 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/06/15 09:21;58.15 Mbit/s;37.87 Mbit/s;< 1 ms;3.43 ms;60.09 Mbit/s;40.07 Mbit/s;0.0 %;3.7 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/06/15 08:21;60.56 Mbit/s;43.4 Mbit/s;< 1 ms;< 1 ms;61.45 Mbit/s;46.08 Mbit/s;0.0 %;5.86 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/06/15 07:21;59.52 Mbit/s;43.58 Mbit/s;< 1 ms;4.95 ms;61.0 Mbit/s;46.72 Mbit/s;0.0 %;3.18 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/06/15 06:21;61.08 Mbit/s;51.3 Mbit/s;< 1 ms;< 1 ms;61.01 Mbit/s;53.7 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
26/06/15 05:21;60.78 Mbit/s;50.89 Mbit/s;1.05 ms;< 1 ms;61.33 Mbit/s;53.48 Mbit/s;0.0 %;3.1 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/06/15 04:21;58.19 Mbit/s;49.95 Mbit/s;< 1 ms;< 1 ms;60.57 Mbit/s;48.33 Mbit/s;0.0 %;3.17 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/06/15 03:21;58.86 Mbit/s;50.88 Mbit/s;< 1 ms;< 1 ms;60.77 Mbit/s;52.9 Mbit/s;0.0 %;2.73 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/06/15 02:21;61.88 Mbit/s;49.73 Mbit/s;< 1 ms;< 1 ms;61.9 Mbit/s;52.29 Mbit/s;0.0 %;3.19 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/06/15 01:22;49.37 Mbit/s;49.43 Mbit/s;< 1 ms;3.2 ms;54.42 Mbit/s;37.59 Mbit/s;0.0 %;3.24 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
25/06/15 23:21;19.48 Mbit/s;40.77 Mbit/s;2.67 ms;4.98 ms;21.36 Mbit/s;18.83 Mbit/s;0.0 %;5.85 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/06/15 22:22;28.33 Mbit/s;16.05 Mbit/s;1.84 ms;3.05 ms;31.22 Mbit/s;14.92 Mbit/s;0.0 %;9.36 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/06/15 21:21;40.42 Mbit/s;26.95 Mbit/s;< 1 ms;1.26 ms;44.29 Mbit/s;23.47 Mbit/s;0.0 %;9.7 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/06/15 19:21;398.07 kbit/s;13.68 Mbit/s;14.41 ms;8.21 ms;-;-;0.0 %;27.2 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/06/15 18:21;34.03 Mbit/s;27.91 Mbit/s;1.45 ms;1.12 ms;37.26 Mbit/s;24.91 Mbit/s;0.0 %;13.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/06/15 17:22;19.99 Mbit/s;11.3 Mbit/s;22.01 ms;3.61 ms;21.61 Mbit/s;11.27 Mbit/s;1.37 %;20.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/06/15 16:21;15.86 Mbit/s;15.18 Mbit/s;11.27 ms;5.51 ms;16.66 Mbit/s;15.84 Mbit/s;2.8 %;14.77 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/06/15 15:21;35.56 Mbit/s;29.65 Mbit/s;< 1 ms;3.21 ms;37.76 Mbit/s;31.34 Mbit/s;1.37 %;7.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/06/15 14:21;25.67 Mbit/s;29.1 Mbit/s;2.95 ms;2.58 ms;28.19 Mbit/s;20.64 Mbit/s;0.0 %;26.7 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
25/06/15 13:21;48.75 Mbit/s;12.14 Mbit/s;11.13 ms;1.01 ms;52.96 Mbit/s;12.8 Mbit/s;0.68 %;9.87 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/06/15 12:21;37.08 Mbit/s;39.85 Mbit/s;2.28 ms;2.85 ms;39.35 Mbit/s;41.68 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/06/15 11:21;41.34 Mbit/s;24.47 Mbit/s;2.93 ms;6.72 ms;44.11 Mbit/s;25.8 Mbit/s;0.68 %;23.88 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/06/15 10:21;55.49 Mbit/s;45.1 Mbit/s;< 1 ms;1.94 ms;58.92 Mbit/s;46.35 Mbit/s;0.0 %;5.24 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/06/15 09:21;57.09 Mbit/s;48.86 Mbit/s;1.21 ms;< 1 ms;59.97 Mbit/s;51.39 Mbit/s;0.0 %;3.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
25/06/15 08:22;56.69 Mbit/s;45.13 Mbit/s;< 1 ms;< 1 ms;58.98 Mbit/s;46.76 Mbit/s;0.0 %;2.77 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
25/06/15 06:23;6.15 Mbit/s;6.12 Mbit/s;3.13 ms;< 1 ms;6.0 Mbit/s;5.56 Mbit/s;0.0 %;76.37 ms;NIC.br nodo 2;;;;;
25/06/15 06:21;45.55 Mbit/s;37.4 Mbit/s;1.35 ms;5.67 ms;50.14 Mbit/s;39.29 Mbit/s;0.0 %;2.81 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/06/15 05:21;61.82 Mbit/s;51.72 Mbit/s;< 1 ms;< 1 ms;61.81 Mbit/s;54.52 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/06/15 04:21;60.68 Mbit/s;48.53 Mbit/s;< 1 ms;< 1 ms;61.48 Mbit/s;51.88 Mbit/s;0.0 %;3.15 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
25/06/15 03:21;60.84 Mbit/s;52.78 Mbit/s;< 1 ms;< 1 ms;61.47 Mbit/s;55.55 Mbit/s;0.0 %;2.69 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
25/06/15 02:21;60.29 Mbit/s;47.85 Mbit/s;< 1 ms;< 1 ms;61.32 Mbit/s;50.67 Mbit/s;0.0 %;2.63 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
25/06/15 01:21;60.11 Mbit/s;49.69 Mbit/s;< 1 ms;< 1 ms;60.86 Mbit/s;50.72 Mbit/s;0.0 %;2.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
25/06/15 00:21;46.94 Mbit/s;41.38 Mbit/s;< 1 ms;1.16 ms;51.44 Mbit/s;30.98 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/06/15 22:21;40.69 Mbit/s;36.87 Mbit/s;< 1 ms;2.94 ms;44.82 Mbit/s;30.28 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/06/15 21:21;49.42 Mbit/s;27.07 Mbit/s;4.76 ms;< 1 ms;54.43 Mbit/s;27.25 Mbit/s;0.0 %;48.0 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/06/15 20:21;54.7 Mbit/s;34.84 Mbit/s;< 1 ms;< 1 ms;58.59 Mbit/s;32.89 Mbit/s;0.0 %;2.95 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/06/15 17:21;53.5 Mbit/s;40.28 Mbit/s;< 1 ms;< 1 ms;57.21 Mbit/s;38.57 Mbit/s;0.0 %;3.17 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/06/15 16:21;21.45 Mbit/s;49.03 Mbit/s;2.23 ms;< 1 ms;22.26 Mbit/s;50.32 Mbit/s;8.59 %;7.48 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
24/06/15 15:21;21.06 Mbit/s;41.82 Mbit/s;1.71 ms;2.26 ms;21.92 Mbit/s;40.45 Mbit/s;7.69 %;7.58 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/06/15 14:22;29.14 Mbit/s;43.82 Mbit/s;1.5 ms;1.64 ms;31.05 Mbit/s;34.17 Mbit/s;2.82 %;7.72 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/06/15 13:21;47.07 Mbit/s;37.84 Mbit/s;< 1 ms;2.31 ms;50.3 Mbit/s;39.95 Mbit/s;0.68 %;5.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/06/15 12:21;40.51 Mbit/s;23.02 Mbit/s;< 1 ms;1.0 ms;43.74 Mbit/s;23.92 Mbit/s;2.82 %;7.56 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/06/15 11:21;35.82 Mbit/s;28.51 Mbit/s;6.88 ms;2.97 ms;38.54 Mbit/s;30.71 Mbit/s;2.08 %;18.98 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/06/15 10:21;46.63 Mbit/s;40.4 Mbit/s;< 1 ms;1.45 ms;51.26 Mbit/s;41.85 Mbit/s;0.0 %;9.35 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
24/06/15 09:21;56.23 Mbit/s;48.35 Mbit/s;3.05 ms;< 1 ms;59.4 Mbit/s;44.46 Mbit/s;0.68 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/06/15 08:21;55.98 Mbit/s;39.58 Mbit/s;1.55 ms;< 1 ms;55.36 Mbit/s;41.51 Mbit/s;0.0 %;3.25 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/06/15 07:21;56.14 Mbit/s;45.87 Mbit/s;< 1 ms;23.35 ms;59.36 Mbit/s;47.43 Mbit/s;0.0 %;2.85 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/06/15 06:21;60.07 Mbit/s;52.5 Mbit/s;< 1 ms;< 1 ms;61.29 Mbit/s;52.1 Mbit/s;0.0 %;3.08 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
24/06/15 05:21;58.84 Mbit/s;52.44 Mbit/s;< 1 ms;< 1 ms;60.85 Mbit/s;54.22 Mbit/s;0.0 %;2.76 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
24/06/15 04:21;60.31 Mbit/s;42.04 Mbit/s;< 1 ms;< 1 ms;61.28 Mbit/s;44.42 Mbit/s;0.0 %;2.74 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
24/06/15 03:21;58.19 Mbit/s;49.82 Mbit/s;< 1 ms;< 1 ms;60.52 Mbit/s;51.57 Mbit/s;0.0 %;2.92 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
24/06/15 02:21;59.46 Mbit/s;51.4 Mbit/s;< 1 ms;< 1 ms;61.08 Mbit/s;53.25 Mbit/s;0.0 %;3.2 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
24/06/15 01:21;59.7 Mbit/s;52.38 Mbit/s;< 1 ms;2.1 ms;61.16 Mbit/s;54.6 Mbit/s;0.0 %;3.1 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
24/06/15 00:21;62.47 Mbit/s;49.81 Mbit/s;< 1 ms;< 1 ms;62.08 Mbit/s;51.68 Mbit/s;0.0 %;3.13 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/06/15 23:21;49.79 Mbit/s;32.31 Mbit/s;< 1 ms;1.16 ms;54.68 Mbit/s;25.43 Mbit/s;0.0 %;2.74 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/06/15 22:46;3.94 Mbit/s;1.0 Mbit/s;1.45 ms;1.63 ms;3.66 Mbit/s;994.43 kbit/s;1.37 %;16.32 ms;PTT Metro de Curitiba;;;;;
23/06/15 22:21;29.47 Mbit/s;25.47 Mbit/s;< 1 ms;3.02 ms;32.17 Mbit/s;14.56 Mbit/s;0.0 %;3.0 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/06/15 20:21;41.32 Mbit/s;41.89 Mbit/s;< 1 ms;< 1 ms;45.0 Mbit/s;33.3 Mbit/s;0.0 %;2.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/06/15 19:21;44.15 Mbit/s;31.94 Mbit/s;4.32 ms;8.19 ms;47.95 Mbit/s;23.77 Mbit/s;0.0 %;6.73 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/06/15 18:21;43.0 Mbit/s;25.92 Mbit/s;< 1 ms;9.66 ms;47.1 Mbit/s;24.46 Mbit/s;0.0 %;3.31 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/06/15 17:21;46.71 Mbit/s;33.33 Mbit/s;< 1 ms;5.49 ms;50.78 Mbit/s;33.42 Mbit/s;0.68 %;4.99 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/06/15 16:21;21.73 Mbit/s;28.54 Mbit/s;1.07 ms;< 1 ms;23.18 Mbit/s;27.08 Mbit/s;0.0 %;8.21 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/06/15 15:21;23.19 Mbit/s;38.48 Mbit/s;1.07 ms;< 1 ms;24.47 Mbit/s;40.59 Mbit/s;2.08 %;8.13 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/06/15 14:21;37.62 Mbit/s;33.05 Mbit/s;1.81 ms;< 1 ms;40.33 Mbit/s;34.21 Mbit/s;0.68 %;12.18 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/06/15 12:21;46.72 Mbit/s;17.15 Mbit/s;1.02 ms;2.93 ms;51.21 Mbit/s;15.91 Mbit/s;0.0 %;7.93 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/06/15 11:21;48.94 Mbit/s;37.74 Mbit/s;2.77 ms;2.28 ms;53.24 Mbit/s;39.43 Mbit/s;0.0 %;10.15 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
23/06/15 10:21;42.68 Mbit/s;30.29 Mbit/s;2.28 ms;2.19 ms;46.2 Mbit/s;26.2 Mbit/s;0.0 %;14.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/06/15 09:21;54.07 Mbit/s;46.44 Mbit/s;< 1 ms;1.75 ms;58.09 Mbit/s;42.32 Mbit/s;0.0 %;3.71 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/06/15 08:21;53.96 Mbit/s;38.35 Mbit/s;< 1 ms;< 1 ms;57.67 Mbit/s;40.23 Mbit/s;0.0 %;3.29 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/06/15 07:21;56.88 Mbit/s;51.18 Mbit/s;< 1 ms;< 1 ms;59.85 Mbit/s;52.89 Mbit/s;0.0 %;3.3 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
