dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:15;13.06 Mbit/s;11.8 Mbit/s;< 1 ms;1.8 ms;14.32 Mbit/s;12.54 Mbit/s;0.0 %;3.98 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:41;19.95 Mbit/s;1.98 Mbit/s;1.04 ms;< 1 ms;19.32 Mbit/s;1.78 Mbit/s;0.0 %;13.71 ms;PTT Metro de Curitiba;;;;;
01/08/15 17:15;10.8 Mbit/s;14.93 Mbit/s;< 1 ms;28.57 ms;11.88 Mbit/s;13.79 Mbit/s;0.0 %;3.91 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 16:15;11.04 Mbit/s;14.73 Mbit/s;< 1 ms;2.15 ms;12.03 Mbit/s;15.41 Mbit/s;0.0 %;3.84 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:15;8.39 Mbit/s;3.88 Mbit/s;5.75 ms;5.33 ms;6.37 Mbit/s;4.12 Mbit/s;0.0 %;32.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:15;11.01 Mbit/s;14.13 Mbit/s;< 1 ms;1.19 ms;11.98 Mbit/s;14.99 Mbit/s;0.0 %;3.8 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 13:15;12.92 Mbit/s;13.96 Mbit/s;< 1 ms;< 1 ms;13.98 Mbit/s;14.94 Mbit/s;0.0 %;3.73 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 12:15;11.33 Mbit/s;13.95 Mbit/s;4.78 ms;1.87 ms;8.34 Mbit/s;14.68 Mbit/s;0.0 %;19.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:15;4.19 Mbit/s;21.05 Mbit/s;< 1 ms;1.18 ms;4.56 Mbit/s;22.25 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:15;11.84 Mbit/s;15.95 Mbit/s;1.26 ms;4.06 ms;9.2 Mbit/s;16.97 Mbit/s;0.0 %;4.02 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 07:15;12.51 Mbit/s;14.37 Mbit/s;< 1 ms;1.16 ms;13.66 Mbit/s;15.3 Mbit/s;0.0 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 06:15;11.57 Mbit/s;14.7 Mbit/s;16.77 ms;< 1 ms;12.74 Mbit/s;15.68 Mbit/s;0.0 %;4.03 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 05:15;11.35 Mbit/s;15.62 Mbit/s;< 1 ms;< 1 ms;12.48 Mbit/s;16.62 Mbit/s;0.0 %;3.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
