dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:09;25.02 Mbit/s;24.93 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.38 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:10;24.98 Mbit/s;24.89 Mbit/s;1.06 ms;< 1 ms;24.33 Mbit/s;21.8 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 17:09;24.86 Mbit/s;24.85 Mbit/s;< 1 ms;< 1 ms;24.42 Mbit/s;22.23 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 16:09;24.71 Mbit/s;24.85 Mbit/s;< 1 ms;1.97 ms;24.34 Mbit/s;22.26 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 15:09;24.98 Mbit/s;24.87 Mbit/s;< 1 ms;1.78 ms;24.43 Mbit/s;21.79 Mbit/s;0.0 %;4.9 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 14:09;24.96 Mbit/s;24.88 Mbit/s;< 1 ms;1.38 ms;24.31 Mbit/s;22.2 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 13:09;25.03 Mbit/s;24.9 Mbit/s;< 1 ms;< 1 ms;24.35 Mbit/s;22.14 Mbit/s;0.68 %;6.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 12:09;25.07 Mbit/s;24.88 Mbit/s;< 1 ms;< 1 ms;24.46 Mbit/s;22.33 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 11:09;24.96 Mbit/s;24.88 Mbit/s;< 1 ms;1.68 ms;24.25 Mbit/s;21.94 Mbit/s;0.0 %;5.37 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 10:09;25.0 Mbit/s;24.84 Mbit/s;< 1 ms;< 1 ms;24.37 Mbit/s;22.28 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 09:09;25.03 Mbit/s;24.98 Mbit/s;1.42 ms;1.3 ms;24.37 Mbit/s;22.05 Mbit/s;0.0 %;9.93 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 08:09;24.94 Mbit/s;24.83 Mbit/s;< 1 ms;< 1 ms;24.38 Mbit/s;22.48 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 07:09;25.04 Mbit/s;24.88 Mbit/s;< 1 ms;< 1 ms;24.35 Mbit/s;21.33 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 06:09;25.0 Mbit/s;24.88 Mbit/s;< 1 ms;< 1 ms;24.39 Mbit/s;22.31 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 05:09;25.04 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.46 Mbit/s;22.26 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 04:09;24.94 Mbit/s;24.94 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.19 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 03:09;24.95 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.35 Mbit/s;22.43 Mbit/s;0.0 %;4.46 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 02:09;24.98 Mbit/s;24.9 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.25 Mbit/s;0.68 %;4.71 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 01:09;24.94 Mbit/s;24.92 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.39 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 00:09;24.99 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.25 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 23:09;24.99 Mbit/s;24.85 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.04 Mbit/s;0.0 %;4.69 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 22:09;25.06 Mbit/s;24.83 Mbit/s;1.05 ms;3.05 ms;24.37 Mbit/s;22.09 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 21:09;24.98 Mbit/s;24.78 Mbit/s;4.34 ms;< 1 ms;24.44 Mbit/s;22.18 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 20:09;25.0 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.37 Mbit/s;0.0 %;4.77 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 19:09;25.04 Mbit/s;24.81 Mbit/s;1.07 ms;< 1 ms;24.44 Mbit/s;21.98 Mbit/s;2.07 %;5.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
