dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
10/07/15 15:00;30.96 Mbit/s;35.08 Mbit/s;2.99 ms;1.1 ms;32.01 Mbit/s;10.15 Mbit/s;0.0 %;4.61 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
10/07/15 14:00;38.0 Mbit/s;31.87 Mbit/s;< 1 ms;1.2 ms;41.66 Mbit/s;32.09 Mbit/s;0.0 %;9.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
10/07/15 13:00;37.96 Mbit/s;31.24 Mbit/s;7.77 ms;3.2 ms;42.12 Mbit/s;32.61 Mbit/s;0.0 %;6.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
10/07/15 12:00;39.27 Mbit/s;41.55 Mbit/s;2.99 ms;1.23 ms;41.11 Mbit/s;36.06 Mbit/s;0.68 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
10/07/15 11:00;42.82 Mbit/s;24.45 Mbit/s;< 1 ms;< 1 ms;42.5 Mbit/s;26.48 Mbit/s;0.0 %;7.99 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
10/07/15 10:00;40.06 Mbit/s;41.8 Mbit/s;< 1 ms;< 1 ms;39.79 Mbit/s;38.54 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
10/07/15 09:00;42.69 Mbit/s;40.77 Mbit/s;3.97 ms;1.91 ms;43.87 Mbit/s;36.18 Mbit/s;0.68 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
10/07/15 08:00;32.17 Mbit/s;40.34 Mbit/s;1.18 ms;< 1 ms;31.67 Mbit/s;23.71 Mbit/s;0.0 %;9.49 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
10/07/15 07:00;41.24 Mbit/s;43.97 Mbit/s;< 1 ms;11.54 ms;43.6 Mbit/s;39.01 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
10/07/15 06:00;45.0 Mbit/s;44.02 Mbit/s;< 1 ms;1.01 ms;45.48 Mbit/s;39.47 Mbit/s;0.0 %;5.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
10/07/15 05:00;43.02 Mbit/s;39.19 Mbit/s;< 1 ms;7.68 ms;43.45 Mbit/s;40.68 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
10/07/15 04:00;43.66 Mbit/s;38.05 Mbit/s;< 1 ms;< 1 ms;44.17 Mbit/s;40.12 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
10/07/15 03:00;42.48 Mbit/s;43.88 Mbit/s;< 1 ms;< 1 ms;44.2 Mbit/s;40.35 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
10/07/15 01:00;42.68 Mbit/s;40.07 Mbit/s;< 1 ms;< 1 ms;43.51 Mbit/s;38.5 Mbit/s;0.0 %;4.83 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
10/07/15 00:00;42.72 Mbit/s;42.9 Mbit/s;2.81 ms;< 1 ms;43.77 Mbit/s;30.59 Mbit/s;0.68 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/07/15 23:00;44.4 Mbit/s;42.83 Mbit/s;< 1 ms;1.09 ms;44.59 Mbit/s;37.37 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
09/07/15 21:00;40.19 Mbit/s;40.46 Mbit/s;11.05 ms;< 1 ms;41.49 Mbit/s;30.01 Mbit/s;1.37 %;8.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
09/07/15 20:00;43.1 Mbit/s;43.67 Mbit/s;< 1 ms;< 1 ms;43.34 Mbit/s;39.36 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/07/15 19:00;37.07 Mbit/s;43.84 Mbit/s;< 1 ms;< 1 ms;40.81 Mbit/s;40.2 Mbit/s;9.52 %;13.63 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
09/07/15 18:00;37.29 Mbit/s;43.23 Mbit/s;< 1 ms;< 1 ms;41.27 Mbit/s;31.83 Mbit/s;0.68 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
09/07/15 17:00;43.54 Mbit/s;40.2 Mbit/s;< 1 ms;< 1 ms;39.73 Mbit/s;40.41 Mbit/s;0.0 %;4.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
09/07/15 16:00;36.75 Mbit/s;38.22 Mbit/s;51.06 ms;1.03 ms;39.04 Mbit/s;30.94 Mbit/s;0.68 %;618.31 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
09/07/15 15:00;2.61 Mbit/s;17.42 Mbit/s;3.46 ms;< 1 ms;2.61 Mbit/s;17.66 Mbit/s;7.52 %;69.68 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
09/07/15 15:00;33.86 Mbit/s;37.46 Mbit/s;< 1 ms;19.89 ms;35.41 Mbit/s;35.01 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
09/07/15 14:00;22.97 Mbit/s;16.29 Mbit/s;11.28 ms;14.0 ms;24.37 Mbit/s;11.83 Mbit/s;0.0 %;119.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/07/15 13:00;30.21 Mbit/s;30.15 Mbit/s;< 1 ms;1.62 ms;32.05 Mbit/s;13.02 Mbit/s;0.68 %;41.25 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
09/07/15 12:00;34.47 Mbit/s;35.88 Mbit/s;4.48 ms;1.39 ms;36.36 Mbit/s;35.15 Mbit/s;0.0 %;5.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/07/15 11:00;39.33 Mbit/s;42.67 Mbit/s;< 1 ms;< 1 ms;41.48 Mbit/s;40.97 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
09/07/15 10:02;36.61 Mbit/s;43.48 Mbit/s;< 1 ms;1.49 ms;39.25 Mbit/s;40.11 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
09/07/15 09:00;1.85 Mbit/s;43.7 Mbit/s;< 1 ms;< 1 ms;2.03 Mbit/s;40.14 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
09/07/15 08:00;44.06 Mbit/s;41.53 Mbit/s;< 1 ms;< 1 ms;44.3 Mbit/s;41.43 Mbit/s;0.0 %;4.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/07/15 07:00;36.48 Mbit/s;40.94 Mbit/s;< 1 ms;1.2 ms;40.28 Mbit/s;37.27 Mbit/s;0.0 %;5.97 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
09/07/15 06:00;35.85 Mbit/s;43.57 Mbit/s;< 1 ms;1.05 ms;39.7 Mbit/s;40.68 Mbit/s;0.0 %;4.37 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
09/07/15 05:00;38.32 Mbit/s;44.0 Mbit/s;< 1 ms;1.65 ms;40.64 Mbit/s;39.51 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
