dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/05/15 11:07;327.51 kbit/s;3.18 Mbit/s;288.73 ms;1.93 ms;356.95 kbit/s;3.42 Mbit/s;0.0 %;1279.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/05/15 10:06;12.58 Mbit/s;22.04 Mbit/s;7.82 ms;5.32 ms;2.77 Mbit/s;17.68 Mbit/s;0.0 %;26.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 09:06;13.65 Mbit/s;24.39 Mbit/s;< 1 ms;1.37 ms;10.78 Mbit/s;9.75 Mbit/s;0.0 %;6.43 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/05/15 08:06;14.84 Mbit/s;26.31 Mbit/s;< 1 ms;2.89 ms;7.93 Mbit/s;25.17 Mbit/s;0.68 %;7.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/05/15 07:06;15.18 Mbit/s;26.75 Mbit/s;1.48 ms;2.4 ms;16.59 Mbit/s;26.92 Mbit/s;0.0 %;6.27 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/05/15 06:06;12.04 Mbit/s;23.26 Mbit/s;1.34 ms;1.3 ms;7.76 Mbit/s;24.79 Mbit/s;0.0 %;5.9 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/05/15 05:06;1.25 Mbit/s;11.64 Mbit/s;1.48 ms;< 1 ms;1.38 Mbit/s;12.43 Mbit/s;0.0 %;5.89 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/05/15 04:06;15.9 Mbit/s;27.21 Mbit/s;2.59 ms;1.36 ms;17.68 Mbit/s;28.65 Mbit/s;0.0 %;6.31 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 03:06;14.1 Mbit/s;9.14 Mbit/s;< 1 ms;1.64 ms;15.65 Mbit/s;9.81 Mbit/s;0.0 %;6.2 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/05/15 02:06;672.93 kbit/s;1.92 Mbit/s;34.82 ms;47.79 ms;754.04 kbit/s;2.01 Mbit/s;3.6 %;106.51 ms;PTT Metro de Campinas;;;;;
01/05/15 01:06;15.5 Mbit/s;18.75 Mbit/s;< 1 ms;2.65 ms;17.04 Mbit/s;20.05 Mbit/s;0.0 %;5.78 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
