dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
28/04/15 08:48;538.13 kbit/s;292.88 kbit/s;14.87 ms;75.98 ms;583.85 kbit/s;127.79 kbit/s;3.52 %;145.36 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/04/15 07:49;2.05 Mbit/s;1.92 Mbit/s;43.1 ms;40.17 ms;2.24 Mbit/s;1.46 Mbit/s;2.8 %;141.03 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/04/15 06:49;2.59 Mbit/s;116.0 kbit/s;20.89 ms;52.0 ms;2.8 Mbit/s;123.57 kbit/s;2.07 %;115.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/04/15 05:48;6.42 Mbit/s;877.09 kbit/s;1.7 ms;38.46 ms;4.44 Mbit/s;945.18 kbit/s;0.0 %;3.26 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/04/15 04:48;7.14 Mbit/s;8.4 Mbit/s;< 1 ms;1.29 ms;5.46 Mbit/s;9.02 Mbit/s;0.0 %;3.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/04/15 03:48;6.22 Mbit/s;6.87 Mbit/s;4.16 ms;< 1 ms;4.85 Mbit/s;7.38 Mbit/s;0.0 %;2.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/04/15 02:48;6.91 Mbit/s;7.89 Mbit/s;1.52 ms;< 1 ms;5.59 Mbit/s;8.46 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/04/15 01:48;8.08 Mbit/s;8.99 Mbit/s;< 1 ms;< 1 ms;6.31 Mbit/s;9.65 Mbit/s;0.0 %;3.15 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/04/15 00:48;6.49 Mbit/s;6.27 Mbit/s;1.66 ms;< 1 ms;6.83 Mbit/s;6.72 Mbit/s;0.0 %;3.3 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/04/15 23:48;8.82 Mbit/s;10.6 Mbit/s;< 1 ms;< 1 ms;7.51 Mbit/s;11.35 Mbit/s;0.0 %;2.7 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/04/15 22:48;7.77 Mbit/s;5.23 Mbit/s;< 1 ms;1.58 ms;5.12 Mbit/s;5.61 Mbit/s;0.0 %;2.94 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/04/15 21:48;5.34 Mbit/s;2.65 Mbit/s;14.32 ms;1.44 ms;5.87 Mbit/s;2.85 Mbit/s;0.0 %;17.03 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/04/15 20:48;-;237.15 kbit/s;55.88 ms;124.62 ms;-;-;325.81 %;919.15 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
