dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/05/15 10:48;19.75 Mbit/s;17.69 Mbit/s;9.54 ms;1.91 ms;22.83 Mbit/s;14.51 Mbit/s;3.57 %;9.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/05/15 09:48;21.38 Mbit/s;21.07 Mbit/s;< 1 ms;7.32 ms;24.46 Mbit/s;16.7 Mbit/s;0.68 %;5.64 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/05/15 08:49;12.61 Mbit/s;11.35 Mbit/s;77.4 ms;18.64 ms;14.8 Mbit/s;7.24 Mbit/s;8.82 %;379.23 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/05/15 07:48;17.65 Mbit/s;22.76 Mbit/s;28.11 ms;6.8 ms;17.98 Mbit/s;13.74 Mbit/s;0.0 %;26.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 06:48;19.32 Mbit/s;21.96 Mbit/s;2.82 ms;5.68 ms;23.32 Mbit/s;15.58 Mbit/s;0.0 %;6.37 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/05/15 05:48;18.75 Mbit/s;21.22 Mbit/s;8.53 ms;12.86 ms;21.27 Mbit/s;15.94 Mbit/s;0.0 %;6.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/05/15 04:48;19.8 Mbit/s;19.79 Mbit/s;1.63 ms;1.37 ms;22.98 Mbit/s;14.83 Mbit/s;0.0 %;9.55 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 03:48;18.61 Mbit/s;21.92 Mbit/s;14.4 ms;11.65 ms;21.82 Mbit/s;13.32 Mbit/s;0.0 %;14.83 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/05/15 02:48;18.59 Mbit/s;19.99 Mbit/s;30.19 ms;8.07 ms;21.32 Mbit/s;20.01 Mbit/s;0.68 %;23.83 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/05/15 01:48;18.43 Mbit/s;20.15 Mbit/s;2.17 ms;< 1 ms;21.33 Mbit/s;17.75 Mbit/s;0.68 %;5.51 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
