dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/05/15 11:03;-;-;-;3.97 ms;-;-;0.0 %;157.77 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/05/15 10:02;18.8 Mbit/s;12.87 Mbit/s;4.09 ms;1.2 ms;19.34 Mbit/s;11.44 Mbit/s;0.68 %;5.32 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/05/15 09:02;26.44 Mbit/s;20.32 Mbit/s;1.29 ms;1.29 ms;31.3 Mbit/s;21.93 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/05/15 08:02;21.81 Mbit/s;22.1 Mbit/s;5.62 ms;4.39 ms;26.24 Mbit/s;23.64 Mbit/s;2.08 %;5.3 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 07:02;16.31 Mbit/s;22.33 Mbit/s;66.91 ms;1.27 ms;19.11 Mbit/s;21.89 Mbit/s;0.0 %;637.81 ms;PTT Metro de Campina Grande;;;;;
01/05/15 06:02;19.37 Mbit/s;24.0 Mbit/s;6.16 ms;10.64 ms;22.45 Mbit/s;25.56 Mbit/s;1.37 %;4.99 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/05/15 05:02;14.57 Mbit/s;21.5 Mbit/s;5.64 ms;< 1 ms;16.62 Mbit/s;21.38 Mbit/s;4.35 %;5.7 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 04:02;10.61 Mbit/s;21.67 Mbit/s;< 1 ms;< 1 ms;13.21 Mbit/s;22.87 Mbit/s;1.37 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/05/15 03:02;24.53 Mbit/s;18.41 Mbit/s;< 1 ms;1.55 ms;28.65 Mbit/s;14.91 Mbit/s;1.37 %;4.98 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/05/15 02:02;23.31 Mbit/s;14.09 Mbit/s;4.82 ms;< 1 ms;29.76 Mbit/s;15.15 Mbit/s;4.35 %;17.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 01:02;22.14 Mbit/s;22.34 Mbit/s;< 1 ms;1.61 ms;27.89 Mbit/s;18.72 Mbit/s;0.0 %;76.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 23:02;15.58 Mbit/s;20.61 Mbit/s;< 1 ms;5.64 ms;14.33 Mbit/s;21.98 Mbit/s;0.68 %;7.74 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/04/15 22:03;-;8.04 Mbit/s;6.47 ms;1.97 ms;-;-;1.37 %;25.41 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/04/15 21:02;-;-;-;2.51 ms;-;-;0.0 %;12.7 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 20:02;15.81 Mbit/s;17.69 Mbit/s;4.12 ms;< 1 ms;18.66 Mbit/s;16.93 Mbit/s;2.08 %;4.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/04/15 19:02;20.93 Mbit/s;16.2 Mbit/s;13.47 ms;1.88 ms;25.23 Mbit/s;5.0 Mbit/s;0.0 %;26.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/04/15 18:02;17.73 Mbit/s;13.39 Mbit/s;6.05 ms;6.49 ms;21.68 Mbit/s;13.75 Mbit/s;2.82 %;6.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 17:02;-;-;-;10.97 ms;-;-;0.82 %;127.43 ms;PTT Metro de Vitoria;;;;;
30/04/15 16:02;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 15:02;-;6.36 Mbit/s;105.15 ms;7.48 ms;-;-;0.0 %;819.35 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/04/15 14:02;21.06 Mbit/s;13.14 Mbit/s;1.9 ms;13.71 ms;23.44 Mbit/s;10.13 Mbit/s;2.08 %;7.13 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/04/15 13:02;-;-;-;3.42 ms;-;-;0.74 %;72.66 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/04/15 12:02;6.58 Mbit/s;1.93 Mbit/s;2.15 ms;4.26 ms;10.17 Mbit/s;1.98 Mbit/s;0.68 %;36.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 11:03;20.77 Mbit/s;15.38 Mbit/s;13.07 ms;6.56 ms;17.62 Mbit/s;13.32 Mbit/s;0.0 %;183.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 10:02;23.82 Mbit/s;19.37 Mbit/s;< 1 ms;6.34 ms;27.38 Mbit/s;13.1 Mbit/s;1.37 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/04/15 09:02;-;-;-;-;-;-;0.0 %;182.06 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/04/15 08:02;-;-;-;-;-;-;0.0 %;125.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 07:02;-;8.46 Mbit/s;< 1 ms;5.37 ms;-;-;0.68 %;5.13 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 06:02;20.84 Mbit/s;16.14 Mbit/s;< 1 ms;1.92 ms;26.66 Mbit/s;9.04 Mbit/s;0.0 %;27.0 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/04/15 05:02;21.59 Mbit/s;18.16 Mbit/s;1.23 ms;1.24 ms;26.45 Mbit/s;19.43 Mbit/s;1.37 %;5.34 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/04/15 04:02;22.13 Mbit/s;20.46 Mbit/s;6.99 ms;1.51 ms;21.38 Mbit/s;15.58 Mbit/s;2.82 %;11.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 02:02;-;2.0 Mbit/s;< 1 ms;5.67 ms;-;-;1.37 %;7.55 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 01:02;-;-;-;-;-;-;0.0 %;-;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/04/15 00:02;12.49 Mbit/s;7.35 Mbit/s;1.51 ms;< 1 ms;12.38 Mbit/s;7.93 Mbit/s;1.37 %;5.56 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/04/15 23:02;17.71 Mbit/s;12.82 Mbit/s;2.39 ms;4.01 ms;19.79 Mbit/s;13.7 Mbit/s;0.68 %;21.74 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/04/15 22:02;25.04 Mbit/s;16.08 Mbit/s;5.62 ms;4.24 ms;11.36 Mbit/s;16.28 Mbit/s;4.35 %;7.77 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/04/15 21:03;17.99 Mbit/s;6.05 Mbit/s;< 1 ms;5.36 ms;19.01 Mbit/s;6.54 Mbit/s;2.82 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/04/15 20:02;18.8 Mbit/s;13.06 Mbit/s;3.8 ms;4.74 ms;-;7.39 Mbit/s;0.0 %;5.41 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/04/15 18:02;14.24 Mbit/s;10.72 Mbit/s;17.19 ms;6.88 ms;14.13 Mbit/s;11.51 Mbit/s;0.0 %;181.01 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
29/04/15 17:02;18.46 Mbit/s;16.29 Mbit/s;< 1 ms;1.38 ms;21.94 Mbit/s;17.25 Mbit/s;0.0 %;5.85 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
