dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/05/15 15:10;1.33 Mbit/s;88.05 kbit/s;194.83 ms;50.14 ms;1.25 Mbit/s;88.78 kbit/s;6.62 %;1506.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/05/15 14:11;-;-;-;-;-;-;0.0 %;199.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/05/15 13:12;-;-;1.21 ms;58.69 ms;-;-;0.0 %;19.3 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
23/05/15 12:10;-;101.96 kbit/s;50.6 ms;45.15 ms;-;-;6.57 %;308.77 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/05/15 11:08;1.92 Mbit/s;1.15 Mbit/s;9.28 ms;9.8 ms;1.74 Mbit/s;710.13 kbit/s;0.0 %;6.86 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/05/15 10:08;1.74 Mbit/s;1.92 Mbit/s;2.89 ms;33.68 ms;1.52 Mbit/s;2.03 Mbit/s;0.0 %;21.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/05/15 08:08;865.64 kbit/s;2.08 Mbit/s;6.31 ms;13.74 ms;-;-;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/05/15 07:08;2.23 Mbit/s;1.48 Mbit/s;< 1 ms;4.82 ms;1.85 Mbit/s;1.56 Mbit/s;0.68 %;78.8 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/05/15 06:08;2.96 Mbit/s;3.57 Mbit/s;1.99 ms;2.18 ms;3.23 Mbit/s;3.78 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/05/15 04:08;3.62 Mbit/s;5.46 Mbit/s;1.19 ms;3.72 ms;2.97 Mbit/s;5.85 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/05/15 03:08;2.21 Mbit/s;3.76 Mbit/s;< 1 ms;8.52 ms;2.42 Mbit/s;3.96 Mbit/s;0.0 %;4.17 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/05/15 02:08;4.53 Mbit/s;3.84 Mbit/s;1.09 ms;3.8 ms;4.96 Mbit/s;4.12 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/05/15 00:08;1.21 Mbit/s;225.79 kbit/s;3.75 ms;63.33 ms;1.02 Mbit/s;250.86 kbit/s;1.37 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/05/15 23:51;1.14 Mbit/s;449.43 kbit/s;116.33 ms;49.76 ms;1.11 Mbit/s;410.37 kbit/s;150.0 %;3201.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/05/15 22:54;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/05/15 13:54;6.37 Mbit/s;5.44 Mbit/s;< 1 ms;< 1 ms;6.83 Mbit/s;5.38 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
07/05/15 17:54;-;-;-;-;-;-;34.29 %;1408.32 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
07/05/15 16:53;1.57 Mbit/s;470.11 kbit/s;6.02 ms;43.85 ms;1.21 Mbit/s;497.36 kbit/s;0.0 %;17.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
07/05/15 15:53;6.58 Mbit/s;1.54 Mbit/s;2.44 ms;11.85 ms;3.37 Mbit/s;1.67 Mbit/s;0.0 %;70.35 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
07/05/15 14:53;3.41 Mbit/s;2.08 Mbit/s;1.5 ms;6.48 ms;3.77 Mbit/s;2.24 Mbit/s;0.0 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
07/05/15 13:51;17.79 Mbit/s;24.04 Mbit/s;1.63 ms;< 1 ms;19.74 Mbit/s;15.95 Mbit/s;0.0 %;6.88 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/05/15 20:53;3.93 Mbit/s;4.4 Mbit/s;< 1 ms;1.4 ms;4.31 Mbit/s;3.46 Mbit/s;0.0 %;13.91 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/05/15 19:53;-;-;-;48.49 ms;-;-;4.93 %;238.19 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/05/15 18:53;1.16 Mbit/s;556.28 kbit/s;70.81 ms;8.46 ms;-;351.16 kbit/s;6.06 %;251.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/05/15 16:56;564.46 kbit/s;329.62 kbit/s;149.14 ms;22.62 ms;-;165.17 kbit/s;20.66 %;2556.53 ms;PTT Metro de Londrina;;;;;
20/04/15 07:54;12.74 Mbit/s;10.31 Mbit/s;< 1 ms;4.41 ms;13.92 Mbit/s;10.64 Mbit/s;0.0 %;3.25 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
20/04/15 06:53;13.5 Mbit/s;10.21 Mbit/s;1.06 ms;1.73 ms;13.98 Mbit/s;1.43 Mbit/s;0.0 %;3.31 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
